   E0+ fuer pi0-Produktion

   k_pi          ReE0+(pi0p)    ImE0+(pi0p)     ReE0+(pi0n)   ImE0+(pi0n)
   8.000000      -1.223004      0.0000000E+00   1.196316      0.0000000E+00
   9.000000      -1.218279      0.0000000E+00   1.201193      0.0000000E+00
   10.00000      -1.211882      0.0000000E+00   1.207806      0.0000000E+00
   11.00000      -1.204923      0.0000000E+00   1.215007      0.0000000E+00
   12.00000      -1.197452      0.0000000E+00   1.222741      0.0000000E+00
   13.00000      -1.189272      0.0000000E+00   1.231216      0.0000000E+00
   14.00000      -1.180062      0.0000000E+00   1.240765      0.0000000E+00
   15.00000      -1.170040      0.0000000E+00   1.251164      0.0000000E+00
   16.00000      -1.159310      0.0000000E+00   1.262307      0.0000000E+00
   17.00000      -1.147649      0.0000000E+00   1.274434      0.0000000E+00
   18.00000      -1.134994      0.0000000E+00   1.287614      0.0000000E+00
   19.00000      -1.121477      0.0000000E+00   1.301702      0.0000000E+00
   20.00000      -1.106886      0.0000000E+00   1.316923      0.0000000E+00
   21.00000      -1.091192      0.0000000E+00   1.333310      0.0000000E+00
   22.00000      -1.074417      0.0000000E+00   1.350851      0.0000000E+00
   23.00000      -1.056337      0.0000000E+00   1.369792      0.0000000E+00
   24.00000      -1.037020      0.0000000E+00   1.390058      0.0000000E+00
   25.00000      -1.016238      0.0000000E+00   1.411890      0.0000000E+00
   26.00000     -0.9939844      0.0000000E+00   1.435301      0.0000000E+00
   27.00000     -0.9700468      0.0000000E+00   1.460529      0.0000000E+00
   28.00000     -0.9443511      0.0000000E+00   1.487656      0.0000000E+00
   29.00000     -0.9166329      0.0000000E+00   1.516967      0.0000000E+00
   30.00000     -0.8867787      0.0000000E+00   1.548591      0.0000000E+00
   31.00000     -0.8544515      0.0000000E+00   1.582896      0.0000000E+00
   32.00000     -0.8194529      0.0000000E+00   1.620099      0.0000000E+00
   33.00000     -0.7813981      0.0000000E+00   1.660629      0.0000000E+00
   34.00000     -0.7399101      0.0000000E+00   1.704911      0.0000000E+00
   35.00000     -0.6943952      0.0000000E+00   1.753569      0.0000000E+00
   36.00000     -0.6443303      0.0000000E+00   1.807192      0.0000000E+00
   37.00000     -0.5872435      0.0000000E+00   1.868523      0.0000000E+00
   38.00000     -0.3978533      0.1220299       2.075426      0.1341802    
   39.00000     -0.3703474      0.3253544       2.104149      0.3577490    
   40.00000     -0.3634621      0.4267833       2.110172      0.4692754    
   41.00000     -0.3636843      0.5046674       2.108345      0.5549132    
   42.00000     -0.3674430      0.5792196       2.102612      0.6368960    
   43.00000     -0.3734890      0.6446360       2.094327      0.7088348    
   44.00000     -0.3809461      0.7057786       2.084462      0.7760610    
   45.00000     -0.3894861      0.7632391       2.073365      0.8392496    
   46.00000     -0.3991994      0.8178115       2.060912      0.8992440    
   47.00000     -0.4097977      0.8700733       2.047438      0.9567074    
   48.00000     -0.4209689      0.9203910       2.033318       1.012040    
   49.00000     -0.4326794      0.9690845       2.018609       1.065580    
   50.00000     -0.4451610       1.016374       2.003084       1.117582    
   51.00000     -0.4590240       1.062452       1.986111       1.168242    
   52.00000     -0.4750513       1.107468       1.966872       1.217746    
   53.00000     -0.4926783       1.151553       1.945937       1.266213    
   54.00000     -0.5114439       1.194804       1.923747       1.313770    
   55.00000     -0.5314467       1.237299       1.900127       1.360504    
   56.00000     -0.5533932       1.279204       1.874200       1.406584    
   57.00000     -0.5786273       1.319887       1.844336       1.451303    
   58.00000     -0.6064894       1.346072       1.811322       1.479694    
   59.00000     -0.6353841       1.371493       1.777076       1.507409    
   60.00000     -0.6641925       1.397668       1.742946       1.536205    
   61.00000     -0.6917526       1.424366       1.710338       1.565775    
   62.00000     -0.7167427       1.451163       1.680855       1.595638    
   63.00000     -0.7398111       1.477662       1.653696       1.625309    
   64.00000     -0.7620094       1.503398       1.627562       1.654251    
   65.00000     -0.7839662       1.527885       1.601655       1.681892    
   66.00000     -0.8061869       1.550603       1.575289       1.707621    
   67.00000     -0.8288535       1.571084       1.548205       1.730897    
   68.00000     -0.8515447       1.589411       1.520956       1.751767    
   69.00000     -0.8737682       1.605794       1.494137       1.770506    
   70.00000     -0.8948019       1.620498       1.468553       1.787394    
   71.00000     -0.9138814       1.633807       1.445036       1.802754    
   72.00000     -0.9315597       1.646019       1.422993       1.816934    
   73.00000     -0.9482704       1.657478       1.401950       1.830298    
   74.00000     -0.9639714       1.668524       1.381920       1.843243    
   75.00000     -0.9783610       1.679523       1.363188       1.856164    

