    E0+ fuer pi+/pi- Produktion

   k_pi           ReE0+(pi+n)   ImE0+(pi+n)     ReE0+(pi-p)   ImE0+(pi-p)
   17.00000       27.88104      0.0000000E+00  -31.60656      0.0000000E+00
   18.00000       27.87287      1.7150097E-02  -31.59850     -2.2665657E-02
   19.00000       27.85034      7.2811604E-02  -31.57597     -9.6228011E-02
   20.00000       27.82550      0.1193241      -31.55080     -0.1576988    
   21.00000       27.79786      0.1536597      -31.52244     -0.2030764    
   22.00000       27.76746      0.1772259      -31.49092     -0.2342210    
   23.00000       27.73436      0.1970413      -31.45628     -0.2604078    
   24.00000       27.69801      0.2170846      -31.41788     -0.2868958    
   25.00000       27.65876      0.2370705      -31.37610     -0.3133120    
   26.00000       27.61611      0.2559824      -31.33037     -0.3383181    
   27.00000       27.57038      0.2740115      -31.28106     -0.3621575    
   28.00000       27.52130      0.2915795      -31.22781     -0.3853741    
   29.00000       27.46881      0.3088072      -31.17060     -0.4081373    
   30.00000       27.41254      0.3256527      -31.10900     -0.4304079    
   31.00000       27.35439      0.3421946      -31.04496     -0.4522726    
   32.00000       27.29403      0.3584879      -30.97823     -0.4737884    
   33.00000       27.22456      0.3745587      -30.90204     -0.4950209    
   34.00000       27.15945      0.3904220      -30.82999     -0.5159979    
   35.00000       27.13137      0.4061154      -30.79486     -0.5367373    
   36.00000       27.09884      0.4216566      -30.75525     -0.5572740    
   37.00000       27.03338      0.4370539      -30.68274     -0.5776318    
   38.00000       26.97323      0.4523348      -30.61565     -0.5978211    
   39.00000       26.88375      0.4675044      -30.51938     -0.6178650    
   40.00000       26.76640      0.4825685      -30.39546     -0.6377825    
   41.00000       26.69879      0.4975484      -30.32158     -0.6575733    
   42.00000       26.64152      0.5124225      -30.25839     -0.6772258    
   43.00000       26.57912      0.5272843      -30.19045     -0.6968658    
   44.00000       26.52097      0.5419788      -30.12718     -0.7163013    
   45.00000       26.46441      0.5564901      -30.06596     -0.7354999    
   46.00000       26.40989      0.5722396      -30.00725     -0.7561897    
   47.00000       26.35738      0.5808257      -29.95099     -0.7682000    
   48.00000       26.30615      0.5849159      -29.89632     -0.7746470    
   49.00000       26.25531      0.5916166      -29.84218     -0.7841007    
   50.00000       26.20409      0.6003021      -29.78769     -0.7958599    
   51.00000       26.15194      0.6109217      -29.73219     -0.8098145    
   52.00000       26.09841      0.6231480      -29.67513     -0.8256263    
   53.00000       26.04316      0.6366947      -29.61612     -0.8428941    
   54.00000       25.98594      0.6511842      -29.55487     -0.8612252    
   55.00000       25.92660      0.6662303      -29.49122     -0.8801305    
   56.00000       25.86512      0.6813938      -29.42511     -0.8991123    
   57.00000       25.80161      0.6961845      -29.35669     -0.9175910    
   58.00000       25.73634      0.7101185      -29.28630     -0.9350089    
   59.00000       25.66963      0.7230997      -29.21431     -0.9512233    
   60.00000       25.60177      0.7352391      -29.14105     -0.9663609    
   61.00000       25.53296      0.7466455      -29.06677     -0.9806124    
   62.00000       25.46338      0.7574895      -28.99170     -0.9941131    
   63.00000       25.39321      0.7679125      -28.91601      -1.007080    
   64.00000       25.32252      0.7780870      -28.83982      -1.019714    
   65.00000       25.25138      0.7882311      -28.76320      -1.032250    

