    E1+ fuer pi0-Produktion

   k_pi         ReE1+(pi0p)     ReE1+(pi0n)
   8.000000     -8.0999993E-03 -8.8399984E-03
   9.000000     -8.9759370E-03 -9.7935963E-03
   10.00000     -1.0026518E-02 -1.0935185E-02
   11.00000     -1.1084756E-02 -1.2083687E-02
   12.00000     -1.2149591E-02 -1.3238057E-02
   13.00000     -1.3224080E-02 -1.4400908E-02
   14.00000     -1.4313514E-02 -1.5576898E-02
   15.00000     -1.5415036E-02 -1.6763903E-02
   16.00000     -1.6528595E-02 -1.7962607E-02
   17.00000     -1.7661102E-02 -1.9180413E-02
   18.00000     -1.8815115E-02 -2.0419300E-02
   19.00000     -1.9988636E-02 -2.1675142E-02
   20.00000     -2.1189528E-02 -2.2952463E-02
   21.00000     -2.2417977E-02 -2.4252169E-02
   22.00000     -2.3671024E-02 -2.5575150E-02
   23.00000     -2.4953036E-02 -2.6927967E-02
   24.00000     -2.6260814E-02 -2.8306680E-02
   25.00000     -2.7599500E-02 -2.9715125E-02
   26.00000     -2.8973911E-02 -3.1156581E-02
   27.00000     -3.0397685E-02 -3.2642681E-02
   28.00000     -3.1868491E-02 -3.4175750E-02
   29.00000     -3.3385117E-02 -3.5761353E-02
   30.00000     -3.4951393E-02 -3.7391666E-02
   31.00000     -3.6585536E-02 -3.9072033E-02
   32.00000     -3.8320001E-02 -4.0857747E-02
   33.00000     -4.0129177E-02 -4.2731166E-02
   34.00000     -4.1895606E-02 -4.4545222E-02
   35.00000     -4.4103403E-02 -4.6788372E-02
   36.00000     -4.6635311E-02 -4.9360696E-02
   37.00000     -4.6632528E-02 -4.9399316E-02
   38.00000     -4.6117932E-02 -4.8927940E-02
   39.00000     -4.8024833E-02 -5.0878882E-02
   40.00000     -4.9916979E-02 -5.2802600E-02
   41.00000     -5.1609613E-02 -5.4526515E-02
   42.00000     -5.3436507E-02 -5.6380361E-02
   43.00000     -5.5280440E-02 -5.8239326E-02
   44.00000     -5.7138570E-02 -6.0130361E-02
   45.00000     -5.9041698E-02 -6.2054843E-02
   46.00000     -6.0972705E-02 -6.4003319E-02
   47.00000     -6.2929519E-02 -6.5969847E-02
   48.00000     -6.4920411E-02 -6.7963466E-02
   49.00000     -6.6926278E-02 -6.9987401E-02
   50.00000     -6.8950921E-02 -7.2010837E-02
   51.00000     -7.0983753E-02 -7.4043557E-02
   52.00000     -7.3025562E-02 -7.6086670E-02
   53.00000     -7.5085111E-02 -7.8126758E-02
   54.00000     -7.7151142E-02 -8.0191694E-02
   55.00000     -7.9237923E-02 -8.2261473E-02
   56.00000     -8.1332766E-02 -8.4334821E-02
   57.00000     -8.3447814E-02 -8.6430795E-02
   58.00000     -8.5590266E-02 -8.8531591E-02
   59.00000     -8.7740116E-02 -9.0659454E-02
   60.00000     -8.9938827E-02 -9.2815951E-02
   61.00000     -9.2151709E-02 -9.5005453E-02
   62.00000     -9.4421148E-02 -9.7227991E-02
   63.00000     -9.6714184E-02 -9.9476479E-02
   64.00000     -9.9060781E-02 -0.1017773    
   65.00000     -0.1014463     -0.1041157    
   66.00000     -0.1038785     -0.1065022    
   67.00000     -0.1063633     -0.1089178    
   68.00000     -0.1089033     -0.1114043    
   69.00000     -0.1114857     -0.1139234    
   70.00000     -0.1141268     -0.1165003    
   71.00000     -0.1168175     -0.1191150    
   72.00000     -0.1195742     -0.1217950    
   73.00000     -0.1223785     -0.1245250    
   74.00000     -0.1252607     -0.1273084    
   75.00000     -0.1281913     -0.1301570    

