    E1+ fuer pi+/pi- Produktion

   k_pi         ReE1+(pi+n)     ReE1+(pi-p)
   17.00000     -2.3146670E-02 -2.4786670E-02
   18.00000     -2.3146670E-02 -2.4786670E-02
   19.00000     -2.4239281E-02 -2.5945691E-02
   20.00000     -2.5614867E-02 -2.7401993E-02
   21.00000     -2.7004650E-02 -2.8870897E-02
   22.00000     -2.8411662E-02 -3.0355124E-02
   23.00000     -2.9835904E-02 -3.1852916E-02
   24.00000     -3.1283766E-02 -3.3367403E-02
   25.00000     -3.2752592E-02 -3.4899000E-02
   26.00000     -3.4237579E-02 -3.6450062E-02
   27.00000     -3.5738859E-02 -3.8021427E-02
   28.00000     -3.7261054E-02 -3.9612003E-02
   29.00000     -3.8807530E-02 -4.1222177E-02
   30.00000     -4.0379941E-02 -4.2852759E-02
   31.00000     -4.1973580E-02 -4.4502202E-02
   32.00000     -4.3582778E-02 -4.6170805E-02
   33.00000     -4.5238171E-02 -4.7884949E-02
   34.00000     -4.6956100E-02 -4.9654279E-02
   35.00000     -4.8640605E-02 -5.1381867E-02
   36.00000     -5.0297536E-02 -5.3076953E-02
   37.00000     -5.2016791E-02 -5.4836001E-02
   38.00000     -5.3759258E-02 -5.6621857E-02
   39.00000     -5.5504505E-02 -5.8407649E-02
   40.00000     -5.7270050E-02 -6.0202409E-02
   41.00000     -5.9052419E-02 -6.2013049E-02
   42.00000     -6.0841329E-02 -6.3834287E-02
   43.00000     -6.2642358E-02 -6.5664470E-02
   44.00000     -6.4473704E-02 -6.7511462E-02
   45.00000     -6.6316664E-02 -6.9370203E-02
   46.00000     -6.8167441E-02 -7.1237363E-02
   47.00000     -7.0035286E-02 -7.3123693E-02
   48.00000     -7.1928740E-02 -7.5030111E-02
   49.00000     -7.3848672E-02 -7.6948501E-02
   50.00000     -7.5795136E-02 -7.8895137E-02
   51.00000     -7.7772856E-02 -8.0872610E-02
   52.00000     -7.9769976E-02 -8.2871534E-02
   53.00000     -8.1814133E-02 -8.4897161E-02
   54.00000     -8.3886907E-02 -8.6967483E-02
   55.00000     -8.5997999E-02 -8.9064382E-02
   56.00000     -8.8142082E-02 -9.1187328E-02
   57.00000     -9.0334013E-02 -9.3358681E-02
   58.00000     -9.2568010E-02 -9.5574558E-02
   59.00000     -9.4843000E-02 -9.7809315E-02
   60.00000     -9.7156346E-02 -0.1000994    
   61.00000     -9.9521428E-02 -0.1024236    
   62.00000     -0.1019341     -0.1047925    
   63.00000     -0.1043933     -0.1072074    
   64.00000     -0.1068963     -0.1096651    
   65.00000     -0.1094545     -0.1121793    
   66.00000     -0.1120699     -0.1147377    
   67.00000     -0.1147412     -0.1173356    
   68.00000     -0.1174576     -0.1200001    
   69.00000     -0.1176433     -0.1201833    
   70.00000     -0.1176433     -0.1201833    
   71.00000     -0.1176433     -0.1201833    
   72.00000     -0.1176433     -0.1201833    
   73.00000     -0.1176433     -0.1201833    
   74.00000     -0.1176433     -0.1201833    
   75.00000     -0.1176433     -0.1201833    

