    M1- fuer pi0-Produktion

   k_pi         ReM1-(pi0p)     ReM1-(pi0n)
   8.000000     -0.2052700     -0.1212900    
   9.000000     -0.2268490     -0.1340293    
   10.00000     -0.2523722     -0.1490885    
   11.00000     -0.2778530     -0.1641172    
   12.00000     -0.3032958     -0.1791185    
   13.00000     -0.3286807     -0.1940785    
   14.00000     -0.3539765     -0.2089746    
   15.00000     -0.3792072     -0.2238238    
   16.00000     -0.4043868     -0.2386349    
   17.00000     -0.4294988     -0.2533947    
   18.00000     -0.4545401     -0.2681002    
   19.00000     -0.4795248     -0.2827617    
   20.00000     -0.5044381     -0.2973670    
   21.00000     -0.5292801     -0.3119161    
   22.00000     -0.5540554     -0.3264125    
   23.00000     -0.5787495     -0.3408452    
   24.00000     -0.6033705     -0.3552228    
   25.00000     -0.6279048     -0.3695374    
   26.00000     -0.6523556     -0.3837893    
   27.00000     -0.6767122     -0.3979671    
   28.00000     -0.7009794     -0.4120732    
   29.00000     -0.7251546     -0.4261052    
   30.00000     -0.7492415     -0.4400704    
   31.00000     -0.7732307     -0.4539661    
   32.00000     -0.7971138     -0.4677787    
   33.00000     -0.8208878     -0.4815011    
   34.00000     -0.8445763     -0.4951535    
   35.00000     -0.8681231     -0.5087009    
   36.00000     -0.8915254     -0.5221504    
   37.00000     -0.9150831     -0.5357326    
   38.00000     -0.9385639     -0.5492481    
   39.00000     -0.9616475     -0.5624332    
   40.00000     -0.9846256     -0.5755318    
   41.00000      -1.007497     -0.5885538    
   42.00000      -1.030214     -0.6014586    
   43.00000      -1.052805     -0.6142612    
   44.00000      -1.075271     -0.6269735    
   45.00000      -1.097587     -0.6395690    
   46.00000      -1.119774     -0.6520499    
   47.00000      -1.141821     -0.6644271    
   48.00000      -1.163714     -0.6766884    
   49.00000      -1.185479     -0.6888241    
   50.00000      -1.207083     -0.7008545    
   51.00000      -1.228540     -0.7127671    
   52.00000      -1.249855     -0.7245438    
   53.00000      -1.271012     -0.7361982    
   54.00000      -1.292000     -0.7477351    
   55.00000      -1.312846     -0.7591336    
   56.00000      -1.333539     -0.7704048    
   57.00000      -1.354063     -0.7815462    
   58.00000      -1.374421     -0.7925523    
   59.00000      -1.394628     -0.8034221    
   60.00000      -1.414651     -0.8141497    
   61.00000      -1.434519     -0.8247523    
   62.00000      -1.454209     -0.8352112    
   63.00000      -1.473738     -0.8455247    
   64.00000      -1.493086     -0.8557014    
   65.00000      -1.512259     -0.8657363    
   66.00000      -1.531268     -0.8756164    
   67.00000      -1.550095     -0.8853603    
   68.00000      -1.568749     -0.8949578    
   69.00000      -1.587216     -0.9044055    
   70.00000      -1.605505     -0.9136992    
   71.00000      -1.623623     -0.9228333    
   72.00000      -1.641554     -0.9318262    
   73.00000      -1.659289     -0.9406618    
   74.00000      -1.676846     -0.9493459    
   75.00000      -1.694212     -0.9578673    

