    M1- fuer pi+/pi- Produktion

   k_pi         ReM1-(pi+n)     ReM1-(pi-p)
   18.00000     -0.4521766     -0.2604167    
   19.00000     -0.4718033     -0.2716657    
   20.00000     -0.4962091     -0.2856406    
   21.00000     -0.5205574     -0.2995675    
   22.00000     -0.5448360     -0.3134360    
   23.00000     -0.5690499     -0.3272543    
   24.00000     -0.5931803     -0.3410129    
   25.00000     -0.6172320     -0.3547134    
   26.00000     -0.6412094     -0.3683528    
   27.00000     -0.6651090     -0.3819281    
   28.00000     -0.6889195     -0.3954378    
   29.00000     -0.7126344     -0.4088785    
   30.00000     -0.7362559     -0.4222486    
   31.00000     -0.7597857     -0.4355456    
   32.00000     -0.7832205     -0.4487627    
   33.00000     -0.8065565     -0.4619038    
   34.00000     -0.8297819     -0.4749659    
   35.00000     -0.8529005     -0.4879416    
   36.00000     -0.8759153     -0.5008301    
   37.00000     -0.8988255     -0.5136369    
   38.00000     -0.9216178     -0.5263600    
   39.00000     -0.9442927     -0.5389887    
   40.00000     -0.9668570     -0.5515133    
   41.00000     -0.9892849     -0.5639455    
   42.00000      -1.011594     -0.5762781    
   43.00000      -1.033792     -0.5885074    
   44.00000      -1.055850     -0.6006433    
   45.00000      -1.077771     -0.6126702    
   46.00000      -1.099573     -0.6245903    
   47.00000      -1.121237     -0.6363999    
   48.00000      -1.142756     -0.6480955    
   49.00000      -1.164146     -0.6596836    
   50.00000      -1.185389     -0.6711600    
   51.00000      -1.206494     -0.6825153    
   52.00000      -1.227455     -0.6937539    
   53.00000      -1.248261     -0.7048820    
   54.00000      -1.268921     -0.7158862    
   55.00000      -1.289426     -0.7267621    
   56.00000      -1.309788     -0.7375175    
   57.00000      -1.329997     -0.7481440    
   58.00000      -1.350042     -0.7586451    
   59.00000      -1.369922     -0.7690112    
   60.00000      -1.389654     -0.7792601    
   61.00000      -1.409200     -0.7893677    
   62.00000      -1.428607     -0.7993429    
   63.00000      -1.447841     -0.8091797    
   64.00000      -1.466908     -0.8188826    
   65.00000      -1.485812     -0.8284342    
   66.00000      -1.504544     -0.8378690    
   67.00000      -1.523108     -0.8471549    
   68.00000      -1.541495     -0.8563008    
   69.00000      -1.542737     -0.8569165    

