    M1+ fuer pi0-Produktion

   k_pi          ReM1+(pi0p)    ReM1+(pi0n)
   8.000000      0.3714800      0.3129400    
   9.000000      0.4108237      0.3461170    
   10.00000      0.4575486      0.3855393    
   11.00000      0.5043197      0.4250141    
   12.00000      0.5511295      0.4645338    
   13.00000      0.5979950      0.5041188    
   14.00000      0.6449468      0.5438049    
   15.00000      0.6919723      0.5835743    
   16.00000      0.7390785      0.6234295    
   17.00000      0.7863189      0.6634224    
   18.00000      0.8337097      0.7035698    
   19.00000      0.8812271      0.7438498    
   20.00000      0.9289117      0.7843081    
   21.00000      0.9767678      0.8249496    
   22.00000       1.024791      0.8657689    
   23.00000       1.073025      0.9068091    
   24.00000       1.121449      0.9480491    
   25.00000       1.170102      0.9895268    
   26.00000       1.218979       1.031235    
   27.00000       1.268109       1.073207    
   28.00000       1.317495       1.115448    
   29.00000       1.367173       1.158003    
   30.00000       1.417130       1.200854    
   31.00000       1.467400       1.244035    
   32.00000       1.518091       1.287666    
   33.00000       1.569132       1.331670    
   34.00000       1.620125       1.375628    
   35.00000       1.672510       1.421121    
   36.00000       1.725895       1.467708    
   37.00000       1.771577       1.505801    
   38.00000       1.816263       1.542717    
   39.00000       1.869283       1.588686    
   40.00000       1.922514       1.634860    
   41.00000       1.975421       1.680629    
   42.00000       2.029083       1.727180    
   43.00000       2.083061       1.774053    
   44.00000       2.137489       1.821363    
   45.00000       2.192364       1.869116    
   46.00000       2.247684       1.917331    
   47.00000       2.303468       1.966006    
   48.00000       2.359712       2.015121    
   49.00000       2.416403       2.064692    
   50.00000       2.473562       2.114726    
   51.00000       2.531204       2.165214    
   52.00000       2.589308       2.216179    
   53.00000       2.647907       2.267628    
   54.00000       2.707002       2.319564    
   55.00000       2.766612       2.372015    
   56.00000       2.826745       2.424975    
   57.00000       2.887404       2.478452    
   58.00000       2.948629       2.532490    
   59.00000       3.010408       2.587085    
   60.00000       3.072768       2.642266    
   61.00000       3.135740       2.698051    
   62.00000       3.199323       2.754463    
   63.00000       3.263525       2.811491    
   64.00000       3.328357       2.869151    
   65.00000       3.393840       2.927492    
   66.00000       3.459997       2.986506    
   67.00000       3.526820       3.046202    
   68.00000       3.594321       3.106599    
   69.00000       3.662510       3.167715    
   70.00000       3.731402       3.229546    
   71.00000       3.801003       3.292142    
   72.00000       3.871343       3.355469    
   73.00000       3.942399       3.419568    
   74.00000       4.014217       3.484441    
   75.00000       4.086796       3.550091    

