    M1+ fuer pi+/pi- Produktion

   k_pi          ReM1+(pi+n)    ReM1+(pi-p)
   17.00000      0.8779500      0.7425500    
   18.00000      0.8779500      0.7425500    
   19.00000      0.9175112      0.7761459    
   20.00000      0.9669785      0.8181796    
   21.00000       1.016620      0.8603875    
   22.00000       1.066472      0.9028072    
   23.00000       1.116511      0.9454149    
   24.00000       1.166775      0.9882543    
   25.00000       1.217262       1.031322    
   26.00000       1.267991       1.074633    
   27.00000       1.318973       1.118197    
   28.00000       1.370218       1.162015    
   29.00000       1.421737       1.206103    
   30.00000       1.473539       1.250479    
   31.00000       1.525630       1.295154    
   32.00000       1.578035       1.340148    
   33.00000       1.630747       1.385449    
   34.00000       1.683779       1.431070    
   35.00000       1.737137       1.477004    
   36.00000       1.790829       1.523263    
   37.00000       1.844861       1.569870    
   38.00000       1.899230       1.616824    
   39.00000       1.953957       1.664128    
   40.00000       2.009063       1.711790    
   41.00000       2.064532       1.759830    
   42.00000       2.120388       1.808251    
   43.00000       2.176650       1.857063    
   44.00000       2.233304       1.906282    
   45.00000       2.290379       1.955906    
   46.00000       2.347875       2.005943    
   47.00000       2.405811       2.056418    
   48.00000       2.464207       2.107352    
   49.00000       2.523066       2.158755    
   50.00000       2.582406       2.210639    
   51.00000       2.642233       2.263003    
   52.00000       2.702568       2.315897    
   53.00000       2.763432       2.369293    
   54.00000       2.824808       2.423237    
   55.00000       2.886732       2.477710    
   56.00000       2.949206       2.532751    
   57.00000       3.012242       2.588370    
   58.00000       3.075855       2.644570    
   59.00000       3.140054       2.701371    
   60.00000       3.204842       2.758783    
   61.00000       3.270218       2.816812    
   62.00000       3.336234       2.875491    
   63.00000       3.402869       2.934804    
   64.00000       3.470132       2.994784    
   65.00000       3.538021       3.055456    
   66.00000       3.606606       3.116785    
   67.00000       3.675845       3.178808    
   68.00000       3.745785       3.241534    
   69.00000       3.750557       3.245817    

