   W            E0+(pi0_p)
 (MeV)        Re          Im
1073.249    -1.115134    0.000000
1073.414    -1.105224   -0.000064
1073.579    -1.095149   -0.000085
1073.744    -1.084904   -0.000096
1073.908    -1.074478   -0.000103
1074.073    -1.063864   -0.000106
1074.238    -1.053052   -0.000106
1074.403    -1.042030   -0.000104
1074.568    -1.030789   -0.000101
1074.733    -1.019314   -0.000096
1074.898    -1.007593   -0.000090
1075.062    -0.995610   -0.000083
1075.227    -0.983350   -0.000075
1075.392    -0.970793   -0.000067
1075.556    -0.957918   -0.000058
1075.721    -0.944705   -0.000049
1075.886    -0.931125   -0.000040
1076.050    -0.917152   -0.000031
1076.215    -0.902750   -0.000021
1076.379    -0.887883   -0.000012
1076.544    -0.872507   -0.000003
1076.708    -0.856571    0.000006
1076.873    -0.840015    0.000014
1077.037    -0.822767    0.000021
1077.202    -0.804741    0.000028
1077.366    -0.785834    0.000034
1077.531    -0.765914    0.000040
1077.695    -0.744818    0.000044
1077.859    -0.722333    0.000046
1078.024    -0.698179    0.000047
1078.188    -0.671971    0.000047
1078.352    -0.643163    0.000044
1078.516    -0.610935    0.000039
1078.681    -0.573947    0.000030
1078.845    -0.529631    0.000018
1079.009    -0.470353   -0.000001
1079.173    -0.342973    0.068725
1079.337    -0.346049    0.159433
1079.501    -0.349231    0.214601
1079.665    -0.352312    0.258123
1079.829    -0.355361    0.295195
1079.993    -0.358394    0.328012
1080.157    -0.361418    0.357747
1080.321    -0.364433    0.385115
1080.485    -0.367442    0.410590
1080.649    -0.370444    0.434506
1080.813    -0.373440    0.457108
1080.977    -0.376430    0.478581
1081.141    -0.379414    0.499073
1081.304    -0.382393    0.518699
1081.468    -0.385366    0.537556
1081.632    -0.388333    0.555720
1081.796    -0.391295    0.573259
1081.959    -0.394251    0.590229
1082.123    -0.397202    0.606676
1082.287    -0.400148    0.622644
1082.450    -0.403087    0.638168
1082.614    -0.406022    0.653280
1082.777    -0.408951    0.668008
1082.941    -0.411875    0.682378
1083.105    -0.414793    0.696411
1083.268    -0.417706    0.710127
1083.432    -0.420614    0.723546
1083.595    -0.423516    0.736683
1083.758    -0.426413    0.749553
1083.922    -0.429305    0.762171
1084.085    -0.432191    0.774547
1084.249    -0.435072    0.786695
1084.412    -0.437948    0.798624
1084.575    -0.440819    0.810345
1084.738    -0.443685    0.821867
1084.902    -0.446545    0.833197
1085.065    -0.449400    0.844344
1085.228    -0.452250    0.855314
1085.391    -0.455095    0.866116
1085.555    -0.457935    0.876755
1085.718    -0.460770    0.887237
1085.881    -0.463599    0.897568
1086.044    -0.466424    0.907753
1086.207    -0.469243    0.917798
1086.370    -0.472058    0.927705
1086.533    -0.474867    0.937482
1086.696    -0.477671    0.947130
1086.859    -0.480471    0.956655
1087.022    -0.483265    0.966060
1087.185    -0.486054    0.975349
1087.348    -0.488839    0.984525
1087.511    -0.491618    0.993592
1087.673    -0.494393    1.002551
1087.836    -0.497162    1.011408
1087.999    -0.499927    1.020163
1088.162    -0.502687    1.028820
1088.325    -0.505442    1.037382
1088.487    -0.508192    1.045850
1088.650    -0.510937    1.054228
1088.813    -0.513677    1.062517
1088.975    -0.516413    1.070720
1089.138    -0.519144    1.078838
1089.300    -0.521869    1.086874
1089.463    -0.524590    1.094830
1089.626    -0.527307    1.102707
1089.788    -0.530018    1.110507
1089.951    -0.532725    1.118232
1090.113    -0.535427    1.125883
1090.276    -0.538125    1.133463
1090.438    -0.540817    1.140972
1090.600    -0.543505    1.148412
1090.763    -0.546188    1.155784
1090.925    -0.548867    1.163090
1091.087    -0.551541    1.170332
