   W            E2-(pi0_p)
 (MeV)        Re          Im
1073.249     0.000000    0.000000
1073.414    -0.002193    0.000000
1073.579    -0.004382    0.000000
1073.744    -0.006567    0.000000
1073.908    -0.008748    0.000000
1074.073    -0.010924    0.000000
1074.238    -0.013096    0.000000
1074.403    -0.015264    0.000000
1074.568    -0.017428    0.000000
1074.733    -0.019588    0.000000
1074.898    -0.021743    0.000000
1075.062    -0.023894    0.000000
1075.227    -0.026041    0.000000
1075.392    -0.028184    0.000000
1075.556    -0.030323    0.000000
1075.721    -0.032458    0.000000
1075.886    -0.034588    0.000000
1076.050    -0.036715    0.000000
1076.215    -0.038838    0.000000
1076.379    -0.040956    0.000000
1076.544    -0.043071    0.000000
1076.708    -0.045181    0.000000
1076.873    -0.047288    0.000000
1077.037    -0.049390    0.000000
1077.202    -0.051489    0.000000
1077.366    -0.053583    0.000000
1077.531    -0.055674    0.000000
1077.695    -0.057761    0.000000
1077.859    -0.059844    0.000000
1078.024    -0.061922    0.000000
1078.188    -0.063998    0.000000
1078.352    -0.066069    0.000000
1078.516    -0.068136    0.000000
1078.681    -0.070199    0.000000
1078.845    -0.072259    0.000000
1079.009    -0.074315    0.000000
1079.173    -0.076367    0.000000
1079.337    -0.078415    0.000000
1079.501    -0.080459    0.000000
1079.665    -0.082500    0.000000
1079.829    -0.084537    0.000000
1079.993    -0.086570    0.000000
1080.157    -0.088599    0.000000
1080.321    -0.090625    0.000000
1080.485    -0.092646    0.000000
1080.649    -0.094665    0.000000
1080.813    -0.096679    0.000000
1080.977    -0.098690    0.000000
1081.141    -0.100697    0.000000
1081.304    -0.102701    0.000000
1081.468    -0.104700    0.000000
1081.632    -0.106697    0.000000
1081.796    -0.108689    0.000000
1081.959    -0.110678    0.000000
1082.123    -0.112664    0.000000
1082.287    -0.114646    0.000000
1082.450    -0.116624    0.000000
1082.614    -0.118598    0.000000
1082.777    -0.120570    0.000000
1082.941    -0.122537    0.000000
1083.105    -0.124501    0.000000
1083.268    -0.126462    0.000000
1083.432    -0.128419    0.000000
1083.595    -0.130373    0.000000
1083.758    -0.132323    0.000000
1083.922    -0.134269    0.000000
1084.085    -0.136212    0.000000
1084.249    -0.138152    0.000000
1084.412    -0.140088    0.000000
1084.575    -0.142021    0.000000
1084.738    -0.143951    0.000000
1084.902    -0.145877    0.000000
1085.065    -0.147799    0.000000
1085.228    -0.149719    0.000000
1085.391    -0.151635    0.000000
1085.555    -0.153547    0.000000
1085.718    -0.155456    0.000000
1085.881    -0.157362    0.000000
1086.044    -0.159265    0.000000
1086.207    -0.161164    0.000000
1086.370    -0.163060    0.000000
1086.533    -0.164952    0.000000
1086.696    -0.166841    0.000000
1086.859    -0.168727    0.000000
1087.022    -0.170610    0.000000
1087.185    -0.172490    0.000000
1087.348    -0.174366    0.000000
1087.511    -0.176239    0.000000
1087.673    -0.178109    0.000000
1087.836    -0.179975    0.000000
1087.999    -0.181838    0.000000
1088.162    -0.183699    0.000000
1088.325    -0.185556    0.000000
1088.487    -0.187409    0.000000
1088.650    -0.189260    0.000000
1088.813    -0.191107    0.000000
1088.975    -0.192952    0.000000
1089.138    -0.194793    0.000000
1089.300    -0.196631    0.000000
1089.463    -0.198466    0.000000
1089.626    -0.200297    0.000000
1089.788    -0.202126    0.000000
1089.951    -0.203952    0.000000
1090.113    -0.205774    0.000000
1090.276    -0.207593    0.000000
1090.438    -0.209410    0.000000
1090.600    -0.211223    0.000000
1090.763    -0.213033    0.000000
1090.925    -0.214840    0.000000
1091.087    -0.216645    0.000000
1091.250    -0.218446    0.000000
1091.412    -0.220244    0.000000
1091.574    -0.222039    0.000000
1091.737    -0.223831    0.000000
1091.899    -0.225620    0.000000
1092.061    -0.227406    0.000000
1092.223    -0.229190    0.000000
1092.385    -0.230970    0.000000
1092.547    -0.232747    0.000000
1092.709    -0.234521    0.000000
1092.872    -0.236293    0.000000
1093.034    -0.238061    0.000000
1093.196    -0.239827    0.000000
1093.358    -0.241590    0.000000
1093.520    -0.243349    0.000000
1093.682    -0.245106    0.000000
1093.843    -0.246860    0.000000
1094.005    -0.248611    0.000000
1094.167    -0.250360    0.000000
1094.329    -0.252105    0.000000
1094.491    -0.253848    0.000000
1094.653    -0.255587    0.000000
1094.815    -0.257324    0.000000
1094.976    -0.259058    0.000000
1095.138    -0.260789    0.000000
1095.300    -0.262518    0.000000
1095.461    -0.264243    0.000000
1095.623    -0.265966    0.000000
1095.785    -0.267686    0.000000
1095.946    -0.269404    0.000000
1096.108    -0.271118    0.000000
1096.269    -0.272830    0.000000
1096.431    -0.274539    0.000000
1096.593    -0.276245    0.000000
1096.754    -0.277948    0.000000
1096.916    -0.279649    0.000000
1097.077    -0.281347    0.000000
1097.238    -0.283043    0.000000
1097.400    -0.284735    0.000000
1097.561    -0.286425    0.000000
1097.723    -0.288112    0.000000
1097.884    -0.289797    0.000000
1098.045    -0.291479    0.000000
1098.206    -0.293158    0.000000
1098.368    -0.294835    0.000000
1098.529    -0.296509    0.000000
1098.690    -0.298180    0.000000
1098.851    -0.299848    0.000000
1099.012    -0.301514    0.000000
1099.174    -0.303178    0.000000
1099.335    -0.304839    0.000000
1099.496    -0.306497    0.000000
1099.657    -0.308152    0.000000
1099.818    -0.309805    0.000000
1099.979    -0.311455    0.000000
1100.140    -0.313103    0.000000
1100.301    -0.314748    0.000000
1100.462    -0.316391    0.000000
1100.623    -0.318031    0.000000
1100.784    -0.319669    0.000000
1100.945    -0.321304    0.000000
1101.105    -0.322936    0.000000
1101.266    -0.324566    0.000000
1101.427    -0.326193    0.000000
1101.588    -0.327818    0.000000
1101.749    -0.329440    0.000000
1101.909    -0.331060    0.000000
1102.070    -0.332678    0.000000
1102.231    -0.334293    0.000000
1102.391    -0.335905    0.000000
1102.552    -0.337515    0.000000
1102.713    -0.339122    0.000000
1102.873    -0.340727    0.000000
1103.034    -0.342330    0.000000
1103.194    -0.343930    0.000000
1103.355    -0.345527    0.000000
1103.515    -0.347122    0.000000
1103.676    -0.348715    0.000000
1103.836    -0.350305    0.000000
1103.997    -0.351893    0.000000
1104.157    -0.353479    0.000000
1104.318    -0.355062    0.000000
1104.478    -0.356643    0.000000
1104.638    -0.358221    0.000000
1104.799    -0.359797    0.000000
1104.959    -0.361370    0.000000
1105.119    -0.362941    0.000000
1105.279    -0.364510    0.000000
1105.440    -0.366077    0.000000
1105.600    -0.367641    0.000000
1105.760    -0.369202    0.000000
1105.920    -0.370762    0.000000
1106.080    -0.372319    0.000000
1106.240    -0.373874    0.000000
1106.401    -0.375426    0.000000
1106.561    -0.376976    0.000000
1106.721    -0.378524    0.000000
1106.881    -0.380069    0.000000
1107.041    -0.381612    0.000000
1107.201    -0.383153    0.000000
1107.361    -0.384692    0.000000
1107.521    -0.386228    0.000000
1107.680    -0.387762    0.000000
1107.840    -0.389294    0.000000
1108.000    -0.390823    0.000000
1108.160    -0.392350    0.000000
1108.320    -0.393875    0.000000
1108.480    -0.395398    0.000000
1108.639    -0.396919    0.000000
1108.799    -0.398437    0.000000
1108.959    -0.399953    0.000000
1109.119    -0.401467    0.000000
1109.278    -0.402978    0.000000
1109.438    -0.404487    0.000000
1109.597    -0.405995    0.000000
1109.757    -0.407500    0.000000
1109.917    -0.409002    0.000000
1110.076    -0.410503    0.000000
1110.236    -0.412001    0.000000
1110.395    -0.413497    0.000000
1110.555    -0.414991    0.000000
1110.714    -0.416483    0.000000
1110.874    -0.417973    0.000000
1111.033    -0.419460    0.000000
1111.192    -0.420946    0.000000
1111.352    -0.422429    0.000000
1111.511    -0.423910    0.000000
1111.671    -0.425389    0.000000
1111.830    -0.426866    0.000000
1111.989    -0.428341    0.000000
1112.148    -0.429813    0.000000
1112.308    -0.431284    0.000000
1112.467    -0.432752    0.000000
1112.626    -0.434218    0.000000
1112.785    -0.435682    0.000000
1112.944    -0.437144    0.000000
1113.103    -0.438604    0.000000
1113.263    -0.440062    0.000000
1113.422    -0.441518    0.000000
1113.581    -0.442972    0.000000
1113.740    -0.444424    0.000000
1113.899    -0.445873    0.000000
1114.058    -0.447321    0.000000
1114.217    -0.448766    0.000000
1114.376    -0.450210    0.000000
1114.535    -0.451651    0.000000
1114.693    -0.453090    0.000000
1114.852    -0.454528    0.000000
1115.011    -0.455963    0.000000
1115.170    -0.457396    0.000000
1115.329    -0.458828    0.000000
1115.488    -0.460257    0.000000
1115.646    -0.461684    0.000000
1115.805    -0.463109    0.000000
1115.964    -0.464533    0.000000
1116.122    -0.465954    0.000000
1116.281    -0.467373    0.000000
1116.440    -0.468791    0.000000
1116.598    -0.470206    0.000000
1116.757    -0.471619    0.000000
1116.916    -0.473031    0.000000
1117.074    -0.474440    0.000000
1117.233    -0.475847    0.000000
1117.391    -0.477253    0.000000
1117.550    -0.478656    0.000000
1117.708    -0.480058    0.000000
1117.867    -0.481458    0.000000
1118.025    -0.482855    0.000000
1118.183    -0.484251    0.000000
1118.342    -0.485645    0.000000
1118.500    -0.487037    0.000000
1118.658    -0.488427    0.000000
1118.817    -0.489815    0.000000
1118.975    -0.491201    0.000000
1119.133    -0.492586    0.000000
1119.292    -0.493968    0.000000
1119.450    -0.495348    0.000000
1119.608    -0.496727    0.000000
1119.766    -0.498104    0.000000
1119.924    -0.499479    0.000000
1120.082    -0.500852    0.000000
1120.241    -0.502223    0.000000
1120.399    -0.503592    0.000000
1120.557    -0.504959    0.000000
1120.715    -0.506325    0.000000
1120.873    -0.507688    0.000000
1121.031    -0.509050    0.000000
1121.189    -0.510410    0.000000
1121.347    -0.511768    0.000000
1121.505    -0.513124    0.000000
1121.663    -0.514479    0.000000
1121.820    -0.515831    0.000000
1121.978    -0.517182    0.000000
1122.136    -0.518531    0.000000
1122.294    -0.519878    0.000000
1122.452    -0.521224    0.000000
1122.610    -0.522567    0.000000
1122.767    -0.523909    0.000000
1122.925    -0.525249    0.000000
1123.083    -0.526587    0.000000
1123.240    -0.527923    0.000000
1123.398    -0.529258    0.000000
1123.556    -0.530590    0.000000
1123.713    -0.531921    0.000000
1123.871    -0.533250    0.000000
1124.028    -0.534578    0.000000
1124.186    -0.535904    0.000000
1124.344    -0.537227    0.000000
1124.501    -0.538550    0.000000
1124.659    -0.539870    0.000000
1124.816    -0.541188    0.000000
1124.973    -0.542505    0.000000
1125.131    -0.543820    0.000000
1125.288    -0.545134    0.000000
1125.446    -0.546446    0.000000
1125.603    -0.547755    0.000000
1125.760    -0.549064    0.000000
1125.918    -0.550370    0.000000
1126.075    -0.551675    0.000000
1126.232    -0.552978    0.000000
1126.389    -0.554279    0.000000
1126.547    -0.555579    0.000000
1126.704    -0.556877    0.000000
1126.861    -0.558173    0.000000
1127.018    -0.559467    0.000000
1127.175    -0.560760    0.000000
1127.332    -0.562051    0.000000
1127.490    -0.563341    0.000000
1127.647    -0.564628    0.000000
1127.804    -0.565914    0.000000
1127.961    -0.567199    0.000000
1128.118    -0.568482    0.000000
1128.275    -0.569763    0.000000
1128.432    -0.571042    0.000000
1128.589    -0.572320    0.000000
1128.746    -0.573596    0.000000
1128.902    -0.574870    0.000000
1129.059    -0.576143    0.000000
1129.216    -0.577414    0.000000
1129.373    -0.578684    0.000000
1129.530    -0.579951    0.000000
1129.687    -0.581218    0.000000
1129.843    -0.582482    0.000000
1130.000    -0.583745    0.000000
1130.157    -0.585007    0.000000
1130.313    -0.586266    0.000000
1130.470    -0.587524    0.000000
1130.627    -0.588781    0.000000
1130.783    -0.590036    0.000000
1130.940    -0.591289    0.000000
1131.097    -0.592541    0.000000
1131.253    -0.593791    0.000000
1131.410    -0.595039    0.000000
1131.566    -0.596286    0.000000
1131.723    -0.597531    0.000000
1131.879    -0.598775    0.000000
