   W            M1-(pi0_p)
 (MeV)        Re          Im
1073.249     0.000000    0.000000
1073.414    -0.158990    0.000001
1073.579    -0.224695    0.000004
1073.744    -0.275011    0.000008
1073.908    -0.317343    0.000014
1074.073    -0.354563    0.000022
1074.238    -0.388145    0.000032
1074.403    -0.418965    0.000044
1074.568    -0.447594    0.000057
1074.733    -0.474429    0.000072
1074.898    -0.499759    0.000089
1075.062    -0.523802    0.000107
1075.227    -0.546729    0.000127
1075.392    -0.568675    0.000149
1075.556    -0.589750    0.000173
1075.721    -0.610043    0.000198
1075.886    -0.629631    0.000225
1076.050    -0.648578    0.000253
1076.215    -0.666938    0.000283
1076.379    -0.684759    0.000315
1076.544    -0.702082    0.000348
1076.708    -0.718943    0.000383
1076.873    -0.735374    0.000420
1077.037    -0.751403    0.000458
1077.202    -0.767056    0.000497
1077.366    -0.782355    0.000539
1077.531    -0.797322    0.000581
1077.695    -0.811973    0.000626
1077.859    -0.826327    0.000671
1078.024    -0.840399    0.000719
1078.188    -0.854202    0.000768
1078.352    -0.867750    0.000818
1078.516    -0.881054    0.000870
1078.681    -0.894127    0.000923
1078.845    -0.906977    0.000978
1079.009    -0.919615    0.001034
1079.173    -0.932050    0.001092
1079.337    -0.944291    0.001148
1079.501    -0.956342    0.001205
1079.665    -0.968211    0.001261
1079.829    -0.979906    0.001318
1079.993    -0.991431    0.001376
1080.157    -1.002793    0.001434
1080.321    -1.013998    0.001492
1080.485    -1.025050    0.001552
1080.649    -1.035955    0.001612
1080.813    -1.046717    0.001672
1080.977    -1.057340    0.001734
1081.141    -1.067830    0.001796
1081.304    -1.078189    0.001858
1081.468    -1.088421    0.001922
1081.632    -1.098531    0.001986
1081.796    -1.108521    0.002051
1081.959    -1.118395    0.002117
1082.123    -1.128156    0.002183
1082.287    -1.137806    0.002251
1082.450    -1.147349    0.002319
1082.614    -1.156788    0.002388
1082.777    -1.166124    0.002457
1082.941    -1.175360    0.002528
1083.105    -1.184500    0.002599
1083.268    -1.193544    0.002671
1083.432    -1.202495    0.002744
1083.595    -1.211356    0.002817
1083.758    -1.220128    0.002892
1083.922    -1.228813    0.002967
1084.085    -1.237413    0.003043
1084.249    -1.245930    0.003119
1084.412    -1.254365    0.003197
1084.575    -1.262721    0.003275
1084.738    -1.270999    0.003354
1084.902    -1.279200    0.003434
1085.065    -1.287326    0.003515
1085.228    -1.295379    0.003597
1085.391    -1.303359    0.003679
1085.555    -1.311268    0.003762
1085.718    -1.319108    0.003846
1085.881    -1.326879    0.003931
1086.044    -1.334584    0.004016
1086.207    -1.342222    0.004103
1086.370    -1.349796    0.004190
1086.533    -1.357306    0.004278
1086.696    -1.364753    0.004367
1086.859    -1.372139    0.004456
1087.022    -1.379465    0.004547
1087.185    -1.386731    0.004638
1087.348    -1.393938    0.004730
1087.511    -1.401088    0.004823
1087.673    -1.408182    0.004916
1087.836    -1.415219    0.005011
1087.999    -1.422202    0.005106
1088.162    -1.429130    0.005202
1088.325    -1.436005    0.005299
1088.487    -1.442828    0.005397
1088.650    -1.449599    0.005495
1088.813    -1.456319    0.005594
1088.975    -1.462989    0.005694
1089.138    -1.469609    0.005795
1089.300    -1.476180    0.005897
1089.463    -1.482704    0.005999
1089.626    -1.489179    0.006103
1089.788    -1.495608    0.006207
1089.951    -1.501991    0.006312
1090.113    -1.508328    0.006417
1090.276    -1.514620    0.006524
1090.438    -1.520868    0.006631
1090.600    -1.527072    0.006739
1090.763    -1.533233    0.006848
1090.925    -1.539351    0.006958
1091.087    -1.545426    0.007068
1091.250    -1.551460    0.007180
1091.412    -1.557453    0.007292
1091.574    -1.563406    0.007405
1091.737    -1.569318    0.007518
1091.899    -1.575190    0.007633
1092.061    -1.581024    0.007748
1092.223    -1.586818    0.007864
1092.385    -1.592574    0.007981
1092.547    -1.598293    0.008099
1092.709    -1.603974    0.008217
1092.872    -1.609618    0.008337
1093.034    -1.615225    0.008457
1093.196    -1.620796    0.008577
1093.358    -1.626332    0.008699
1093.520    -1.631832    0.008822
1093.682    -1.637297    0.008945
1093.843    -1.642727    0.009069
1094.005    -1.648123    0.009194
1094.167    -1.653486    0.009319
1094.329    -1.658814    0.009446
1094.491    -1.664110    0.009573
1094.653    -1.669372    0.009701
1094.815    -1.674603    0.009830
1094.976    -1.679801    0.009959
1095.138    -1.684967    0.010089
1095.300    -1.690101    0.010220
1095.461    -1.695204    0.010352
1095.623    -1.700277    0.010485
1095.785    -1.705319    0.010618
1095.946    -1.710330    0.010753
1096.108    -1.715311    0.010888
1096.269    -1.720263    0.011023
1096.431    -1.725185    0.011160
1096.593    -1.730078    0.011297
1096.754    -1.734942    0.011435
1096.916    -1.739777    0.011574
1097.077    -1.744584    0.011714
1097.238    -1.749363    0.011854
1097.400    -1.754114    0.011995
1097.561    -1.758837    0.012137
1097.723    -1.763533    0.012280
1097.884    -1.768202    0.012424
1098.045    -1.772844    0.012568
1098.206    -1.777459    0.012713
1098.368    -1.782048    0.012859
1098.529    -1.786610    0.013005
1098.690    -1.791147    0.013153
1098.851    -1.795658    0.013301
1099.012    -1.800143    0.013450
1099.174    -1.804603    0.013599
1099.335    -1.809037    0.013749
1099.496    -1.813447    0.013901
1099.657    -1.817832    0.014052
1099.818    -1.822193    0.014205
1099.979    -1.826529    0.014358
1100.140    -1.830841    0.014513
1100.301    -1.835130    0.014668
1100.462    -1.839394    0.014823
1100.623    -1.843635    0.014980
1100.784    -1.847853    0.015137
1100.945    -1.852047    0.015295
1101.105    -1.856218    0.015453
1101.266    -1.860367    0.015613
1101.427    -1.864493    0.015773
1101.588    -1.868596    0.015934
1101.749    -1.872677    0.016095
1101.909    -1.876736    0.016258
1102.070    -1.880773    0.016421
1102.231    -1.884788    0.016585
1102.391    -1.888782    0.016749
1102.552    -1.892753    0.016914
1102.713    -1.896704    0.017081
1102.873    -1.900634    0.017247
1103.034    -1.904542    0.017415
1103.194    -1.908429    0.017583
1103.355    -1.912296    0.017752
1103.515    -1.916142    0.017922
1103.676    -1.919968    0.018092
1103.836    -1.923774    0.018263
1103.997    -1.927559    0.018435
1104.157    -1.931324    0.018608
1104.318    -1.935069    0.018781
1104.478    -1.938795    0.018955
1104.638    -1.942501    0.019130
1104.799    -1.946188    0.019306
1104.959    -1.949855    0.019482
1105.119    -1.953503    0.019659
1105.279    -1.957132    0.019837
1105.440    -1.960741    0.020015
1105.600    -1.964332    0.020194
1105.760    -1.967905    0.020374
1105.920    -1.971459    0.020555
1106.080    -1.974994    0.020736
1106.240    -1.978511    0.020918
1106.401    -1.982009    0.021101
1106.561    -1.985490    0.021284
1106.721    -1.988952    0.021468
1106.881    -1.992397    0.021653
1107.041    -1.995824    0.021838
1107.201    -1.999233    0.022025
1107.361    -2.002625    0.022212
1107.521    -2.005999    0.022399
1107.680    -2.009355    0.022588
1107.840    -2.012695    0.022777
1108.000    -2.016017    0.022966
1108.160    -2.019323    0.023157
1108.320    -2.022611    0.023348
1108.480    -2.025883    0.023540
1108.639    -2.029138    0.023732
1108.799    -2.032376    0.023925
1108.959    -2.035598    0.024119
1109.119    -2.038803    0.024314
1109.278    -2.041992    0.024509
1109.438    -2.045165    0.024705
1109.597    -2.048321    0.024902
1109.757    -2.051462    0.025099
1109.917    -2.054586    0.025297
1110.076    -2.057695    0.025496
1110.236    -2.060788    0.025695
1110.395    -2.063865    0.025895
1110.555    -2.066927    0.026096
1110.714    -2.069973    0.026297
1110.874    -2.073003    0.026499
1111.033    -2.076019    0.026702
1111.192    -2.079019    0.026906
1111.352    -2.082004    0.027110
1111.511    -2.084973    0.027315
1111.671    -2.087928    0.027520
1111.830    -2.090868    0.027726
1111.989    -2.093793    0.027933
1112.148    -2.096703    0.028141
1112.308    -2.099599    0.028349
1112.467    -2.102480    0.028557
1112.626    -2.105346    0.028767
1112.785    -2.108198    0.028977
1112.944    -2.111036    0.029188
1113.103    -2.113859    0.029399
1113.263    -2.116668    0.029611
1113.422    -2.119463    0.029824
1113.581    -2.122243    0.030038
1113.740    -2.125010    0.030252
1113.899    -2.127763    0.030466
1114.058    -2.130502    0.030682
1114.217    -2.133227    0.030898
1114.376    -2.135939    0.031115
1114.535    -2.138636    0.031332
1114.693    -2.141320    0.031550
1114.852    -2.143991    0.031769
1115.011    -2.146648    0.031988
1115.170    -2.149292    0.032208
1115.329    -2.151923    0.032429
1115.488    -2.154540    0.032650
1115.646    -2.157144    0.032872
1115.805    -2.159735    0.033094
1115.964    -2.162313    0.033317
1116.122    -2.164877    0.033541
1116.281    -2.167429    0.033766
1116.440    -2.169968    0.033991
1116.598    -2.172494    0.034216
1116.757    -2.175008    0.034443
1116.916    -2.177509    0.034670
1117.074    -2.179997    0.034897
1117.233    -2.182472    0.035125
1117.391    -2.184935    0.035354
1117.550    -2.187386    0.035584
1117.708    -2.189824    0.035814
1117.867    -2.192250    0.036045
1118.025    -2.194663    0.036276
1118.183    -2.197065    0.036508
1118.342    -2.199454    0.036741
1118.500    -2.201831    0.036974
1118.658    -2.204196    0.037208
1118.817    -2.206549    0.037442
1118.975    -2.208890    0.037677
1119.133    -2.211219    0.037913
1119.292    -2.213536    0.038149
1119.450    -2.215841    0.038386
1119.608    -2.218135    0.038624
1119.766    -2.220417    0.038862
1119.924    -2.222687    0.039101
1120.082    -2.224946    0.039340
1120.241    -2.227193    0.039580
1120.399    -2.229429    0.039821
1120.557    -2.231653    0.040062
1120.715    -2.233866    0.040304
1120.873    -2.236068    0.040547
1121.031    -2.238258    0.040790
1121.189    -2.240437    0.041033
1121.347    -2.242605    0.041278
1121.505    -2.244762    0.041522
1121.663    -2.246907    0.041768
1121.820    -2.249042    0.042014
1121.978    -2.251165    0.042261
1122.136    -2.253278    0.042508
1122.294    -2.255379    0.042756
1122.452    -2.257470    0.043004
1122.610    -2.259550    0.043253
1122.767    -2.261619    0.043503
1122.925    -2.263678    0.043753
1123.083    -2.265725    0.044004
1123.240    -2.267762    0.044255
1123.398    -2.269789    0.044507
1123.556    -2.271805    0.044760
1123.713    -2.273810    0.045013
1123.871    -2.275805    0.045267
1124.028    -2.277789    0.045521
1124.186    -2.279763    0.045776
1124.344    -2.281727    0.046032
1124.501    -2.283680    0.046288
1124.659    -2.285623    0.046545
1124.816    -2.287556    0.046802
1124.973    -2.289479    0.047060
1125.131    -2.291391    0.047318
1125.288    -2.293294    0.047577
1125.446    -2.295186    0.047837
1125.603    -2.297068    0.048097
1125.760    -2.298940    0.048358
1125.918    -2.300803    0.048619
1126.075    -2.302655    0.048881
1126.232    -2.304497    0.049143
1126.389    -2.306330    0.049406
1126.547    -2.308153    0.049670
1126.704    -2.309966    0.049934
1126.861    -2.311769    0.050199
1127.018    -2.313563    0.050464
1127.175    -2.315347    0.050730
1127.332    -2.317121    0.050996
1127.490    -2.318886    0.051263
1127.647    -2.320641    0.051531
1127.804    -2.322386    0.051799
1127.961    -2.324122    0.052068
1128.118    -2.325849    0.052337
1128.275    -2.327566    0.052607
1128.432    -2.329274    0.052877
1128.589    -2.330973    0.053148
1128.746    -2.332662    0.053419
1128.902    -2.334342    0.053691
1129.059    -2.336012    0.053964
1129.216    -2.337674    0.054237
1129.373    -2.339326    0.054511
1129.530    -2.340969    0.054785
1129.687    -2.342603    0.055060
1129.843    -2.344228    0.055335
1130.000    -2.345844    0.055611
1130.157    -2.347450    0.055888
1130.313    -2.349048    0.056165
1130.470    -2.350637    0.056442
1130.627    -2.352217    0.056720
1130.783    -2.353788    0.056999
1130.940    -2.355350    0.057278
1131.097    -2.356903    0.057558
1131.253    -2.358448    0.057838
1131.410    -2.359983    0.058119
1131.566    -2.361510    0.058400
1131.723    -2.363028    0.058682
1131.879    -2.364538    0.058965
