   W            M2+(pi0_p)
 (MeV)        Re          Im
1073.249     0.000000    0.000000
1073.414    -0.000179    0.000000
1073.579    -0.000357    0.000000
1073.744    -0.000536    0.000000
1073.908    -0.000715    0.000000
1074.073    -0.000894    0.000000
1074.238    -0.001072    0.000000
1074.403    -0.001251    0.000000
1074.568    -0.001431    0.000000
1074.733    -0.001610    0.000000
1074.898    -0.001789    0.000000
1075.062    -0.001968    0.000000
1075.227    -0.002148    0.000000
1075.392    -0.002327    0.000000
1075.556    -0.002507    0.000000
1075.721    -0.002686    0.000000
1075.886    -0.002866    0.000000
1076.050    -0.003046    0.000000
1076.215    -0.003226    0.000000
1076.379    -0.003406    0.000000
1076.544    -0.003586    0.000000
1076.708    -0.003766    0.000000
1076.873    -0.003946    0.000000
1077.037    -0.004126    0.000000
1077.202    -0.004307    0.000000
1077.366    -0.004487    0.000000
1077.531    -0.004668    0.000000
1077.695    -0.004848    0.000000
1077.859    -0.005029    0.000000
1078.024    -0.005209    0.000000
1078.188    -0.005390    0.000000
1078.352    -0.005571    0.000000
1078.516    -0.005752    0.000000
1078.681    -0.005933    0.000000
1078.845    -0.006114    0.000000
1079.009    -0.006295    0.000000
1079.173    -0.006476    0.000000
1079.337    -0.006658    0.000000
1079.501    -0.006839    0.000000
1079.665    -0.007020    0.000000
1079.829    -0.007202    0.000000
1079.993    -0.007383    0.000000
1080.157    -0.007565    0.000000
1080.321    -0.007747    0.000000
1080.485    -0.007929    0.000000
1080.649    -0.008110    0.000000
1080.813    -0.008292    0.000000
1080.977    -0.008474    0.000000
1081.141    -0.008656    0.000000
1081.304    -0.008838    0.000000
1081.468    -0.009021    0.000000
1081.632    -0.009203    0.000000
1081.796    -0.009385    0.000000
1081.959    -0.009568    0.000000
1082.123    -0.009750    0.000000
1082.287    -0.009933    0.000000
1082.450    -0.010115    0.000000
1082.614    -0.010298    0.000000
1082.777    -0.010481    0.000000
1082.941    -0.010664    0.000000
1083.105    -0.010846    0.000000
1083.268    -0.011029    0.000000
1083.432    -0.011212    0.000000
1083.595    -0.011396    0.000000
1083.758    -0.011579    0.000000
1083.922    -0.011762    0.000000
1084.085    -0.011945    0.000000
1084.249    -0.012129    0.000000
1084.412    -0.012312    0.000000
1084.575    -0.012495    0.000000
1084.738    -0.012679    0.000000
1084.902    -0.012863    0.000000
1085.065    -0.013046    0.000000
1085.228    -0.013230    0.000000
1085.391    -0.013414    0.000000
1085.555    -0.013598    0.000000
1085.718    -0.013782    0.000000
1085.881    -0.013966    0.000000
1086.044    -0.014150    0.000000
1086.207    -0.014334    0.000000
1086.370    -0.014518    0.000000
1086.533    -0.014702    0.000000
1086.696    -0.014887    0.000000
1086.859    -0.015071    0.000000
1087.022    -0.015256    0.000000
1087.185    -0.015440    0.000000
1087.348    -0.015625    0.000000
1087.511    -0.015809    0.000000
1087.673    -0.015994    0.000000
1087.836    -0.016179    0.000000
1087.999    -0.016364    0.000000
1088.162    -0.016549    0.000000
1088.325    -0.016733    0.000000
1088.487    -0.016918    0.000000
1088.650    -0.017104    0.000000
1088.813    -0.017289    0.000000
1088.975    -0.017474    0.000000
1089.138    -0.017659    0.000000
1089.300    -0.017844    0.000000
1089.463    -0.018030    0.000000
1089.626    -0.018215    0.000000
1089.788    -0.018401    0.000000
1089.951    -0.018586    0.000000
1090.113    -0.018772    0.000000
1090.276    -0.018958    0.000000
1090.438    -0.019143    0.000000
1090.600    -0.019329    0.000000
1090.763    -0.019515    0.000000
1090.925    -0.019701    0.000000
1091.087    -0.019887    0.000000
1091.250    -0.020073    0.000000
1091.412    -0.020259    0.000000
1091.574    -0.020445    0.000000
1091.737    -0.020631    0.000000
1091.899    -0.020818    0.000000
1092.061    -0.021004    0.000000
1092.223    -0.021190    0.000000
1092.385    -0.021377    0.000000
1092.547    -0.021563    0.000000
1092.709    -0.021750    0.000000
1092.872    -0.021936    0.000000
1093.034    -0.022123    0.000000
1093.196    -0.022310    0.000000
1093.358    -0.022497    0.000000
1093.520    -0.022683    0.000000
1093.682    -0.022870    0.000000
1093.843    -0.023057    0.000000
1094.005    -0.023244    0.000000
1094.167    -0.023431    0.000000
1094.329    -0.023618    0.000000
1094.491    -0.023806    0.000000
1094.653    -0.023993    0.000000
1094.815    -0.024180    0.000000
1094.976    -0.024367    0.000000
1095.138    -0.024555    0.000000
1095.300    -0.024742    0.000000
1095.461    -0.024930    0.000000
1095.623    -0.025117    0.000000
1095.785    -0.025305    0.000000
1095.946    -0.025492    0.000000
1096.108    -0.025680    0.000000
1096.269    -0.025868    0.000000
1096.431    -0.026056    0.000000
1096.593    -0.026244    0.000000
1096.754    -0.026431    0.000000
1096.916    -0.026619    0.000000
1097.077    -0.026807    0.000000
1097.238    -0.026996    0.000000
1097.400    -0.027184    0.000000
1097.561    -0.027372    0.000000
1097.723    -0.027560    0.000000
1097.884    -0.027748    0.000000
1098.045    -0.027937    0.000000
1098.206    -0.028125    0.000000
1098.368    -0.028313    0.000000
1098.529    -0.028502    0.000000
1098.690    -0.028690    0.000000
1098.851    -0.028879    0.000000
1099.012    -0.029068    0.000000
1099.174    -0.029256    0.000000
1099.335    -0.029445    0.000000
1099.496    -0.029634    0.000000
1099.657    -0.029823    0.000000
1099.818    -0.030011    0.000000
1099.979    -0.030200    0.000000
1100.140    -0.030389    0.000000
1100.301    -0.030578    0.000000
1100.462    -0.030767    0.000000
1100.623    -0.030956    0.000000
1100.784    -0.031146    0.000000
1100.945    -0.031335    0.000000
1101.105    -0.031524    0.000000
1101.266    -0.031713    0.000000
1101.427    -0.031903    0.000000
1101.588    -0.032092    0.000000
1101.749    -0.032282    0.000000
1101.909    -0.032471    0.000000
1102.070    -0.032661    0.000000
1102.231    -0.032850    0.000000
1102.391    -0.033040    0.000000
1102.552    -0.033229    0.000000
1102.713    -0.033419    0.000000
1102.873    -0.033609    0.000000
1103.034    -0.033799    0.000000
1103.194    -0.033989    0.000000
1103.355    -0.034179    0.000000
1103.515    -0.034368    0.000000
1103.676    -0.034558    0.000000
1103.836    -0.034749    0.000000
1103.997    -0.034939    0.000000
1104.157    -0.035129    0.000000
1104.318    -0.035319    0.000000
1104.478    -0.035509    0.000000
1104.638    -0.035699    0.000000
1104.799    -0.035890    0.000000
1104.959    -0.036080    0.000000
1105.119    -0.036270    0.000000
1105.279    -0.036461    0.000000
1105.440    -0.036651    0.000000
1105.600    -0.036842    0.000000
1105.760    -0.037032    0.000000
1105.920    -0.037223    0.000000
1106.080    -0.037414    0.000000
1106.240    -0.037604    0.000000
1106.401    -0.037795    0.000000
1106.561    -0.037986    0.000000
1106.721    -0.038177    0.000000
1106.881    -0.038367    0.000000
1107.041    -0.038558    0.000000
1107.201    -0.038749    0.000000
1107.361    -0.038940    0.000000
1107.521    -0.039131    0.000000
1107.680    -0.039322    0.000000
1107.840    -0.039513    0.000000
1108.000    -0.039705    0.000000
1108.160    -0.039896    0.000000
1108.320    -0.040087    0.000000
1108.480    -0.040278    0.000000
1108.639    -0.040469    0.000000
1108.799    -0.040661    0.000000
1108.959    -0.040852    0.000000
1109.119    -0.041044    0.000000
1109.278    -0.041235    0.000000
1109.438    -0.041427    0.000000
1109.597    -0.041618    0.000000
1109.757    -0.041810    0.000000
1109.917    -0.042001    0.000000
1110.076    -0.042193    0.000000
1110.236    -0.042385    0.000000
1110.395    -0.042576    0.000000
1110.555    -0.042768    0.000000
1110.714    -0.042960    0.000000
1110.874    -0.043152    0.000000
1111.033    -0.043344    0.000000
1111.192    -0.043536    0.000000
1111.352    -0.043727    0.000000
1111.511    -0.043919    0.000000
1111.671    -0.044111    0.000000
1111.830    -0.044304    0.000000
1111.989    -0.044496    0.000000
1112.148    -0.044688    0.000000
1112.308    -0.044880    0.000000
1112.467    -0.045072    0.000000
1112.626    -0.045264    0.000000
1112.785    -0.045457    0.000000
1112.944    -0.045649    0.000000
1113.103    -0.045841    0.000000
1113.263    -0.046034    0.000000
1113.422    -0.046226    0.000000
1113.581    -0.046419    0.000000
1113.740    -0.046611    0.000000
1113.899    -0.046804    0.000000
1114.058    -0.046996    0.000000
1114.217    -0.047189    0.000000
1114.376    -0.047381    0.000000
1114.535    -0.047574    0.000000
1114.693    -0.047767    0.000000
1114.852    -0.047959    0.000000
1115.011    -0.048152    0.000000
1115.170    -0.048345    0.000000
1115.329    -0.048538    0.000000
1115.488    -0.048731    0.000000
1115.646    -0.048924    0.000000
1115.805    -0.049116    0.000000
1115.964    -0.049309    0.000000
1116.122    -0.049502    0.000000
1116.281    -0.049695    0.000000
1116.440    -0.049888    0.000000
1116.598    -0.050082    0.000000
1116.757    -0.050275    0.000000
1116.916    -0.050468    0.000000
1117.074    -0.050661    0.000000
1117.233    -0.050854    0.000000
1117.391    -0.051047    0.000000
1117.550    -0.051241    0.000000
1117.708    -0.051434    0.000000
1117.867    -0.051627    0.000000
1118.025    -0.051821    0.000000
1118.183    -0.052014    0.000000
1118.342    -0.052208    0.000000
1118.500    -0.052401    0.000000
1118.658    -0.052595    0.000000
1118.817    -0.052788    0.000000
1118.975    -0.052982    0.000000
1119.133    -0.053175    0.000000
1119.292    -0.053369    0.000000
1119.450    -0.053562    0.000000
1119.608    -0.053756    0.000000
1119.766    -0.053950    0.000000
1119.924    -0.054143    0.000000
1120.082    -0.054337    0.000000
1120.241    -0.054531    0.000000
1120.399    -0.054725    0.000000
1120.557    -0.054919    0.000000
1120.715    -0.055113    0.000000
1120.873    -0.055306    0.000000
1121.031    -0.055500    0.000000
1121.189    -0.055694    0.000000
1121.347    -0.055888    0.000000
1121.505    -0.056082    0.000000
1121.663    -0.056276    0.000000
1121.820    -0.056470    0.000000
1121.978    -0.056664    0.000000
1122.136    -0.056859    0.000000
1122.294    -0.057053    0.000000
1122.452    -0.057247    0.000000
1122.610    -0.057441    0.000000
1122.767    -0.057635    0.000000
1122.925    -0.057830    0.000000
1123.083    -0.058024    0.000000
1123.240    -0.058218    0.000000
1123.398    -0.058412    0.000000
1123.556    -0.058607    0.000000
1123.713    -0.058801    0.000000
1123.871    -0.058996    0.000000
1124.028    -0.059190    0.000000
1124.186    -0.059384    0.000000
1124.344    -0.059579    0.000000
1124.501    -0.059773    0.000000
1124.659    -0.059968    0.000000
1124.816    -0.060162    0.000000
1124.973    -0.060357    0.000000
1125.131    -0.060552    0.000000
1125.288    -0.060746    0.000000
1125.446    -0.060941    0.000000
1125.603    -0.061136    0.000000
1125.760    -0.061330    0.000000
1125.918    -0.061525    0.000000
1126.075    -0.061720    0.000000
1126.232    -0.061914    0.000000
1126.389    -0.062109    0.000000
1126.547    -0.062304    0.000000
1126.704    -0.062499    0.000000
1126.861    -0.062694    0.000000
1127.018    -0.062889    0.000000
1127.175    -0.063084    0.000000
1127.332    -0.063278    0.000000
1127.490    -0.063473    0.000000
1127.647    -0.063668    0.000000
1127.804    -0.063863    0.000000
1127.961    -0.064058    0.000000
1128.118    -0.064253    0.000000
1128.275    -0.064448    0.000000
1128.432    -0.064644    0.000000
1128.589    -0.064839    0.000000
1128.746    -0.065034    0.000000
1128.902    -0.065229    0.000000
1129.059    -0.065424    0.000000
1129.216    -0.065619    0.000000
1129.373    -0.065814    0.000000
1129.530    -0.066010    0.000000
1129.687    -0.066205    0.000000
1129.843    -0.066400    0.000000
1130.000    -0.066595    0.000000
1130.157    -0.066791    0.000000
1130.313    -0.066986    0.000000
1130.470    -0.067181    0.000000
1130.627    -0.067377    0.000000
1130.783    -0.067572    0.000000
1130.940    -0.067767    0.000000
1131.097    -0.067963    0.000000
1131.253    -0.068158    0.000000
1131.410    -0.068354    0.000000
1131.566    -0.068549    0.000000
1131.723    -0.068745    0.000000
1131.879    -0.068940    0.000000
