E =  160.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    4.601000    0.060000
 15.000    4.581000    0.035000
 25.000    4.471000    0.027000
 35.000    4.335000    0.023000
 45.000    4.380000    0.020000
 55.000    4.330000    0.019000
 65.000    4.336000    0.018000
 75.000    4.364000    0.017000
 85.000    4.406000    0.017000
 95.000    4.512000    0.018000
105.000    4.523000    0.018000
115.000    4.608000    0.019000
125.000    4.656000    0.020000
135.000    4.670000    0.021000
145.000    4.749000    0.024000
155.000    4.704000    0.027000
165.000    4.670000    0.035000
175.000    4.768000    0.061000
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    6.288000    0.070000
 15.000    6.099000    0.040000
 25.000    5.952000    0.031000
 35.000    5.775000    0.026000
 45.000    5.707000    0.023000
 55.000    5.713000    0.022000
 65.000    5.758000    0.021000
 75.000    5.873000    0.020000
 85.000    6.042000    0.020000
 95.000    6.177000    0.020000
105.000    6.353000    0.021000
115.000    6.411000    0.022000
125.000    6.502000    0.023000
135.000    6.494000    0.025000
145.000    6.586000    0.028000
155.000    6.652000    0.032000
165.000    6.526000    0.041000
175.000    6.640000    0.071000
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    6.977000    0.075000
 15.000    6.911000    0.043000
 25.000    6.585000    0.033000
 35.000    6.464000    0.028000
 45.000    6.343000    0.025000
 55.000    6.416000    0.023000
 65.000    6.612000    0.023000
 75.000    6.836000    0.022000
 85.000    7.076000    0.022000
 95.000    7.338000    0.023000
105.000    7.549000    0.023000
115.000    7.684000    0.024000
125.000    7.750000    0.026000
135.000    7.877000    0.028000
145.000    7.854000    0.031000
155.000    7.918000    0.036000
165.000    7.920000    0.046000
175.000    7.950000    0.080000
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.426000    0.079000
 15.000    7.216000    0.045000
 25.000    6.923000    0.035000
 35.000    6.704000    0.029000
 45.000    6.672000    0.026000
 55.000    6.895000    0.025000
 65.000    7.236000    0.024000
 75.000    7.610000    0.024000
 85.000    7.991000    0.024000
 95.000    8.306000    0.025000
105.000    8.518000    0.026000
115.000    8.803000    0.027000
125.000    8.834000    0.028000
135.000    8.893000    0.031000
145.000    8.931000    0.034000
155.000    8.856000    0.039000
165.000    8.872000    0.050000
175.000    8.938000    0.087000
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.799000    0.083000
 15.000    7.274000    0.047000
 25.000    6.856000    0.036000
 35.000    6.658000    0.030000
 45.000    6.869000    0.028000
 55.000    7.281000    0.026000
 65.000    7.732000    0.026000
 75.000    8.308000    0.026000
 85.000    8.829000    0.026000
 95.000    9.261000    0.027000
105.000    9.562000    0.028000
115.000    9.742000    0.029000
125.000    9.901000    0.031000
