E =  160.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    4.886000    0.195000
 15.000    4.706000    0.111000
 25.000    4.357000    0.084000
 35.000    4.405000    0.072000
 45.000    4.256000    0.064000
 55.000    4.342000    0.060000
 65.000    4.256000    0.056000
 75.000    4.320000    0.055000
 85.000    4.405000    0.055000
 95.000    4.504000    0.055000
105.000    4.531000    0.056000
115.000    4.644000    0.059000
125.000    4.611000    0.062000
135.000    4.779000    0.068000
145.000    4.772000    0.075000
155.000    4.651000    0.086000
165.000    4.601000    0.110000
175.000    4.940000    0.196000
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    6.293000    0.221000
 15.000    6.112000    0.126000
 25.000    6.076000    0.098000
 35.000    5.725000    0.082000
 45.000    5.686000    0.074000
 55.000    5.794000    0.069000
 65.000    5.760000    0.065000
 75.000    5.868000    0.064000
 85.000    6.013000    0.064000
 95.000    6.153000    0.065000
105.000    6.320000    0.066000
115.000    6.508000    0.070000
125.000    6.529000    0.073000
135.000    6.444000    0.078000
145.000    6.698000    0.089000
155.000    6.560000    0.102000
165.000    6.367000    0.129000
175.000    6.478000    0.224000
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.491000    0.246000
 15.000    6.814000    0.136000
 25.000    6.539000    0.105000
 35.000    6.222000    0.088000
 45.000    6.251000    0.079000
 55.000    6.342000    0.074000
 65.000    6.555000    0.071000
 75.000    6.898000    0.071000
 85.000    7.135000    0.071000
 95.000    7.425000    0.073000
105.000    7.661000    0.075000
115.000    7.614000    0.077000
125.000    7.832000    0.082000
135.000    7.887000    0.089000
145.000    7.865000    0.098000
155.000    7.813000    0.114000
165.000    8.083000    0.149000
175.000    7.848000    0.252000
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.462000    0.252000
 15.000    7.295000    0.144000
 25.000    7.073000    0.111000
 35.000    6.669000    0.093000
 45.000    6.562000    0.083000
 55.000    6.982000    0.079000
 65.000    7.091000    0.076000
 75.000    7.563000    0.076000
 85.000    7.995000    0.077000
 95.000    8.333000    0.079000
105.000    8.521000    0.081000
115.000    8.697000    0.084000
125.000    8.913000    0.090000
135.000    8.835000    0.096000
145.000    8.940000    0.107000
155.000    9.028000    0.126000
165.000    9.023000    0.161000
175.000    8.691000    0.271000
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.689000    0.261000
 15.000    7.286000    0.148000
 25.000    6.876000    0.112000
 35.000    6.806000    0.096000
 45.000    6.770000    0.086000
 55.000    7.258000    0.083000
 65.000    7.777000    0.081000
 75.000    8.449000    0.082000
 85.000    8.834000    0.083000
 95.000    9.366000    0.085000
105.000    9.516000    0.087000
115.000    9.749000    0.091000
125.000    9.866000    0.097000
135.000    9.902000    0.104000
145.000    9.789000    0.115000
155.000    9.785000    0.134000
165.000    9.394000    0.168000
175.000    9.917000    0.297000
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.510000    0.265000
 15.000    6.959000    0.148000
 25.000    6.824000    0.115000
 35.000    6.737000    0.098000
 45.000    6.977000    0.090000
 55.000    7.650000    0.087000
 65.000    8.332000    0.087000
 75.000    9.107000    0.088000
 85.000    9.551000    0.088000
 95.000   10.217000    0.091000
105.000   10.726000    0.095000
115.000   10.788000    0.099000
125.000   10.901000    0.104000
135.000   10.871000    0.112000
145.000   11.025000    0.125000
155.000   10.756000    0.144000
165.000   10.465000    0.182000
175.000   10.029000    0.306000
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    7.458000    0.270000
 15.000    7.185000    0.154000
 25.000    6.350000    0.113000
 35.000    6.573000    0.099000
 45.000    7.105000    0.093000
 55.000    8.045000    0.092000
 65.000    9.108000    0.093000
 75.000    9.846000    0.093000
 85.000   10.560000    0.095000
 95.000   11.302000    0.098000
105.000   11.766000    0.102000
115.000   11.913000    0.106000
125.000   11.921000    0.111000
135.000   11.968000    0.120000
145.000   11.588000    0.131000
155.000   11.335000    0.151000
165.000   11.818000    0.197000
175.000   11.597000    0.337000
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    6.684000    0.262000
 15.000    6.445000    0.149000
 25.000    6.255000    0.115000
 35.000    6.662000    0.102000
 45.000    7.336000    0.096000
 55.000    8.611000    0.097000
 65.000    9.716000    0.098000
 75.000   10.751000    0.100000
 85.000   11.775000    0.103000
 95.000   12.450000    0.106000
105.000   13.144000    0.110000
115.000   13.299000    0.114000
125.000   13.166000    0.120000
135.000   13.090000    0.129000
145.000   12.807000    0.141000
155.000   12.640000    0.163000
165.000   12.475000    0.208000
175.000   11.891000    0.349000
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    6.432000    0.262000
 15.000    6.261000    0.150000
 25.000    5.892000    0.114000
 35.000    6.422000    0.102000
 45.000    7.640000    0.100000
 55.000    9.273000    0.102000
 65.000   10.652000    0.104000
 75.000   12.055000    0.108000
 85.000   12.960000    0.110000
 95.000   13.819000    0.113000
105.000   14.437000    0.118000
115.000   14.552000    0.122000
125.000   14.693000    0.129000
135.000   14.523000    0.138000
145.000   14.179000    0.151000
155.000   13.892000    0.175000
165.000   13.278000    0.218000
175.000   13.353000    0.377000
------------------------------------------
