E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0050    0.0480
    15.0    0.2010    0.0280
    25.0    0.2120    0.0220
    35.0    0.2830    0.0190
    45.0    0.3570    0.0170
    55.0    0.4150    0.0160
    65.0    0.4610    0.0150
    75.0    0.4820    0.0150
    85.0    0.4990    0.0140
    95.0    0.5100    0.0140
   105.0    0.4850    0.0150
   115.0    0.4370    0.0150
   125.0    0.4260    0.0150
   135.0    0.3480    0.0160
   145.0    0.2770    0.0180
   155.0    0.2100    0.0210
   165.0    0.1580    0.0270
   175.0    0.0150    0.0450
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1180    0.0410
    15.0    0.1980    0.0240
    25.0    0.3520    0.0190
    35.0    0.4380    0.0170
    45.0    0.5060    0.0150
    55.0    0.6370    0.0140
    65.0    0.6700    0.0140
    75.0    0.7360    0.0130
    85.0    0.7360    0.0130
    95.0    0.7190    0.0130
   105.0    0.6940    0.0130
   115.0    0.6700    0.0130
   125.0    0.5720    0.0130
   135.0    0.5070    0.0140
   145.0    0.4270    0.0150
   155.0    0.3330    0.0180
   165.0    0.1690    0.0220
   175.0    0.0860    0.0380
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0630    0.0390
    15.0    0.2590    0.0230
    25.0    0.3650    0.0190
    35.0    0.5410    0.0170
    45.0    0.6510    0.0150
    55.0    0.7520    0.0140
    65.0    0.8040    0.0130
    75.0    0.8430    0.0130
    85.0    0.8540    0.0120
    95.0    0.8660    0.0120
   105.0    0.8370    0.0120
   115.0    0.7650    0.0120
   125.0    0.7190    0.0130
   135.0    0.6160    0.0130
   145.0    0.5040    0.0140
   155.0    0.3770    0.0160
   165.0    0.2120    0.0210
   175.0    0.0980    0.0360
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1170    0.0400
    15.0    0.3210    0.0230
    25.0    0.4790    0.0190
    35.0    0.6660    0.0170
    45.0    0.7610    0.0150
    55.0    0.8250    0.0140
    65.0    0.8960    0.0130
    75.0    0.9280    0.0130
    85.0    0.9290    0.0120
    95.0    0.9140    0.0120
   105.0    0.8890    0.0120
   115.0    0.8470    0.0120
   125.0    0.7860    0.0120
   135.0    0.6770    0.0130
   145.0    0.5720    0.0140
   155.0    0.4390    0.0160
   165.0    0.2650    0.0200
   175.0    0.0930    0.0340
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1600    0.0410
    15.0    0.3470    0.0240
    25.0    0.5820    0.0200
    35.0    0.7340    0.0170
    45.0    0.8570    0.0160
    55.0    0.9040    0.0140
    65.0    0.9410    0.0130
    75.0    0.9700    0.0120
    85.0    0.9680    0.0120
    95.0    0.9720    0.0120
   105.0    0.9570    0.0120
   115.0    0.8940    0.0110
   125.0    0.8550    0.0120
   135.0    0.7520    0.0130
   145.0    0.6260    0.0140
   155.0    0.4820    0.0160
   165.0    0.3040    0.0200
   175.0    0.1410    0.0340
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1990    0.0420
    15.0    0.3880    0.0250
    25.0    0.6640    0.0210
    35.0    0.7980    0.0180
    45.0    0.9300    0.0160
    55.0    0.9310    0.0140
    65.0    0.9500    0.0130
    75.0    0.9730    0.0120
    85.0    0.9770    0.0120
    95.0    0.9860    0.0110
   105.0    0.9750    0.0110
   115.0    0.9310    0.0110
   125.0    0.8670    0.0120
   135.0    0.7770    0.0120
   145.0    0.6860    0.0130
   155.0    0.5080    0.0150
   165.0    0.3220    0.0190
   175.0    0.1760    0.0340
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1750    0.0430
    15.0    0.4430    0.0270
    25.0    0.7200    0.0220
    35.0    0.8890    0.0190
    45.0    0.9260    0.0160
    55.0    0.9320    0.0140
    65.0    0.9430    0.0130
    75.0    0.9540    0.0120
    85.0    0.9650    0.0110
    95.0    0.9860    0.0110
   105.0    0.9810    0.0110
   115.0    0.9780    0.0110
   125.0    0.9350    0.0110
   135.0    0.8380    0.0120
   145.0    0.7180    0.0130
   155.0    0.5570    0.0150
   165.0    0.3870    0.0190
   175.0    0.0870    0.0320
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1480    0.0470
    15.0    0.5210    0.0280
    25.0    0.7670    0.0230
    35.0    0.8880    0.0190
    45.0    0.9170    0.0160
    55.0    0.8970    0.0140
    65.0    0.8990    0.0130
    75.0    0.9060    0.0120
    85.0    0.9230    0.0110
    95.0    0.9590    0.0110
   105.0    0.9890    0.0110
   115.0    0.9870    0.0110
   125.0    0.9560    0.0110
   135.0    0.8870    0.0120
   145.0    0.7440    0.0130
   155.0    0.5880    0.0150
   165.0    0.3780    0.0190
   175.0    0.1500    0.0320
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2270    0.0510
    15.0    0.5730    0.0310
    25.0    0.7860    0.0250
    35.0    0.8800    0.0200
    45.0    0.8870    0.0160
    55.0    0.8330    0.0140
    65.0    0.8300    0.0120
    75.0    0.8450    0.0110
    85.0    0.8830    0.0100
    95.0    0.9220    0.0100
   105.0    0.9630    0.0100
   115.0    0.9770    0.0100
   125.0    0.9580    0.0110
   135.0    0.8800    0.0120
   145.0    0.7600    0.0130
   155.0    0.6010    0.0150
   165.0    0.4040    0.0180
   175.0    0.1590    0.0310
------------------------------------------
E =  250.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1660    0.0530
    15.0    0.6640    0.0330
    25.0    0.8350    0.0260
    35.0    0.8420    0.0200
    45.0    0.7800    0.0160
    55.0    0.7160    0.0130
    65.0    0.7490    0.0120
    75.0    0.7620    0.0100
    85.0    0.8080    0.0100
    95.0    0.8800    0.0100
   105.0    0.9450    0.0100
   115.0    0.9560    0.0100
   125.0    0.9720    0.0110
   135.0    0.9270    0.0110
   145.0    0.8060    0.0120
   155.0    0.6480    0.0140
   165.0    0.4230    0.0180
