E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0340    0.0260
    15.0   -0.0310    0.0150
    25.0    0.0080    0.0120
    35.0   -0.0120    0.0100
    45.0   -0.0120    0.0090
    55.0   -0.0190    0.0090
    65.0    0.0030    0.0080
    75.0    0.0010    0.0080
    85.0   -0.0040    0.0080
    95.0   -0.0140    0.0080
   105.0   -0.0100    0.0080
   115.0   -0.0060    0.0080
   125.0   -0.0130    0.0080
   135.0    0.0040    0.0090
   145.0   -0.0160    0.0100
   155.0    0.0070    0.0110
   165.0   -0.0030    0.0140
   175.0   -0.0030    0.0250
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0070    0.0220
    15.0   -0.0070    0.0130
    25.0    0.0250    0.0100
    35.0    0.0160    0.0090
    45.0   -0.0030    0.0080
    55.0   -0.0050    0.0070
    65.0    0.0020    0.0070
    75.0   -0.0070    0.0070
    85.0   -0.0010    0.0070
    95.0   -0.0090    0.0060
   105.0   -0.0060    0.0060
   115.0    0.0050    0.0070
   125.0    0.0000    0.0070
   135.0    0.0040    0.0070
   145.0    0.0000    0.0080
   155.0    0.0000    0.0090
   165.0   -0.0420    0.0120
   175.0   -0.0500    0.0210
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0020    0.0210
    15.0   -0.0050    0.0130
    25.0   -0.0060    0.0100
    35.0    0.0170    0.0090
    45.0    0.0040    0.0080
    55.0    0.0030    0.0070
    65.0    0.0180    0.0070
    75.0    0.0080    0.0060
    85.0   -0.0050    0.0060
    95.0   -0.0010    0.0060
   105.0    0.0120    0.0060
   115.0   -0.0030    0.0060
   125.0    0.0080    0.0060
   135.0    0.0010    0.0070
   145.0   -0.0020    0.0080
   155.0   -0.0160    0.0090
   165.0    0.0120    0.0110
   175.0   -0.0180    0.0190
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0020    0.0220
    15.0    0.0130    0.0130
    25.0   -0.0010    0.0100
