E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    4.0340    0.0530
    15.0    4.0220    0.0310
    25.0    4.0300    0.0240
    35.0    3.9600    0.0210
    45.0    3.9420    0.0190
    55.0    3.9280    0.0170
    65.0    3.9390    0.0160
    75.0    4.0490    0.0160
    85.0    4.0450    0.0160
    95.0    4.1350    0.0160
   105.0    4.1920    0.0160
   115.0    4.2460    0.0170
   125.0    4.3160    0.0180
   135.0    4.3620    0.0200
   145.0    4.3360    0.0220
   155.0    4.3960    0.0250
   165.0    4.4130    0.0320
   175.0    4.3640    0.0560
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    5.4940    0.0620
    15.0    5.4120    0.0360
    25.0    5.3750    0.0280
    35.0    5.2840    0.0240
    45.0    5.2130    0.0210
    55.0    5.2770    0.0200
    65.0    5.3460    0.0190
    75.0    5.4770    0.0190
    85.0    5.6020    0.0190
    95.0    5.7170    0.0190
   105.0    5.9380    0.0190
   115.0    6.0690    0.0200
   125.0    6.1210    0.0210
   135.0    6.2090    0.0230
   145.0    6.2380    0.0260
   155.0    6.3200    0.0300
   165.0    6.2950    0.0390
   175.0    6.2620    0.0660
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    6.1680    0.0670
    15.0    6.0800    0.0390
    25.0    5.9760    0.0300
    35.0    5.8410    0.0260
    45.0    5.8480    0.0230
    55.0    5.9820    0.0220
    65.0    6.1140    0.0210
    75.0    6.3130    0.0210
    85.0    6.5900    0.0210
    95.0    6.8600    0.0210
   105.0    7.0570    0.0220
   115.0    7.2520    0.0230
   125.0    7.4170    0.0240
   135.0    7.5100    0.0260
   145.0    7.6020    0.0290
   155.0    7.5290    0.0340
   165.0    7.5350    0.0430
   175.0    7.4610    0.0740
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    6.5480    0.0710
    15.0    6.2890    0.0410
    25.0    6.1100    0.0310
    35.0    6.0720    0.0270
    45.0    6.1420    0.0240
    55.0    6.3630    0.0230
    65.0    6.6250    0.0220
    75.0    6.9830    0.0220
    85.0    7.3880    0.0220
    95.0    7.7420    0.0230
   105.0    8.0470    0.0240
