E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0560    0.1480
    15.0    0.2370    0.0810
    25.0    0.2700    0.0620
    35.0    0.3270    0.0550
    45.0    0.4130    0.0480
    55.0    0.3670    0.0450
    65.0    0.4050    0.0450
    75.0    0.4670    0.0430
    85.0    0.4530    0.0420
    95.0    0.4170    0.0420
   105.0    0.4040    0.0420
   115.0    0.4030    0.0430
   125.0    0.4330    0.0460
   135.0    0.3150    0.0490
   145.0    0.1630    0.0530
   155.0    0.2350    0.0610
   165.0    0.2180    0.0800
   175.0   -0.0270    0.1320
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0690    0.1170
    15.0    0.1670    0.0680
    25.0    0.2150    0.0540
    35.0    0.4230    0.0470
    45.0    0.5300    0.0440
    55.0    0.5670    0.0420
    65.0    0.5630    0.0390
    75.0    0.6650    0.0380
    85.0    0.6240    0.0370
    95.0    0.7080    0.0370
   105.0    0.6890    0.0380
   115.0    0.5960    0.0370
   125.0    0.5690    0.0400
   135.0    0.4630    0.0430
   145.0    0.4720    0.0470
   155.0    0.2550    0.0560
   165.0    0.2340    0.0700
   175.0   -0.1710    0.1210
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1720    0.1080
    15.0    0.3050    0.0660
    25.0    0.4010    0.0540
    35.0    0.6180    0.0480
    45.0    0.6420    0.0440
    55.0    0.7630    0.0410
    65.0    0.8030    0.0390
    75.0    0.7860    0.0370
    85.0    0.8430    0.0360
    95.0    0.8430    0.0370
   105.0    0.7790    0.0370
   115.0    0.7470    0.0370
   125.0    0.7020    0.0390
   135.0    0.6270    0.0410
   145.0    0.5360    0.0460
   155.0    0.4190    0.0510
   165.0    0.1770    0.0650
   175.0   -0.0060    0.1090
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1150    0.1090
    15.0    0.3180    0.0700
    25.0    0.4330    0.0550
    35.0    0.6340    0.0490
    45.0    0.7330    0.0450
    55.0    0.8520    0.0420
    65.0    0.8990    0.0400
    75.0    0.8870    0.0380
    85.0    0.9010    0.0370
    95.0    0.8580    0.0360
   105.0    0.8920    0.0360
   115.0    0.8570    0.0370
   125.0    0.7920    0.0380
   135.0    0.7130    0.0420
   145.0    0.5700    0.0450
   155.0    0.5030    0.0520
   165.0    0.2470    0.0660
   175.0    0.2200    0.1100
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0260    0.1140
    15.0    0.4300    0.0710
    25.0    0.5240    0.0570
    35.0    0.7510    0.0520
    45.0    0.8810    0.0470
    55.0    0.9100    0.0440
    65.0    0.9970    0.0410
    75.0    0.9150    0.0380
    85.0    0.9720    0.0370
    95.0    0.9750    0.0360
   105.0    0.9760    0.0360
   115.0    0.8840    0.0370
   125.0    0.9350    0.0390
   135.0    0.7660    0.0410
   145.0    0.6840    0.0440
   155.0    0.4690    0.0510
   165.0    0.1760    0.0640
   175.0   -0.0650    0.1080
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.3550    0.1310
    15.0    0.5360    0.0740
    25.0    0.6780    0.0620
    35.0    0.7890    0.0560
    45.0    0.8330    0.0480
    55.0    0.9950    0.0450
    65.0    0.9690    0.0400
    75.0    1.0060    0.0380
    85.0    0.9610    0.0360
    95.0    0.9830    0.0350
   105.0    0.9700    0.0350
   115.0    0.9630    0.0360
   125.0    0.9480    0.0380
   135.0    0.8760    0.0400
   145.0    0.6850    0.0440
   155.0    0.6080    0.0500
   165.0    0.4280    0.0630
   175.0    0.1740    0.1110
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1410    0.1280
    15.0    0.4910    0.0830
    25.0    0.8410    0.0670
    35.0    0.8480    0.0590
    45.0    0.9090    0.0520
    55.0    0.9430    0.0450
    65.0    0.9250    0.0400
    75.0    0.9700    0.0380
    85.0    0.9470    0.0350
    95.0    0.9810    0.0350
   105.0    0.9690    0.0350
   115.0    0.9610    0.0360
   125.0    0.9660    0.0380
   135.0    0.9510    0.0410
   145.0    0.7740    0.0430
   155.0    0.6720    0.0500
   165.0    0.3600    0.0640
   175.0    0.1670    0.1110
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2900    0.1470
    15.0    0.3790    0.0840
    25.0    0.7670    0.0710
    35.0    0.8110    0.0590
    45.0    0.9960    0.0530
    55.0    0.9400    0.0440
    65.0    0.8620    0.0390
    75.0    0.8570    0.0350
    85.0    0.8960    0.0340
    95.0    0.9940    0.0340
   105.0    0.9550    0.0340
   115.0    0.9800    0.0350
   125.0    0.9770    0.0360
   135.0    0.9380    0.0400
   145.0    0.7300    0.0430
   155.0    0.6390    0.0490
   165.0    0.4410    0.0650
   175.0    0.3070    0.1050
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.3270    0.1530
    15.0    0.5320    0.0970
    25.0    0.7450    0.0740
    35.0    0.8330    0.0610
    45.0    0.8980    0.0510
    55.0    0.8090    0.0430
    65.0    0.7950    0.0380
    75.0    0.8180    0.0350
    85.0    0.8730    0.0330
    95.0    0.9590    0.0330
   105.0    0.9810    0.0330
   115.0    0.9510    0.0340
   125.0    0.9800    0.0360
   135.0    0.8920    0.0390
   145.0    0.7870    0.0430
   155.0    0.6840    0.0500
   165.0    0.4300    0.0590
   175.0    0.2650    0.1030
------------------------------------------
E =  250.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1920    0.1590
    15.0    0.5230    0.0960
    25.0    0.8390    0.0790
    35.0    0.8080    0.0600
    45.0    0.6920    0.0490
    55.0    0.6870    0.0410
    65.0    0.6900    0.0360
    75.0    0.7120    0.0340
    85.0    0.7700    0.0320
    95.0    0.8450    0.0310
   105.0    0.9050    0.0310
   115.0    0.9540    0.0330
   125.0    0.9890    0.0350
   135.0    0.9870    0.0380
   145.0    0.8730    0.0410
   155.0    0.5800    0.0470
   165.0    0.4410    0.0590
   175.0    0.1830    0.1020
------------------------------------------
E =  260.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0760    0.1720
    15.0    0.6010    0.1040
    25.0    0.7830    0.0790
    35.0    0.7200    0.0630
    45.0    0.6480    0.0470
    55.0    0.5710    0.0390
    65.0    0.5470    0.0340
    75.0    0.6740    0.0320
    85.0    0.7120    0.0300
    95.0    0.7880    0.0300
   105.0    0.8940    0.0300
   115.0    0.9760    0.0320
   125.0    0.9580    0.0340
   135.0    0.9730    0.0370
   145.0    0.7960    0.0400
   155.0    0.6830    0.0470
   165.0    0.4340    0.0590
   175.0    0.2630    0.0940
------------------------------------------
E =  270.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2570    0.1790
    15.0    0.4740    0.1030
    25.0    0.5350    0.0780
    35.0    0.5870    0.0580
    45.0    0.4360    0.0450
    55.0    0.4310    0.0370
    65.0    0.4500    0.0330
    75.0    0.4470    0.0300
    85.0    0.6660    0.0290
    95.0    0.7030    0.0280
   105.0    0.8230    0.0290
   115.0    0.8830    0.0310
   125.0    0.9550    0.0330
   135.0    0.9500    0.0360
   145.0    0.9420    0.0410
   155.0    0.7350    0.0470
   165.0    0.4910    0.0570
   175.0    0.3570    0.0990
------------------------------------------
E =  280.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1340    0.1630
    15.0    0.5100    0.1050
    25.0    0.4520    0.0750
    35.0    0.2790    0.0540
    45.0    0.2020    0.0440
    55.0    0.3180    0.0360
    65.0    0.3220    0.0310
    75.0    0.4140    0.0290
    85.0    0.5220    0.0270
    95.0    0.6290    0.0270
   105.0    0.7520    0.0280
   115.0    0.8560    0.0290
   125.0    0.9200    0.0320
   135.0    0.9030    0.0340
   145.0    0.9110    0.0400
   155.0    0.8130    0.0470
   165.0    0.4270    0.0570
   175.0    0.3490    0.0960
------------------------------------------
E =  290.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2720    0.1690
    15.0    0.1430    0.0970
    25.0    0.1430    0.0680
    35.0    0.0930    0.0520
    45.0    0.0630    0.0410
    55.0    0.1450    0.0350
    65.0    0.2170    0.0300
    75.0    0.2810    0.0280
    85.0    0.4180    0.0270
    95.0    0.5890    0.0260
   105.0    0.6880    0.0270
   115.0    0.8320    0.0290
   125.0    0.8770    0.0310
   135.0    0.8970    0.0350
   145.0    0.9040    0.0400
   155.0    0.6830    0.0460
   165.0    0.4980    0.0570
   175.0    0.2980    0.0940
------------------------------------------
E =  300.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1790    0.1540
    15.0    0.0630    0.0850
    25.0   -0.0980    0.0660
    35.0   -0.1070    0.0500
    45.0   -0.0500    0.0390
    55.0   -0.0310    0.0340
    65.0    0.0350    0.0300
    75.0    0.1960    0.0270
    85.0    0.3380    0.0260
    95.0    0.4850    0.0260
   105.0    0.6000    0.0270
   115.0    0.7910    0.0290
   125.0    0.8550    0.0310
   135.0    0.9050    0.0350
   145.0    0.9550    0.0400
   155.0    0.6910    0.0460
   165.0    0.4680    0.0580
   175.0    0.2800    0.0960
------------------------------------------
E =  310.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1950    0.1430
    15.0   -0.1360    0.0790
    25.0   -0.2050    0.0630
    35.0   -0.2900    0.0480
    45.0   -0.1590    0.0390
    55.0   -0.1120    0.0330
    65.0   -0.0320    0.0290
    75.0    0.0830    0.0270
    85.0    0.2460    0.0260
    95.0    0.4070    0.0260
   105.0    0.5680    0.0270
   115.0    0.7270    0.0290
   125.0    0.8230    0.0320
   135.0    0.8670    0.0350
   145.0    0.8790    0.0410
   155.0    0.7210    0.0480
   165.0    0.5140    0.0610
   175.0    0.1430    0.1010
------------------------------------------
E =  320.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0670    0.1210
    15.0   -0.2300    0.0760
    25.0   -0.4330    0.0600
    35.0   -0.4000    0.0470
    45.0   -0.3270    0.0390
    55.0   -0.1840    0.0330
    65.0   -0.0350    0.0290
    75.0    0.0120    0.0270
    85.0    0.2090    0.0260
    95.0    0.2930    0.0260
   105.0    0.4910    0.0270
   115.0    0.6810    0.0300
   125.0    0.8170    0.0330
   135.0    0.8290    0.0370
   145.0    0.8510    0.0430
   155.0    0.6730    0.0500
   165.0    0.5280    0.0640
   175.0    0.2010    0.1120
------------------------------------------
E =  330.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1230    0.1130
    15.0   -0.1800    0.0700
    25.0   -0.3510    0.0550
    35.0   -0.4380    0.0460
    45.0   -0.4300    0.0390
    55.0   -0.2470    0.0340
    65.0   -0.1420    0.0300
    75.0   -0.0650    0.0290
    85.0    0.1420    0.0280
    95.0    0.3310    0.0280
   105.0    0.5090    0.0290
   115.0    0.6640    0.0310
   125.0    0.7710    0.0340
   135.0    0.9010    0.0390
   145.0    0.7170    0.0430
   155.0    0.7230    0.0530
   165.0    0.5590    0.0700
   175.0    0.0140    0.1160
------------------------------------------
E =  340.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0060    0.1080
    15.0   -0.2170    0.0670
    25.0   -0.3900    0.0550
    35.0   -0.3870    0.0450
    45.0   -0.3900    0.0390
    55.0   -0.2510    0.0340
    65.0   -0.1940    0.0310
    75.0   -0.0380    0.0300
    85.0    0.1280    0.0290
    95.0    0.3120    0.0300
   105.0    0.4460    0.0310
   115.0    0.5750    0.0330
   125.0    0.7260    0.0370
   135.0    0.7630    0.0410
   145.0    0.8230    0.0490
   155.0    0.6410    0.0570
   165.0    0.5150    0.0750
   175.0    0.3460    0.1290
------------------------------------------
E =  350.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0110    0.1020
    15.0   -0.0890    0.0630
    25.0   -0.3490    0.0550
    35.0   -0.4080    0.0460
    45.0   -0.4150    0.0410
    55.0   -0.2680    0.0350
    65.0   -0.2790    0.0340
    75.0   -0.0880    0.0310
    85.0    0.1790    0.0310
    95.0    0.2330    0.0310
   105.0    0.3680    0.0320
   115.0    0.5800    0.0350
   125.0    0.6690    0.0390
   135.0    0.7360    0.0450
   145.0    0.8230    0.0530
   155.0    0.7260    0.0640
   165.0    0.5390    0.0820
   175.0    0.0840    0.1350
------------------------------------------
E =  360.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.2380    0.1010
    15.0   -0.2540    0.0650
    25.0   -0.3910    0.0530
    35.0   -0.4930    0.0470
    45.0   -0.4490    0.0420
    55.0   -0.3520    0.0370
    65.0   -0.1810    0.0350
    75.0   -0.0790    0.0330
    85.0    0.1190    0.0320
    95.0    0.1740    0.0340
   105.0    0.3660    0.0350
   115.0    0.5040    0.0380
   125.0    0.6250    0.0420
   135.0    0.7380    0.0500
   145.0    0.6910    0.0570
   155.0    0.5690    0.0700
   165.0    0.4610    0.0880
   175.0    0.1510    0.1510
------------------------------------------
E =  370.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1390    0.0990
    15.0   -0.2770    0.0630
    25.0   -0.4040    0.0550
    35.0   -0.4840    0.0490
    45.0   -0.3880    0.0430
    55.0   -0.2680    0.0390
    65.0   -0.1990    0.0370
    75.0   -0.0270    0.0350
    85.0    0.0800    0.0350
    95.0    0.2580    0.0360
   105.0    0.3720    0.0390
   115.0    0.4510    0.0410
   125.0    0.6490    0.0470
   135.0    0.6970    0.0530
   145.0    0.6810    0.0620
   155.0    0.6970    0.0760
   165.0    0.5000    0.1000
   175.0    0.1240    0.1560
------------------------------------------
E =  380.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0050    0.1010
    15.0   -0.2450    0.0640
    25.0   -0.3910    0.0550
    35.0   -0.3280    0.0500
    45.0   -0.3530    0.0450
    55.0   -0.2040    0.0410
    65.0   -0.1760    0.0380
    75.0   -0.0310    0.0380
    85.0    0.1310    0.0370
    95.0    0.1920    0.0380
   105.0    0.3030    0.0410
   115.0    0.5130    0.0450
   125.0    0.5490    0.0510
   135.0    0.6300    0.0560
   145.0    0.7400    0.0680
   155.0    0.4900    0.0800
   165.0    0.4020    0.1090
   175.0    0.0150    0.1740
------------------------------------------
E =  390.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0750    0.1030
    15.0   -0.2850    0.0660
    25.0   -0.3400    0.0560
    35.0   -0.3630    0.0490
    45.0   -0.3110    0.0470
    55.0   -0.3240    0.0430
    65.0   -0.1390    0.0410
    75.0   -0.0190    0.0390
    85.0    0.1570    0.0390
    95.0    0.2090    0.0410
   105.0    0.3150    0.0440
   115.0    0.4810    0.0480
   125.0    0.5200    0.0540
   135.0    0.7030    0.0650
   145.0    0.6200    0.0730
   155.0    0.5720    0.0870
   165.0    0.2220    0.1190
   175.0    0.0000    0.1970
------------------------------------------
E =  400.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0830    0.0980
    15.0   -0.1370    0.0680
    25.0   -0.4440    0.0590
    35.0   -0.3130    0.0520
    45.0   -0.3200    0.0480
    55.0   -0.1690    0.0440
    65.0   -0.0520    0.0420
    75.0   -0.0400    0.0420
    85.0    0.1360    0.0430
    95.0    0.2900    0.0440
   105.0    0.3570    0.0480
   115.0    0.4380    0.0510
   125.0    0.5550    0.0590
   135.0    0.6010    0.0660
   145.0    0.5480    0.0810
   155.0    0.5380    0.0990
   165.0    0.3990    0.1190
   175.0   -0.0660    0.2090
------------------------------------------
E =  410.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1610    0.1150
    15.0   -0.1860    0.0700
    25.0   -0.2430    0.0590
    35.0   -0.2760    0.0540
    45.0   -0.2130    0.0500
    55.0   -0.1170    0.0460
    65.0   -0.0590    0.0430
    75.0    0.0720    0.0430
    85.0    0.0800    0.0450
    95.0    0.3010    0.0460
   105.0    0.4140    0.0500
   115.0    0.3260    0.0570
   125.0    0.5540    0.0620
   135.0    0.5380    0.0720
   145.0    0.5270    0.0810
   155.0    0.4510    0.1010
   165.0    0.4320    0.1320
   175.0    0.0760    0.2230
------------------------------------------
E =  420.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1460    0.0650
    15.0   -0.1890    0.0420
    25.0   -0.2820    0.0380
    35.0   -0.2950    0.0340
    45.0   -0.2150    0.0300
    55.0   -0.0940    0.0290
    65.0   -0.0080    0.0280
    75.0    0.0820    0.0280
    85.0    0.1910    0.0290
    95.0    0.2400    0.0300
   105.0    0.3870    0.0330
   115.0    0.4840    0.0360
   125.0    0.5570    0.0410
   135.0    0.5320    0.0480
   145.0    0.5630    0.0540
   155.0    0.2700    0.0640
   165.0    0.3200    0.0840
   175.0    0.2090    0.1440
------------------------------------------
E =  430.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1240    0.0660
    15.0   -0.2360    0.0430
    25.0   -0.1870    0.0380
    35.0   -0.1850    0.0340
    45.0   -0.1410    0.0320
    55.0   -0.0210    0.0290
    65.0    0.0540    0.0290
    75.0    0.1210    0.0290
    85.0    0.2240    0.0300
    95.0    0.3720    0.0320
   105.0    0.4100    0.0350
   115.0    0.4970    0.0380
   125.0    0.5270    0.0430
   135.0    0.5780    0.0480
   145.0    0.5130    0.0560
   155.0    0.3570    0.0670
   165.0    0.2180    0.0900
   175.0    0.0860    0.1550
------------------------------------------
E =  440.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0650    0.0690
