E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    4.8320    0.1930
    15.0    5.2760    0.1170
    25.0    4.9060    0.0880
    35.0    4.9350    0.0760
    45.0    5.0020    0.0690
    55.0    4.9440    0.0640
    65.0    5.0340    0.0610
    75.0    4.8330    0.0580
    85.0    4.9080    0.0580
    95.0    4.9890    0.0580
   105.0    4.9180    0.0580
   115.0    4.9270    0.0600
   125.0    5.1090    0.0650
   135.0    5.0970    0.0700
   145.0    5.0400    0.0770
   155.0    5.1240    0.0900
   165.0    4.9460    0.1130
   175.0    5.0480    0.1970
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    6.9510    0.2290
    15.0    6.7350    0.1310
    25.0    6.5480    0.1010
    35.0    6.5000    0.0860
    45.0    6.3960    0.0770
    55.0    6.3340    0.0710
    65.0    6.3570    0.0680
    75.0    6.3970    0.0660
    85.0    6.4660    0.0650
    95.0    6.5450    0.0660
   105.0    6.5700    0.0670
   115.0    6.5850    0.0690
   125.0    6.6250    0.0730
   135.0    6.8090    0.0800
   145.0    6.5010    0.0860
   155.0    6.5980    0.1010
   165.0    6.7170    0.1310
   175.0    6.7250    0.2250
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    7.4580    0.2430
    15.0    7.3150    0.1400
    25.0    7.0900    0.1080
    35.0    7.0670    0.0920
    45.0    6.8210    0.0820
    55.0    6.9180    0.0760
    65.0    7.0120    0.0730
    75.0    7.2420    0.0720
    85.0    7.3690    0.0720
    95.0    7.4530    0.0720
   105.0    7.6470    0.0740
   115.0    7.7480    0.0770
   125.0    7.7250    0.0810
   135.0    7.5420    0.0860
   145.0    7.6490    0.0960
   155.0    7.6670    0.1120
   165.0    7.5950    0.1420
   175.0    7.6320    0.2460
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    7.8770    0.2560
    15.0    7.5620    0.1460
    25.0    7.0600    0.1100
    35.0    6.9430    0.0940
    45.0    6.9500    0.0850
    55.0    7.1820    0.0800
    65.0    7.4110    0.0770
    75.0    7.8170    0.0770
    85.0    8.0560    0.0770
    95.0    8.2690    0.0780
   105.0    8.4920    0.0800
   115.0    8.5560    0.0830
   125.0    8.4620    0.0870
   135.0    8.6130    0.0940
   145.0    8.4280    0.1030
   155.0    8.4160    0.1200
   165.0    8.3620    0.1530
   175.0    8.2520    0.2620
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    7.4960    0.2560
    15.0    7.3340    0.1470
    25.0    6.9560    0.1120
    35.0    6.9440    0.0960
    45.0    7.1700    0.0880
    55.0    7.2670    0.0820
    65.0    7.9210    0.0820
    75.0    8.1760    0.0800
    85.0    8.6620    0.0810
    95.0    8.9260    0.0830
   105.0    9.1850    0.0850
   115.0    9.3530    0.0890
   125.0    9.2920    0.0930
   135.0    9.3730    0.1000
   145.0    9.2040    0.1110
   155.0    9.0970    0.1280
   165.0    9.1000    0.1640
   175.0    8.7020    0.2760
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    7.0370    0.2540
    15.0    6.6880    0.1440
    25.0    6.5550    0.1110
    35.0    6.7410    0.0970
    45.0    7.0650    0.0890
    55.0    7.5130    0.0860
    65.0    8.2680    0.0850
    75.0    8.9170    0.0860
    85.0    9.3650    0.0870
    95.0    9.8850    0.0890
   105.0   10.1300    0.0920
   115.0   10.3390    0.0960
   125.0   10.1130    0.0990
   135.0   10.0710    0.1070
   145.0    9.5910    0.1160
   155.0    9.7300    0.1360
   165.0    9.7290    0.1730
   175.0    9.6090    0.2970
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    6.7410    0.2540
    15.0    6.6810    0.1470
    25.0    6.3580    0.1120
    35.0    6.4600    0.0970
    45.0    6.9740    0.0910
    55.0    7.7610    0.0890
    65.0    8.5030    0.0880
    75.0    9.4940    0.0910
    85.0   10.1960    0.0920
    95.0   10.5390    0.0940
   105.0   11.1590    0.0980
   115.0   11.1650    0.1010
   125.0   10.9100    0.1050
   135.0   10.9940    0.1140
   145.0   10.7120    0.1250
   155.0   10.5210    0.1440
   165.0   10.2850    0.1820
   175.0   10.5800    0.3180
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    6.4930    0.2560
    15.0    6.0160    0.1430
    25.0    5.8340    0.1100
    35.0    6.0560    0.0960
    45.0    6.9670    0.0930
    55.0    8.1410    0.0930
    65.0    9.2780    0.0950
    75.0   10.3040    0.0970
    85.0   10.9420    0.0980
    95.0   11.6540    0.1010
   105.0   12.1420    0.1050
   115.0   12.3730    0.1100
   125.0   11.8830    0.1130
   135.0   12.0880    0.1230
   145.0   11.5240    0.1330
   155.0   11.6090    0.1550
   165.0   11.2040    0.1950
   175.0   11.5650    0.3410
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    5.4580    0.2390
    15.0    5.4860    0.1390
    25.0    5.3860    0.1080
    35.0    5.8920    0.0970
    45.0    7.3840    0.0980
    55.0    8.6040    0.0980
    65.0   10.0830    0.1010
    75.0   11.3150    0.1030
    85.0   12.3860    0.1070
    95.0   12.9900    0.1090
   105.0   13.4540    0.1130
   115.0   13.4300    0.1160
   125.0   13.1690    0.1210
   135.0   12.7770    0.1280
   145.0   12.6490    0.1420
   155.0   12.3260    0.1630
   165.0   12.2490    0.2080
   175.0   12.5820    0.3630
------------------------------------------
E =  250.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    5.2570    0.2390
    15.0    5.2120    0.1380
    25.0    5.1560    0.1080
    35.0    6.2430    0.1020
    45.0    7.7120    0.1020
    55.0    9.0390    0.1020
    65.0   11.0500    0.1080
    75.0   12.4300    0.1110
    85.0   13.6100    0.1140
    95.0   14.4780    0.1180
   105.0   14.6390    0.1200
   115.0   14.8630    0.1250
   125.0   14.6490    0.1300
   135.0   14.1880    0.1380
   145.0   13.7130    0.1510
   155.0   13.4200    0.1740
   165.0   13.0060    0.2190
   175.0   13.3730    0.3820
------------------------------------------
E =  260.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    4.7530    0.2320
    15.0    4.9200    0.1370
    25.0    4.9040    0.1070
    35.0    6.4450    0.1060
    45.0    8.1640    0.1070
    55.0   10.2620    0.1110
    65.0   12.1830    0.1150
    75.0   13.8260    0.1190
    85.0   15.1270    0.1230
    95.0   15.9860    0.1260
   105.0   16.3810    0.1300
   115.0   16.2810    0.1330
   125.0   16.1810    0.1400
   135.0   15.5520    0.1480
   145.0   15.0760    0.1610
   155.0   14.4100    0.1840
   165.0   14.2180    0.2330
   175.0   15.1240    0.4150
------------------------------------------
E =  270.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    4.7920    0.2380
    15.0    4.5410    0.1350
    25.0    5.3740    0.1150
    35.0    6.7620    0.1100
    45.0    8.8900    0.1140
    55.0   11.3220    0.1200
    65.0   13.4850    0.1240
    75.0   15.4920    0.1290
    85.0   16.9930    0.1330
    95.0   17.8560    0.1360
   105.0   18.1360    0.1390
   115.0   18.1560    0.1440
   125.0   17.6310    0.1490
   135.0   16.7950    0.1570
   145.0   16.4600    0.1720
   155.0   16.1410    0.1990
   165.0   15.2650    0.2470
   175.0   15.2060    0.4250
------------------------------------------
E =  280.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    5.5760    0.2610
    15.0    4.7850    0.1400
    25.0    5.7340    0.1200
    35.0    7.7650    0.1200
    45.0   10.1090    0.1230
    55.0   12.6660    0.1280
    65.0   15.2030    0.1340
    75.0   17.1350    0.1370
