E =  710.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.211000    0.270000
 15.000   -0.028000    0.152000
 25.000   -0.028000    0.124000
 35.000    0.121000    0.103000
 45.000    0.161000    0.094000
 55.000   -0.082000    0.087000
 65.000   -0.019000    0.083000
 75.000   -0.075000    0.080000
 85.000    0.049000    0.079000
 95.000   -0.075000    0.080000
105.000    0.063000    0.081000
115.000    0.172000    0.084000
125.000   -0.140000    0.088000
135.000    0.047000    0.096000
145.000    0.031000    0.104000
155.000   -0.065000    0.123000
165.000    0.219000    0.157000
175.000    0.492000    0.276000
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.661000    0.410000
 15.000    0.388000    0.232000
 25.000    0.218000    0.181000
 35.000   -0.094000    0.154000
 45.000    0.044000    0.140000
 55.000    0.021000    0.130000
 65.000   -0.181000    0.124000
 75.000    0.023000    0.120000
 85.000   -0.123000    0.119000
 95.000    0.046000    0.119000
105.000    0.147000    0.121000
115.000    0.164000    0.125000
125.000   -0.097000    0.132000
135.000    0.110000    0.142000
145.000   -0.049000    0.160000
155.000    0.091000    0.185000
165.000   -0.231000    0.239000
175.000   -0.140000    0.407000
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.679000    0.325000
 15.000    0.178000    0.183000
 25.000   -0.281000    0.146000
 35.000   -0.144000    0.123000
 45.000    0.054000    0.111000
 55.000    0.049000    0.102000
 65.000    0.045000    0.097000
 75.000    0.032000    0.094000
 85.000   -0.005000    0.093000
 95.000    0.161000    0.093000
105.000    0.074000    0.094000
115.000    0.114000    0.098000
125.000    0.058000    0.103000
135.000    0.129000    0.111000
145.000   -0.092000    0.124000
155.000   -0.023000    0.145000
165.000   -0.012000    0.185000
175.000   -0.284000    0.326000
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.417000    0.273000
 15.000    0.421000    0.157000
 25.000   -0.087000    0.123000
 35.000   -0.048000    0.105000
 45.000    0.120000    0.094000
 55.000    0.095000    0.087000
 65.000    0.124000    0.083000
 75.000    0.013000    0.080000
 85.000    0.089000    0.078000
 95.000    0.125000    0.079000
105.000   -0.023000    0.079000
115.000    0.101000    0.082000
125.000    0.041000    0.086000
135.000    0.095000    0.095000
145.000    0.009000    0.105000
155.000    0.073000    0.122000
165.000   -0.099000    0.158000
175.000    0.178000    0.281000
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.050000    0.241000
 15.000   -0.004000    0.138000
 25.000    0.234000    0.108000
 35.000    0.016000    0.093000
 45.000    0.081000    0.082000
 55.000    0.146000    0.077000
 65.000   -0.042000    0.073000
 75.000    0.058000    0.070000
 85.000    0.104000    0.068000
 95.000    0.162000    0.069000
105.000    0.096000    0.070000
115.000    0.124000    0.072000
125.000   -0.035000    0.077000
135.000    0.182000    0.082000
145.000   -0.030000    0.092000
155.000   -0.098000    0.107000
165.000    0.059000    0.138000
175.000   -0.397000    0.240000
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.033000    0.223000
 15.000    0.124000    0.127000
 25.000    0.048000    0.099000
 35.000   -0.046000    0.085000
 45.000    0.219000    0.075000
 55.000    0.116000    0.069000
 65.000    0.177000    0.065000
 75.000    0.192000    0.063000
 85.000    0.117000    0.062000
 95.000    0.077000    0.061000
105.000    0.166000    0.063000
115.000    0.168000    0.065000
