E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0440    0.0980
    15.0   -0.0680    0.0570
    25.0   -0.0830    0.0440
    35.0   -0.0480    0.0370
    45.0   -0.0310    0.0330
    55.0    0.0290    0.0310
    65.0   -0.0840    0.0290
    75.0   -0.0200    0.0280
    85.0   -0.0110    0.0270
    95.0    0.0100    0.0280
   105.0    0.0250    0.0280
   115.0   -0.0480    0.0290
   125.0   -0.0510    0.0300
   135.0    0.0270    0.0320
   145.0    0.0350    0.0360
   155.0    0.0030    0.0410
   165.0    0.0040    0.0530
   175.0   -0.0420    0.0910
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0180    0.0660
    15.0   -0.0720    0.0370
    25.0   -0.0700    0.0280
    35.0   -0.0290    0.0240
    45.0   -0.0740    0.0220
    55.0   -0.0760    0.0200
    65.0   -0.0710    0.0190
    75.0   -0.1030    0.0180
    85.0   -0.0280    0.0180
    95.0   -0.0230    0.0180
   105.0   -0.0170    0.0180
   115.0   -0.0180    0.0190
   125.0   -0.0140    0.0190
   135.0   -0.0080    0.0210
   145.0   -0.0110    0.0230
   155.0    0.0050    0.0270
   165.0    0.0010    0.0340
   175.0    0.0270    0.0600
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0160    0.0560
    15.0   -0.0190    0.0320
    25.0   -0.0600    0.0250
    35.0   -0.0930    0.0210
    45.0   -0.0860    0.0190
    55.0   -0.0990    0.0180
    65.0   -0.0990    0.0160
    75.0   -0.0270    0.0160
    85.0   -0.0570    0.0160
    95.0   -0.0520    0.0150
   105.0   -0.0720    0.0160
   115.0   -0.0270    0.0160
   125.0    0.0040    0.0170
   135.0   -0.0050    0.0180
   145.0   -0.0220    0.0200
   155.0    0.0010    0.0230
   165.0    0.0370    0.0310
   175.0    0.0100    0.0530
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0250    0.0520
    15.0   -0.0980    0.0300
    25.0   -0.0570    0.0230
    35.0   -0.1220    0.0200
    45.0   -0.1120    0.0180
    55.0   -0.1240    0.0160
    65.0   -0.1300    0.0150
    75.0   -0.1070    0.0150
    85.0   -0.0710    0.0140
    95.0   -0.0460    0.0140
   105.0   -0.0350    0.0150
   115.0   -0.0190    0.0150
   125.0    0.0010    0.0160
   135.0    0.0370    0.0170
   145.0   -0.0020    0.0190
   155.0   -0.0010    0.0220
   165.0    0.0000    0.0290
   175.0    0.0760    0.0490
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1090    0.0510
    15.0   -0.0840    0.0280
    25.0   -0.1550    0.0220
    35.0   -0.1580    0.0190
    45.0   -0.1440    0.0170
    55.0   -0.1730    0.0160
    65.0   -0.1510    0.0150
    75.0   -0.1480    0.0140
    85.0   -0.1130    0.0140
    95.0   -0.0740    0.0140
   105.0   -0.0540    0.0140
   115.0   -0.0060    0.0140
   125.0    0.0020    0.0150
   135.0    0.0220    0.0160
   145.0    0.0150    0.0190
   155.0    0.0240    0.0210
   165.0    0.0650    0.0270
   175.0   -0.0710    0.0480
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0080    0.0480
    15.0   -0.0390    0.0280
    25.0   -0.0980    0.0220
    35.0   -0.1530    0.0190
    45.0   -0.1800    0.0170
    55.0   -0.2000    0.0150
    65.0   -0.1950    0.0140
    75.0   -0.1400    0.0140
    85.0   -0.1320    0.0130
    95.0   -0.0900    0.0130
   105.0   -0.0560    0.0140
   115.0   -0.0330    0.0140
   125.0    0.0040    0.0150
   135.0    0.0140    0.0160
   145.0    0.0520    0.0180
   155.0    0.0450    0.0210
   165.0    0.0330    0.0270
   175.0    0.0270    0.0480
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0690    0.0490
    15.0   -0.1340    0.0280
    25.0   -0.1270    0.0220
    35.0   -0.2030    0.0190
    45.0   -0.2040    0.0170
    55.0   -0.2140    0.0150
    65.0   -0.1930    0.0140
    75.0   -0.1770    0.0140
    85.0   -0.1430    0.0130
    95.0   -0.0980    0.0130
   105.0   -0.0660    0.0140
   115.0   -0.0470    0.0140
   125.0    0.0030    0.0150
   135.0    0.0160    0.0160
   145.0    0.0280    0.0180
   155.0    0.0230    0.0210
   165.0    0.0320    0.0280
   175.0    0.0850    0.0480
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1030    0.0490
    15.0   -0.0910    0.0280
    25.0   -0.1450    0.0220
    35.0   -0.2210    0.0190
    45.0   -0.2650    0.0170
    55.0   -0.2220    0.0150
    65.0   -0.2210    0.0140
    75.0   -0.1920    0.0140
    85.0   -0.1470    0.0130
    95.0   -0.1350    0.0130
   105.0   -0.0760    0.0140
   115.0   -0.0180    0.0140
   125.0    0.0030    0.0150
   135.0    0.0110    0.0160
   145.0    0.0470    0.0180
   155.0    0.0270    0.0220
   165.0    0.0080    0.0280
   175.0    0.0520    0.0500
------------------------------------------
E =  790.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0350    0.0480
    15.0   -0.1080    0.0290
    25.0   -0.2360    0.0220
    35.0   -0.2730    0.0190
    45.0   -0.2990    0.0170
    55.0   -0.2640    0.0160
    65.0   -0.2460    0.0150
    75.0   -0.2150    0.0140
    85.0   -0.2020    0.0140
    95.0   -0.1480    0.0140
   105.0   -0.1020    0.0140
   115.0   -0.0340    0.0140
   125.0   -0.0250    0.0150
   135.0    0.0030    0.0170
   145.0    0.0460    0.0190
   155.0    0.0180    0.0220
   165.0   -0.0110    0.0280
   175.0    0.0080    0.0490
------------------------------------------
E =  800.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0090    0.0490
    15.0   -0.1120    0.0290
    25.0   -0.1990    0.0230
    35.0   -0.2520    0.0190
    45.0   -0.2890    0.0170
    55.0   -0.3020    0.0160
    65.0   -0.2590    0.0150
    75.0   -0.2580    0.0140
    85.0   -0.1630    0.0140
    95.0   -0.1140    0.0140
   105.0   -0.1190    0.0140
   115.0   -0.0570    0.0140
   125.0   -0.0220    0.0150
   135.0   -0.0090    0.0170
   145.0    0.0410    0.0190
   155.0    0.0510    0.0230
   165.0    0.0580    0.0290
   175.0   -0.0070    0.0510
------------------------------------------
E =  810.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0680    0.0500
    15.0   -0.1200    0.0300
    25.0   -0.2370    0.0230
    35.0   -0.2730    0.0200
    45.0   -0.3260    0.0180
    55.0   -0.3230    0.0160
    65.0   -0.2780    0.0150
    75.0   -0.2600    0.0150
    85.0   -0.2060    0.0140
    95.0   -0.1790    0.0140
   105.0   -0.1060    0.0150
   115.0   -0.0670    0.0150
   125.0   -0.0350    0.0160
   135.0   -0.0040    0.0170
   145.0    0.0360    0.0190
   155.0    0.0240    0.0230
   165.0    0.0160    0.0300
   175.0    0.0220    0.0520
------------------------------------------
E =  820.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0400    0.0260
    15.0   -0.1750    0.0150
    25.0   -0.2580    0.0120
    35.0   -0.2990    0.0100
    45.0   -0.3360    0.0090
    55.0   -0.3500    0.0080
    65.0   -0.3280    0.0080
    75.0   -0.2780    0.0080
    85.0   -0.2410    0.0070
    95.0   -0.1820    0.0070
   105.0   -0.1200    0.0070
   115.0   -0.0780    0.0080
   125.0   -0.0300    0.0080
   135.0    0.0080    0.0090
   145.0    0.0190    0.0100
   155.0    0.0440    0.0120
   165.0    0.0080    0.0150
   175.0    0.0110    0.0260
------------------------------------------
E =  830.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0580    0.0260
    15.0   -0.1970    0.0150
    25.0   -0.2650    0.0120
    35.0   -0.3220    0.0100
    45.0   -0.3670    0.0090
    55.0   -0.3800    0.0090
    65.0   -0.3390    0.0080
    75.0   -0.3160    0.0080
    85.0   -0.2520    0.0080
    95.0   -0.2030    0.0080
   105.0   -0.1410    0.0080
   115.0   -0.0900    0.0080
   125.0   -0.0230    0.0080
   135.0    0.0040    0.0090
   145.0    0.0280    0.0100
   155.0    0.0430    0.0120
   165.0    0.0550    0.0150
   175.0    0.0060    0.0270
------------------------------------------
E =  840.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1220    0.0270
    15.0   -0.1980    0.0160
    25.0   -0.2910    0.0120
    35.0   -0.3670    0.0110
    45.0   -0.4010    0.0100
    55.0   -0.4010    0.0090
    65.0   -0.3780    0.0090
    75.0   -0.3180    0.0080
    85.0   -0.2620    0.0080
    95.0   -0.2060    0.0080
   105.0   -0.1410    0.0080
   115.0   -0.1000    0.0080
   125.0   -0.0370    0.0090
   135.0    0.0100    0.0090
   145.0    0.0320    0.0100
   155.0    0.0220    0.0120
   165.0    0.0200    0.0160
   175.0   -0.0040    0.0280
------------------------------------------
E =  850.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0550    0.0280
    15.0   -0.2100    0.0160
    25.0   -0.3280    0.0130
    35.0   -0.3740    0.0110
    45.0   -0.4360    0.0100
    55.0   -0.3920    0.0090
    65.0   -0.3980    0.0090
    75.0   -0.3540    0.0090
    85.0   -0.2850    0.0080
    95.0   -0.2290    0.0080
   105.0   -0.1560    0.0080
   115.0   -0.0940    0.0080
   125.0   -0.0500    0.0090
   135.0   -0.0110    0.0100
   145.0    0.0210    0.0110
   155.0    0.0240    0.0130
   165.0    0.0250    0.0160
   175.0   -0.0020    0.0280
------------------------------------------
E =  860.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1430    0.0280
    15.0   -0.2360    0.0170
    25.0   -0.3220    0.0130
    35.0   -0.4140    0.0120
    45.0   -0.4190    0.0110
    55.0   -0.4490    0.0100
    65.0   -0.4010    0.0090
    75.0   -0.3530    0.0090
    85.0   -0.2910    0.0090
    95.0   -0.2270    0.0090
   105.0   -0.1620    0.0090
   115.0   -0.1110    0.0090
   125.0   -0.0800    0.0090
   135.0   -0.0170    0.0100
   145.0    0.0100    0.0110
   155.0    0.0440    0.0130
   165.0    0.0270    0.0170
   175.0   -0.0200    0.0300
------------------------------------------
E =  870.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0780    0.0300
    15.0   -0.2620    0.0170
    25.0   -0.3620    0.0140
    35.0   -0.4160    0.0120
    45.0   -0.4520    0.0110
    55.0   -0.4750    0.0100
    65.0   -0.4300    0.0100
    75.0   -0.3790    0.0090
    85.0   -0.3160    0.0090
    95.0   -0.2390    0.0090
   105.0   -0.1760    0.0090
   115.0   -0.1150    0.0090
   125.0   -0.0560    0.0090
   135.0   -0.0120    0.0100
   145.0    0.0110    0.0110
   155.0    0.0180    0.0130
   165.0    0.0090    0.0170
   175.0   -0.0050    0.0300
------------------------------------------
E =  880.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0550    0.0310
    15.0   -0.2360    0.0180
    25.0   -0.3510    0.0140
    35.0   -0.4680    0.0130
    45.0   -0.4940    0.0110
    55.0   -0.4840    0.0110
    65.0   -0.4510    0.0100
    75.0   -0.3960    0.0100
    85.0   -0.3340    0.0090
    95.0   -0.2570    0.0090
   105.0   -0.1760    0.0090
   115.0   -0.1020    0.0090
   125.0   -0.0680    0.0100
   135.0   -0.0230    0.0110
   145.0    0.0060    0.0120
   155.0    0.0220    0.0140
   165.0    0.0210    0.0180
   175.0    0.0200    0.0310
------------------------------------------
E =  890.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1200    0.0320
    15.0   -0.2720    0.0190
    25.0   -0.4100    0.0150
    35.0   -0.4730    0.0130
    45.0   -0.5280    0.0120
    55.0   -0.5050    0.0110
    65.0   -0.4680    0.0110
    75.0   -0.4190    0.0100
    85.0   -0.3200    0.0100
    95.0   -0.2600    0.0100
   105.0   -0.1820    0.0100
   115.0   -0.1110    0.0100
   125.0   -0.0620    0.0100
   135.0   -0.0010    0.0110
   145.0    0.0340    0.0120
   155.0    0.0190    0.0140
   165.0    0.0190    0.0180
   175.0    0.0420    0.0320
------------------------------------------
E =  900.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1730    0.0340
    15.0   -0.2780    0.0200
    25.0   -0.4560    0.0160
    35.0   -0.5030    0.0140
    45.0   -0.5630    0.0130
    55.0   -0.5060    0.0120
    65.0   -0.4610    0.0110
    75.0   -0.4160    0.0110
    85.0   -0.3340    0.0100
    95.0   -0.2520    0.0100
   105.0   -0.1780    0.0100
   115.0   -0.1220    0.0100
   125.0   -0.0560    0.0100
   135.0   -0.0290    0.0110
   145.0   -0.0140    0.0130
   155.0    0.0190    0.0150
   165.0   -0.0030    0.0190
   175.0    0.0080    0.0330
------------------------------------------
E =  910.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1410    0.0360
    15.0   -0.3280    0.0210
    25.0   -0.4580    0.0170
    35.0   -0.5060    0.0150
    45.0   -0.5550    0.0130
    55.0   -0.5100    0.0120
    65.0   -0.4530    0.0120
    75.0   -0.4100    0.0110
    85.0   -0.2970    0.0110
    95.0   -0.2170    0.0100
   105.0   -0.1910    0.0100
   115.0   -0.1030    0.0100
   125.0   -0.0510    0.0110
   135.0    0.0080    0.0120
   145.0    0.0090    0.0130
   155.0    0.0190    0.0150
   165.0   -0.0100    0.0200
   175.0    0.0060    0.0340
------------------------------------------
E =  920.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1340    0.0380
    15.0   -0.3400    0.0220
    25.0   -0.4880    0.0180
    35.0   -0.5420    0.0150
    45.0   -0.5510    0.0140
    55.0   -0.5360    0.0130
    65.0   -0.4520    0.0120
    75.0   -0.3830    0.0120
    85.0   -0.3020    0.0110
    95.0   -0.2140    0.0110
   105.0   -0.1410    0.0110
   115.0   -0.0760    0.0110
   125.0   -0.0410    0.0110
   135.0   -0.0180    0.0120
   145.0    0.0270    0.0130
   155.0    0.0410    0.0160
   165.0   -0.0010    0.0200
   175.0   -0.0210    0.0350
------------------------------------------
E =  930.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1580    0.0400
    15.0   -0.3600    0.0230
    25.0   -0.4920    0.0190
    35.0   -0.5780    0.0170
    45.0   -0.5750    0.0150
    55.0   -0.5040    0.0140
    65.0   -0.4050    0.0130
    75.0   -0.3530    0.0120
    85.0   -0.2390    0.0110
    95.0   -0.1950    0.0110
   105.0   -0.1380    0.0110
   115.0   -0.0750    0.0110
   125.0   -0.0300    0.0120
   135.0   -0.0020    0.0120
   145.0    0.0110    0.0140
   155.0    0.0170    0.0160
   165.0    0.0140    0.0210
   175.0    0.0110    0.0370
------------------------------------------
E =  940.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.2050    0.0430
    15.0   -0.3650    0.0250
    25.0   -0.5390    0.0200
    35.0   -0.6060    0.0180
    45.0   -0.5710    0.0160
    55.0   -0.5050    0.0140
    65.0   -0.3990    0.0130
    75.0   -0.3330    0.0120
    85.0   -0.2360    0.0120
    95.0   -0.1520    0.0120
   105.0   -0.1250    0.0110
   115.0   -0.0610    0.0120
   125.0   -0.0230    0.0120
   135.0    0.0160    0.0130
   145.0    0.0040    0.0150
   155.0    0.0200    0.0170
   165.0    0.0020    0.0220
   175.0    0.0020    0.0390
------------------------------------------
E =  950.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1480    0.0460
