E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0030    0.0530
    15.0    0.0130    0.0310
    25.0    0.0280    0.0240
    35.0   -0.0200    0.0210
    45.0    0.0160    0.0180
    55.0    0.0460    0.0170
    65.0    0.0280    0.0160
    75.0   -0.0040    0.0160
    85.0    0.0060    0.0150
    95.0    0.0300    0.0150
   105.0   -0.0160    0.0150
   115.0   -0.0110    0.0160
   125.0    0.0120    0.0170
   135.0   -0.0030    0.0180
   145.0    0.0140    0.0200
   155.0   -0.0270    0.0230
   165.0   -0.0240    0.0300
   175.0    0.0240    0.0540
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0080    0.0480
    15.0    0.0240    0.0270
    25.0    0.0040    0.0220
    35.0    0.0190    0.0180
    45.0    0.0050    0.0160
    55.0    0.0320    0.0150
    65.0    0.0230    0.0140
    75.0    0.0350    0.0140
    85.0    0.0400    0.0130
    95.0    0.0660    0.0130
   105.0    0.0490    0.0130
   115.0    0.0470    0.0140
   125.0    0.0360    0.0150
   135.0    0.0230    0.0160
   145.0   -0.0030    0.0170
   155.0   -0.0020    0.0200
   165.0   -0.0260    0.0260
   175.0    0.0210    0.0450
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0290    0.0420
    15.0   -0.0190    0.0240
    25.0    0.0090    0.0190
    35.0    0.0210    0.0160
    45.0    0.0360    0.0140
    55.0    0.0420    0.0130
    65.0    0.0500    0.0120
    75.0    0.0630    0.0120
    85.0    0.0660    0.0120
    95.0    0.0700    0.0110
   105.0    0.0850    0.0120
   115.0    0.0610    0.0120
   125.0    0.0150    0.0120
   135.0    0.0380    0.0140
   145.0    0.0400    0.0150
   155.0    0.0000    0.0180
   165.0    0.0180    0.0230
   175.0   -0.0210    0.0390
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0520    0.0380
    15.0   -0.0030    0.0230
    25.0    0.0170    0.0170
    35.0    0.0080    0.0150
    45.0    0.0420    0.0130
    55.0    0.0560    0.0120
    65.0    0.0870    0.0110
    75.0    0.0870    0.0110
    85.0    0.0800    0.0110
    95.0    0.0780    0.0110
   105.0    0.1020    0.0110
   115.0    0.0800    0.0110
   125.0    0.0770    0.0120
   135.0    0.0730    0.0130
   145.0    0.0380    0.0140
   155.0    0.0210    0.0160
   165.0   -0.0060    0.0210
   175.0    0.0050    0.0380
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0050    0.0370
    15.0    0.0080    0.0210
    25.0    0.0480    0.0170
    35.0    0.0490    0.0140
    45.0    0.0630    0.0130
    55.0    0.0950    0.0110
    65.0    0.0900    0.0110
    75.0    0.1050    0.0100
    85.0    0.1300    0.0100
    95.0    0.1280    0.0100
   105.0    0.1260    0.0100
   115.0    0.1480    0.0110
   125.0    0.0840    0.0110
   135.0    0.0880    0.0120
   145.0    0.0520    0.0140
   155.0    0.0470    0.0160
   165.0   -0.0360    0.0210
   175.0    0.0120    0.0370
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0580    0.0370
    15.0    0.0180    0.0210
    25.0    0.0400    0.0160
    35.0    0.0440    0.0140
    45.0    0.0960    0.0120
    55.0    0.1040    0.0110
    65.0    0.1180    0.0110
    75.0    0.1400    0.0100
    85.0    0.1600    0.0100
    95.0    0.1510    0.0100
   105.0    0.1500    0.0100
   115.0    0.1390    0.0100
   125.0    0.1150    0.0110
   135.0    0.1010    0.0120
   145.0    0.0520    0.0130
   155.0    0.0310    0.0160
   165.0    0.0080    0.0200
   175.0    0.0630    0.0350
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0990    0.0360
    15.0    0.0110    0.0200
    25.0    0.0500    0.0160
    35.0    0.0690    0.0130
    45.0    0.0740    0.0120
    55.0    0.1390    0.0110
    65.0    0.1430    0.0100
    75.0    0.1650    0.0100
    85.0    0.1820    0.0100
    95.0    0.1670    0.0100
   105.0    0.1730    0.0100
   115.0    0.1610    0.0100
   125.0    0.1050    0.0110
   135.0    0.1110    0.0120
   145.0    0.0990    0.0130
   155.0    0.0350    0.0150
   165.0    0.0330    0.0200
   175.0   -0.0050    0.0360
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0500    0.0380
    15.0    0.0120    0.0220
    25.0    0.0590    0.0170
    35.0    0.0760    0.0140
    45.0    0.1020    0.0130
    55.0    0.1410    0.0120
    65.0    0.1360    0.0110
    75.0    0.1570    0.0110
    85.0    0.1630    0.0100
    95.0    0.1880    0.0100
   105.0    0.1920    0.0100
   115.0    0.1920    0.0110
   125.0    0.1560    0.0110
   135.0    0.1340    0.0120
   145.0    0.1120    0.0140
   155.0    0.0360    0.0170
   165.0    0.0280    0.0210
   175.0    0.0190    0.0380
------------------------------------------
E =  790.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0570    0.0380
    15.0    0.0310    0.0220
    25.0    0.0380    0.0170
    35.0    0.0800    0.0140
    45.0    0.1100    0.0130
    55.0    0.1360    0.0120
    65.0    0.1600    0.0110
    75.0    0.1760    0.0110
    85.0    0.1950    0.0100
    95.0    0.2070    0.0100
   105.0    0.1830    0.0110
   115.0    0.2090    0.0110
   125.0    0.1750    0.0120
   135.0    0.1240    0.0120
   145.0    0.0770    0.0140
   155.0    0.0720    0.0170
   165.0    0.0150    0.0220
   175.0    0.0170    0.0390
------------------------------------------
E =  800.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0060    0.0370
    15.0   -0.0190    0.0220
    25.0    0.0450    0.0170
    35.0    0.0950    0.0140
    45.0    0.0930    0.0130
    55.0    0.1620    0.0120
    65.0    0.1840    0.0110
    75.0    0.2120    0.0110
    85.0    0.2000    0.0110
    95.0    0.2120    0.0110
   105.0    0.2330    0.0110
   115.0    0.1960    0.0110
   125.0    0.1690    0.0120
   135.0    0.1270    0.0130
   145.0    0.1210    0.0140
   155.0    0.0640    0.0170
   165.0    0.0110    0.0220
   175.0    0.0550    0.0380
------------------------------------------
E =  810.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0420    0.0390
    15.0    0.0360    0.0220
    25.0    0.0180    0.0170
    35.0    0.0910    0.0150
    45.0    0.1300    0.0130
    55.0    0.1630    0.0120
    65.0    0.1800    0.0120
    75.0    0.2150    0.0110
    85.0    0.2100    0.0110
    95.0    0.2210    0.0110
   105.0    0.2190    0.0110
   115.0    0.2230    0.0110
   125.0    0.2030    0.0120
   135.0    0.1590    0.0130
   145.0    0.1150    0.0140
   155.0    0.0620    0.0170
   165.0    0.0410    0.0220
   175.0   -0.0000    0.0390
------------------------------------------
E =  820.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0080    0.0400
    15.0   -0.0030    0.0230
    25.0    0.0430    0.0180
    35.0    0.0490    0.0150
    45.0    0.1280    0.0130
    55.0    0.1510    0.0120
    65.0    0.1960    0.0120
    75.0    0.2080    0.0110
    85.0    0.2330    0.0110
    95.0    0.2340    0.0110
   105.0    0.2370    0.0110
   115.0    0.2320    0.0120
   125.0    0.2160    0.0120
   135.0    0.1680    0.0130
   145.0    0.1170    0.0150
   155.0    0.0770    0.0170
   165.0    0.0700    0.0230
   175.0   -0.0020    0.0390
------------------------------------------
E =  830.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0280    0.0400
    15.0    0.0370    0.0230
    25.0    0.0470    0.0180
    35.0    0.0600    0.0150
    45.0    0.1400    0.0140
    55.0    0.1580    0.0130
    65.0    0.1790    0.0120
    75.0    0.2110    0.0120
    85.0    0.2270    0.0110
    95.0    0.2540    0.0120
   105.0    0.2540    0.0120
   115.0    0.2510    0.0120
   125.0    0.2160    0.0130
   135.0    0.1870    0.0140
   145.0    0.1110    0.0150
   155.0    0.0990    0.0180
   165.0    0.0720    0.0230
   175.0    0.0380    0.0410
------------------------------------------
E =  840.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0460    0.0350
    15.0    0.0100    0.0200
    25.0    0.0480    0.0160
    35.0    0.0830    0.0130
    45.0    0.1350    0.0120
    55.0    0.1630    0.0110
    65.0    0.2090    0.0110
    75.0    0.2520    0.0110
    85.0    0.2600    0.0100
    95.0    0.2650    0.0100
   105.0    0.2540    0.0100
   115.0    0.2440    0.0110
   125.0    0.2360    0.0110
   135.0    0.1890    0.0120
   145.0    0.1370    0.0130
   155.0    0.0860    0.0160
   165.0    0.0690    0.0200
   175.0    0.0080    0.0350
------------------------------------------
E =  850.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0080    0.0350
    15.0    0.0360    0.0210
    25.0    0.0320    0.0160
    35.0    0.1130    0.0140
    45.0    0.1400    0.0130
    55.0    0.1640    0.0120
    65.0    0.1990    0.0110
    75.0    0.2320    0.0110
    85.0    0.2450    0.0110
    95.0    0.2770    0.0110
   105.0    0.2940    0.0110
   115.0    0.2590    0.0110
   125.0    0.2360    0.0110
   135.0    0.2160    0.0120
   145.0    0.1300    0.0130
   155.0    0.0810    0.0160
   165.0    0.0250    0.0210
   175.0    0.0410    0.0360
------------------------------------------
E =  860.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0120    0.0370
    15.0    0.0510    0.0210
    25.0    0.0960    0.0160
    35.0    0.1090    0.0140
    45.0    0.1410    0.0130
    55.0    0.1720    0.0120
    65.0    0.2050    0.0120
    75.0    0.2610    0.0110
    85.0    0.2710    0.0110
    95.0    0.2660    0.0110
   105.0    0.2800    0.0110
   115.0    0.2770    0.0110
   125.0    0.2390    0.0120
   135.0    0.2130    0.0130
   145.0    0.1490    0.0140
   155.0    0.0680    0.0160
   165.0    0.0290    0.0210
   175.0   -0.0130    0.0370
------------------------------------------
E =  870.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0290    0.0370
    15.0    0.0120    0.0220
    25.0    0.0260    0.0170
    35.0    0.1070    0.0150
    45.0    0.1810    0.0130
    55.0    0.1920    0.0130
    65.0    0.2310    0.0120
    75.0    0.2570    0.0120
    85.0    0.2570    0.0110
    95.0    0.2940    0.0110
   105.0    0.3090    0.0110
   115.0    0.2810    0.0120
   125.0    0.2630    0.0120
   135.0    0.2160    0.0130
   145.0    0.1740    0.0140
   155.0    0.0840    0.0170
   165.0    0.0610    0.0220
   175.0   -0.0240    0.0380
------------------------------------------
E =  880.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0600    0.0400
    15.0    0.0330    0.0220
    25.0    0.0740    0.0170
    35.0    0.1270    0.0150
    45.0    0.1510    0.0140
    55.0    0.1990    0.0130
    65.0    0.2400    0.0120
    75.0    0.2790    0.0120
    85.0    0.3000    0.0120
    95.0    0.3110    0.0120
   105.0    0.2960    0.0120
   115.0    0.2920    0.0120
   125.0    0.2640    0.0120
   135.0    0.2210    0.0130
   145.0    0.1590    0.0150
   155.0    0.0880    0.0170
   165.0    0.0330    0.0220
   175.0   -0.0120    0.0390
------------------------------------------
E =  890.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0560    0.0410
    15.0    0.0220    0.0230
    25.0    0.0790    0.0180
    35.0    0.1330    0.0160
    45.0    0.1750    0.0140
    55.0    0.2180    0.0140
    65.0    0.2600    0.0130
    75.0    0.2830    0.0120
    85.0    0.3110    0.0120
    95.0    0.3120    0.0120
   105.0    0.3240    0.0120
   115.0    0.3040    0.0120
   125.0    0.2740    0.0130
   135.0    0.2170    0.0140
   145.0    0.1850    0.0150
   155.0    0.1030    0.0180
   165.0    0.0510    0.0230
   175.0   -0.0390    0.0420
------------------------------------------
E =  900.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0010    0.0340
    15.0    0.0120    0.0200
    25.0    0.0560    0.0160
    35.0    0.1420    0.0140
    45.0    0.1950    0.0130
    55.0    0.2450    0.0120
    65.0    0.2660    0.0110
    75.0    0.2840    0.0110
    85.0    0.2940    0.0100
    95.0    0.3200    0.0100
   105.0    0.3200    0.0100
   115.0    0.3170    0.0100
   125.0    0.2620    0.0110
   135.0    0.2330    0.0110
   145.0    0.1630    0.0130
   155.0    0.0910    0.0150
   165.0    0.0330    0.0190
   175.0    0.0290    0.0330
------------------------------------------
E =  910.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0680    0.0350
    15.0    0.0260    0.0210
    25.0    0.0860    0.0160
    35.0    0.1440    0.0140
    45.0    0.2030    0.0130
    55.0    0.2490    0.0120
    65.0    0.2830    0.0120
    75.0    0.3240    0.0110
    85.0    0.3380    0.0110
    95.0    0.3140    0.0110
   105.0    0.3290    0.0100
   115.0    0.3210    0.0100
   125.0    0.2690    0.0110
   135.0    0.2150    0.0120
   145.0    0.1600    0.0130
   155.0    0.0800    0.0150
   165.0    0.0250    0.0200
   175.0    0.0280    0.0340
------------------------------------------
E =  920.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0570    0.0380
    15.0    0.0420    0.0210
    25.0    0.0990    0.0170
    35.0    0.1500    0.0150
    45.0    0.2320    0.0140
    55.0    0.2890    0.0130
    65.0    0.3230    0.0120
    75.0    0.3490    0.0120
    85.0    0.3560    0.0110
    95.0    0.3280    0.0110
   105.0    0.3370    0.0110
   115.0    0.3210    0.0110
   125.0    0.2770    0.0110
   135.0    0.2380    0.0120
   145.0    0.1770    0.0130
   155.0    0.0910    0.0160
   165.0    0.0690    0.0200
   175.0    0.0260    0.0360
------------------------------------------
E =  930.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0350    0.0400
    15.0    0.0670    0.0230
    25.0    0.1350    0.0180
    35.0    0.1530    0.0160
    45.0    0.2430    0.0140
    55.0    0.2890    0.0130
    65.0    0.3520    0.0130
    75.0    0.3370    0.0120
    85.0    0.3650    0.0120
    95.0    0.3730    0.0110
   105.0    0.3400    0.0110
   115.0    0.3110    0.0110
   125.0    0.2850    0.0120
   135.0    0.2300    0.0130
   145.0    0.1560    0.0140
   155.0    0.1100    0.0160
   165.0    0.0230    0.0210
   175.0   -0.0040    0.0360
------------------------------------------
E =  940.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0330    0.0420
    15.0    0.0640    0.0240
    25.0    0.1150    0.0190
    35.0    0.1840    0.0170
    45.0    0.3160    0.0150
    55.0    0.3320    0.0140
    65.0    0.3630    0.0130
    75.0    0.3800    0.0120
    85.0    0.3710    0.0120
    95.0    0.3450    0.0120
   105.0    0.3430    0.0120
   115.0    0.3090    0.0120
   125.0    0.2680    0.0120
   135.0    0.2420    0.0130
   145.0    0.1770    0.0140
   155.0    0.0970    0.0170
   165.0    0.0620    0.0220
   175.0   -0.0040    0.0390
------------------------------------------
E =  950.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0110    0.0470
    15.0    0.0630    0.0270
    25.0    0.1510    0.0210
    35.0    0.2390    0.0180
    45.0    0.3130    0.0160
    55.0    0.3510    0.0150
    65.0    0.4050    0.0140
    75.0    0.3880    0.0130
    85.0    0.3790    0.0120
    95.0    0.3700    0.0120
   105.0    0.3600    0.0120
   115.0    0.3130    0.0120
   125.0    0.2730    0.0130
   135.0    0.2440    0.0130
   145.0    0.1370    0.0150
   155.0    0.1010    0.0180
