E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0720    0.0570
    15.0   -0.0600    0.0330
    25.0    0.0500    0.0260
    35.0   -0.0020    0.0220
    45.0   -0.0090    0.0200
    55.0   -0.0050    0.0180
    65.0    0.0020    0.0170
    75.0    0.0080    0.0170
    85.0    0.0020    0.0160
    95.0   -0.0080    0.0170
   105.0   -0.0060    0.0170
   115.0    0.0050    0.0170
   125.0   -0.0090    0.0180
   135.0   -0.0180    0.0190
   145.0    0.0130    0.0210
   155.0    0.0120    0.0250
   165.0   -0.0410    0.0320
   175.0   -0.0670    0.0550
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0060    0.0380
    15.0   -0.0090    0.0220
    25.0   -0.0030    0.0170
    35.0    0.0020    0.0150
    45.0   -0.0170    0.0130
    55.0   -0.0030    0.0120
    65.0    0.0050    0.0110
    75.0    0.0190    0.0110
    85.0   -0.0080    0.0110
    95.0   -0.0110    0.0110
   105.0   -0.0060    0.0110
   115.0   -0.0110    0.0110
   125.0   -0.0090    0.0120
   135.0   -0.0010    0.0120
   145.0    0.0120    0.0140
   155.0   -0.0110    0.0160
   165.0   -0.0060    0.0210
   175.0   -0.0280    0.0360
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0240    0.0330
    15.0   -0.0090    0.0190
    25.0   -0.0000    0.0150
    35.0   -0.0110    0.0130
    45.0   -0.0080    0.0110
    55.0   -0.0030    0.0100
    65.0   -0.0080    0.0100
    75.0   -0.0120    0.0090
    85.0   -0.0050    0.0090
    95.0   -0.0210    0.0090
   105.0   -0.0240    0.0090
   115.0   -0.0280    0.0100
   125.0   -0.0130    0.0100
   135.0    0.0020    0.0110
   145.0    0.0030    0.0120
   155.0   -0.0160    0.0140
   165.0   -0.0300    0.0180
   175.0   -0.0140    0.0310
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0150    0.0310
    15.0   -0.0220    0.0180
    25.0   -0.0050    0.0140
    35.0   -0.0140    0.0120
    45.0   -0.0100    0.0110
    55.0   -0.0000    0.0100
    65.0   -0.0130    0.0090
    75.0   -0.0180    0.0090
    85.0   -0.0200    0.0090
    95.0   -0.0240    0.0090
   105.0   -0.0140    0.0090
   115.0   -0.0140    0.0090
   125.0   -0.0280    0.0090
   135.0   -0.0070    0.0100
   145.0    0.0120    0.0110
   155.0   -0.0060    0.0130
   165.0   -0.0220    0.0170
   175.0    0.0170    0.0300
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0300    0.0290
    15.0    0.0070    0.0170
    25.0   -0.0030    0.0130
    35.0   -0.0150    0.0110
    45.0   -0.0250    0.0100
    55.0   -0.0240    0.0090
    65.0   -0.0140    0.0090
    75.0   -0.0180    0.0080
    85.0   -0.0140    0.0080
    95.0   -0.0190    0.0080
   105.0   -0.0020    0.0080
   115.0   -0.0010    0.0090
   125.0    0.0060    0.0090
   135.0   -0.0160    0.0100
   145.0    0.0050    0.0110
   155.0    0.0020    0.0130
