E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.3170    0.0090
    15.0    0.3160    0.0050
    25.0    0.3260    0.0040
    35.0    0.3270    0.0040
    45.0    0.3260    0.0030
    55.0    0.3310    0.0030
    65.0    0.3310    0.0030
    75.0    0.3370    0.0030
    85.0    0.3380    0.0030
    95.0    0.3480    0.0030
   105.0    0.3410    0.0030
   115.0    0.3510    0.0030
   125.0    0.3560    0.0030
   135.0    0.3480    0.0030
   145.0    0.3500    0.0040
   155.0    0.3540    0.0040
   165.0    0.3490    0.0060
   175.0    0.3510    0.0100
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.6780    0.0130
    15.0    0.6490    0.0070
    25.0    0.6480    0.0060
    35.0    0.6740    0.0050
    45.0    0.6750    0.0040
    55.0    0.6920    0.0040
    65.0    0.6890    0.0040
    75.0    0.6990    0.0040
    85.0    0.7040    0.0040
    95.0    0.7170    0.0040
   105.0    0.7310    0.0040
   115.0    0.7230    0.0040
   125.0    0.7440    0.0040
   135.0    0.7370    0.0050
   145.0    0.7350    0.0050
   155.0    0.7370    0.0060
   165.0    0.7280    0.0080
   175.0    0.7180    0.0130
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.8360    0.0140
    15.0    0.8650    0.0080
    25.0    0.8630    0.0070
    35.0    0.8610    0.0060
    45.0    0.8690    0.0050
    55.0    0.8930    0.0050
    65.0    0.9150    0.0050
    75.0    0.9270    0.0040
    85.0    0.9460    0.0040
    95.0    0.9390    0.0040
   105.0    0.9520    0.0050
   115.0    0.9570    0.0050
   125.0    0.9550    0.0050
   135.0    0.9530    0.0050
   145.0    0.9480    0.0060
   155.0    0.9450    0.0070
   165.0    0.9480    0.0090
   175.0    0.9690    0.0150
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9840    0.0150
    15.0    0.9880    0.0090
    25.0    1.0060    0.0070
    35.0    1.0090    0.0060
    45.0    1.0260    0.0060
    55.0    1.0530    0.0050
    65.0    1.0640    0.0050
    75.0    1.0860    0.0050
    85.0    1.0990    0.0050
    95.0    1.1120    0.0050
   105.0    1.1130    0.0050
   115.0    1.1140    0.0050
   125.0    1.1160    0.0050
   135.0    1.0920    0.0060
   145.0    1.0820    0.0060
   155.0    1.0740    0.0070
   165.0    1.0670    0.0090
   175.0    1.0700    0.0160
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.0460    0.0160
    15.0    1.0760    0.0090
    25.0    1.0850    0.0070
    35.0    1.1020    0.0060
    45.0    1.1340    0.0060
    55.0    1.1540    0.0050
    65.0    1.1800    0.0050
    75.0    1.1970    0.0050
    85.0    1.2180    0.0050
    95.0    1.2240    0.0050
   105.0    1.2300    0.0050
   115.0    1.2280    0.0050
   125.0    1.2270    0.0060
   135.0    1.2060    0.0060
   145.0    1.1700    0.0070
   155.0    1.1600    0.0080
   165.0    1.1390    0.0100
   175.0    1.1170    0.0170
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1260    0.0170
    15.0    1.1470    0.0100
    25.0    1.1490    0.0080
    35.0    1.1670    0.0070
    45.0    1.1960    0.0060
    55.0    1.2230    0.0060
    65.0    1.2460    0.0050
    75.0    1.2690    0.0050
    85.0    1.2920    0.0050
    95.0    1.2980    0.0050
   105.0    1.3040    0.0050
   115.0    1.2980    0.0060
   125.0    1.2740    0.0060
   135.0    1.2510    0.0060
   145.0    1.2270    0.0070
   155.0    1.2060    0.0080
   165.0    1.1760    0.0100
   175.0    1.1700    0.0170
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1480    0.0170
    15.0    1.1500    0.0100
    25.0    1.1860    0.0080
    35.0    1.2030    0.0070
    45.0    1.2340    0.0060
    55.0    1.2500    0.0060
    65.0    1.2730    0.0060
    75.0    1.3140    0.0050
    85.0    1.3310    0.0050
    95.0    1.3290    0.0050
   105.0    1.3330    0.0050
   115.0    1.3290    0.0060
   125.0    1.3170    0.0060
   135.0    1.2850    0.0060
   145.0    1.2410    0.0070
   155.0    1.2240    0.0080
   165.0    1.1900    0.0100
   175.0    1.2050    0.0170
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1580    0.0170
    15.0    1.1590    0.0100
    25.0    1.1880    0.0080
    35.0    1.2030    0.0070
    45.0    1.2220    0.0060
    55.0    1.2570    0.0060
    65.0    1.3000    0.0060
    75.0    1.3170    0.0050
    85.0    1.3270    0.0050
    95.0    1.3450    0.0050
   105.0    1.3520    0.0060
   115.0    1.3340    0.0060
   125.0    1.3120    0.0060
   135.0    1.2810    0.0060
   145.0    1.2330    0.0070
   155.0    1.2180    0.0080
   165.0    1.1840    0.0100
   175.0    1.1630    0.0170
------------------------------------------
E =  790.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1790    0.0170
    15.0    1.1670    0.0100
    25.0    1.1810    0.0080
    35.0    1.1970    0.0070
    45.0    1.2170    0.0060
    55.0    1.2390    0.0060
    65.0    1.2590    0.0060
    75.0    1.2880    0.0050
    85.0    1.3080    0.0050
    95.0    1.3130    0.0050
   105.0    1.3140    0.0060
   115.0    1.3240    0.0060
   125.0    1.2960    0.0060
   135.0    1.2540    0.0060
   145.0    1.2180    0.0070
   155.0    1.1850    0.0080
   165.0    1.1800    0.0100
   175.0    1.1300    0.0170
------------------------------------------
E =  800.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1180    0.0170
    15.0    1.1570    0.0100
    25.0    1.1420    0.0080
    35.0    1.1670    0.0070
    45.0    1.1870    0.0060
    55.0    1.2000    0.0060
    65.0    1.2300    0.0060
    75.0    1.2490    0.0050
    85.0    1.2610    0.0050
    95.0    1.2810    0.0050
   105.0    1.2760    0.0050
   115.0    1.2720    0.0060
   125.0    1.2530    0.0060
   135.0    1.2240    0.0060
   145.0    1.1910    0.0070
   155.0    1.1680    0.0080
   165.0    1.1350    0.0100
   175.0    1.1260    0.0170
------------------------------------------
E =  810.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1340    0.0170
    15.0    1.1220    0.0100
    25.0    1.1190    0.0080
    35.0    1.1310    0.0070
    45.0    1.1400    0.0060
    55.0    1.1620    0.0060
    65.0    1.1730    0.0050
    75.0    1.1910    0.0050
    85.0    1.2040    0.0050
    95.0    1.2190    0.0050
   105.0    1.2320    0.0050
   115.0    1.2200    0.0060
   125.0    1.2210    0.0060
   135.0    1.1790    0.0060
   145.0    1.1410    0.0070
   155.0    1.1280    0.0080
   165.0    1.0770    0.0100
   175.0    1.0770    0.0170
------------------------------------------
E =  820.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1040    0.0170
    15.0    1.0870    0.0100
    25.0    1.0880    0.0080
    35.0    1.0980    0.0070
    45.0    1.0900    0.0060
    55.0    1.1010    0.0060
    65.0    1.1060    0.0050
    75.0    1.1230    0.0050
    85.0    1.1410    0.0050
    95.0    1.1570    0.0050
   105.0    1.1710    0.0050
   115.0    1.1670    0.0050
   125.0    1.1540    0.0060
   135.0    1.1420    0.0060
   145.0    1.1150    0.0070
   155.0    1.0690    0.0080
   165.0    1.0350    0.0100
   175.0    1.0470    0.0170
------------------------------------------
E =  830.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.0430    0.0170
    15.0    1.0450    0.0100
    25.0    1.0520    0.0080
    35.0    1.0330    0.0070
    45.0    1.0270    0.0060
    55.0    1.0400    0.0050
    65.0    1.0510    0.0050
    75.0    1.0620    0.0050
    85.0    1.0780    0.0050
    95.0    1.0920    0.0050
   105.0    1.1130    0.0050
   115.0    1.1060    0.0050
   125.0    1.1130    0.0060
   135.0    1.0800    0.0060
   145.0    1.0590    0.0070
   155.0    1.0300    0.0080
   165.0    1.0210    0.0100
   175.0    0.9930    0.0160
------------------------------------------
E =  840.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.0090    0.0170
    15.0    1.0060    0.0100
    25.0    0.9920    0.0070
    35.0    0.9830    0.0060
    45.0    0.9830    0.0060
    55.0    0.9770    0.0050
    65.0    0.9820    0.0050
    75.0    0.9910    0.0050
    85.0    1.0200    0.0050
    95.0    1.0270    0.0050
   105.0    1.0530    0.0050
   115.0    1.0490    0.0050
   125.0    1.0530    0.0060
   135.0    1.0310    0.0060
   145.0    1.0060    0.0060
   155.0    0.9900    0.0070
   165.0    0.9640    0.0090
   175.0    0.9870    0.0160
------------------------------------------
E =  850.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9480    0.0160
    15.0    0.9620    0.0090
    25.0    0.9480    0.0070
    35.0    0.9310    0.0060
    45.0    0.9260    0.0060
    55.0    0.9170    0.0050
    65.0    0.9210    0.0050
    75.0    0.9370    0.0050
    85.0    0.9540    0.0050
    95.0    0.9670    0.0050
   105.0    0.9860    0.0050
   115.0    1.0030    0.0050
   125.0    0.9970    0.0050
   135.0    0.9880    0.0060
   145.0    0.9650    0.0060
   155.0    0.9390    0.0070
   165.0    0.9270    0.0090
   175.0    0.8990    0.0160
------------------------------------------
E =  860.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9100    0.0160
    15.0    0.9130    0.0090
    25.0    0.8890    0.0070
    35.0    0.8810    0.0060
    45.0    0.8690    0.0050
    55.0    0.8580    0.0050
    65.0    0.8580    0.0050
    75.0    0.8680    0.0050
    85.0    0.8880    0.0050
    95.0    0.9060    0.0050
   105.0    0.9390    0.0050
   115.0    0.9510    0.0050
   125.0    0.9550    0.0050
   135.0    0.9320    0.0060
   145.0    0.9180    0.0060
   155.0    0.9090    0.0070
   165.0    0.8830    0.0090
   175.0    0.8720    0.0160
------------------------------------------
E =  870.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.8950    0.0160
    15.0    0.8500    0.0090
    25.0    0.8440    0.0070
    35.0    0.8260    0.0060
    45.0    0.8030    0.0050
    55.0    0.8030    0.0050
    65.0    0.8030    0.0050
    75.0    0.8120    0.0050
    85.0    0.8320    0.0050
    95.0    0.8520    0.0050
   105.0    0.8760    0.0050
   115.0    0.9000    0.0050
   125.0    0.8970    0.0050
   135.0    0.8860    0.0060
   145.0    0.8810    0.0060
   155.0    0.8650    0.0070
   165.0    0.8470    0.0090
   175.0    0.8390    0.0150
------------------------------------------
E =  880.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.8000    0.0150
    15.0    0.8040    0.0090
    25.0    0.7820    0.0070
    35.0    0.7710    0.0060
    45.0    0.7510    0.0050
    55.0    0.7460    0.0050
    65.0    0.7470    0.0050
    75.0    0.7610    0.0040
    85.0    0.7820    0.0040
    95.0    0.8040    0.0040
   105.0    0.8310    0.0050
   115.0    0.8360    0.0050
   125.0    0.8610    0.0050
   135.0    0.8580    0.0060
   145.0    0.8320    0.0060
   155.0    0.8130    0.0070
   165.0    0.8110    0.0090
   175.0    0.7880    0.0150
------------------------------------------
E =  890.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.7470    0.0150
    15.0    0.7490    0.0090
    25.0    0.7350    0.0070
    35.0    0.7110    0.0060
    45.0    0.6940    0.0050
    55.0    0.6830    0.0050
    65.0    0.6940    0.0040
    75.0    0.7040    0.0040
    85.0    0.7330    0.0040
    95.0    0.7550    0.0040
   105.0    0.7880    0.0050
   115.0    0.7900    0.0050
   125.0    0.8120    0.0050
   135.0    0.8130    0.0050
   145.0    0.8000    0.0060
   155.0    0.7840    0.0070
   165.0    0.7540    0.0090
   175.0    0.7570    0.0150
------------------------------------------
E =  900.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.7160    0.0140
    15.0    0.6860    0.0080
    25.0    0.6710    0.0060
    35.0    0.6520    0.0050
    45.0    0.6450    0.0050
    55.0    0.6330    0.0040
    65.0    0.6380    0.0040
    75.0    0.6570    0.0040
    85.0    0.6840    0.0040
    95.0    0.7060    0.0040
   105.0    0.7350    0.0040
   115.0    0.7530    0.0050
   125.0    0.7590    0.0050
   135.0    0.7800    0.0050
   145.0    0.7530    0.0060
   155.0    0.7260    0.0070
   165.0    0.7480    0.0090
   175.0    0.7230    0.0150
------------------------------------------
E =  910.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.6260    0.0140
    15.0    0.6250    0.0080
    25.0    0.6150    0.0060
    35.0    0.5860    0.0050
    45.0    0.5920    0.0050
    55.0    0.5890    0.0040
    65.0    0.5930    0.0040
    75.0    0.6110    0.0040
    85.0    0.6410    0.0040
    95.0    0.6580    0.0040
   105.0    0.6900    0.0040
   115.0    0.7150    0.0050
   125.0    0.7230    0.0050
   135.0    0.7220    0.0050
   145.0    0.7200    0.0060
   155.0    0.7090    0.0070
   165.0    0.6850    0.0080
   175.0    0.6840    0.0140
------------------------------------------
E =  920.000 MeV, Wght = 1.00, Syst = 0.05
