E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.5560    0.3460
    15.0   -0.6470    0.1800
    25.0   -0.8630    0.1500
    35.0   -0.7510    0.1230
    45.0   -0.6190    0.1140
    55.0   -0.6320    0.1060
    65.0   -0.3460    0.0950
    75.0   -0.2300    0.0930
    85.0   -0.0080    0.0890
    95.0    0.1170    0.0930
   105.0    0.2960    0.0920
   115.0    0.6220    0.0950
   125.0    0.6140    0.1040
   135.0    0.7840    0.1090
   145.0    0.6990    0.1100
   155.0    0.8220    0.1480
   165.0    0.8820    0.1870
   175.0    0.8720    0.3490
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0740    0.2060
    15.0   -1.0280    0.1260
    25.0   -0.8420    0.0990
    35.0   -0.6930    0.0820
    45.0   -0.7340    0.0740
    55.0   -0.5270    0.0670
    65.0   -0.2500    0.0620
    75.0   -0.0590    0.0580
    85.0    0.0470    0.0560
    95.0    0.2560    0.0580
   105.0    0.2490    0.0580
   115.0    0.5050    0.0620
   125.0    0.5620    0.0650
   135.0    0.8270    0.0730
   145.0    0.8270    0.0780
   155.0    0.8920    0.0990
   165.0    0.9600    0.1230
   175.0    1.1260    0.2100
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0770    0.1990
    15.0   -0.9150    0.1120
    25.0   -1.0110    0.0900
    35.0   -0.7660    0.0780
    45.0   -0.4860    0.0630
    55.0   -0.4140    0.0580
    65.0   -0.2400    0.0530
    75.0   -0.0410    0.0510
    85.0    0.1280    0.0500
    95.0    0.2470    0.0500
   105.0    0.2950    0.0510
   115.0    0.6460    0.0550
   125.0    0.6630    0.0580
   135.0    0.7540    0.0630
   145.0    0.8670    0.0720
   155.0    0.9680    0.0870
   165.0    1.0050    0.1070
   175.0    0.9380    0.1950
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0000    0.1920
    15.0   -0.9730    0.1060
    25.0   -0.9230    0.0820
    35.0   -0.7720    0.0680
    45.0   -0.5760    0.0590
    55.0   -0.3930    0.0540
    65.0   -0.2320    0.0490
    75.0   -0.0670    0.0470
    85.0    0.1250    0.0460
    95.0    0.2320    0.0450
   105.0    0.4080    0.0470
   115.0    0.4060    0.0480
   125.0    0.5870    0.0520
   135.0    0.6480    0.0570
   145.0    0.8270    0.0660
   155.0    0.8850    0.0790
   165.0    0.9510    0.1000
   175.0    0.8760    0.1770
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0770    0.1680
    15.0   -0.8980    0.1020
    25.0   -0.9750    0.0800
    35.0   -0.7190    0.0660
    45.0   -0.5960    0.0570
    55.0   -0.4340    0.0520
    65.0   -0.1940    0.0470
    75.0   -0.0660    0.0450
    85.0    0.0360    0.0450
    95.0    0.2770    0.0440
   105.0    0.3540    0.0460
   115.0    0.5580    0.0480
   125.0    0.6450    0.0520
   135.0    0.8270    0.0580
   145.0    0.8420    0.0660
   155.0    0.8310    0.0780
   165.0    0.9620    0.0970
   175.0    0.9870    0.1820
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.1750    0.1830
    15.0   -0.8840    0.1010
    25.0   -0.9000    0.0770
    35.0   -0.7230    0.0640
    45.0   -0.4280    0.0550
    55.0   -0.3510    0.0500
    65.0   -0.1090    0.0470
    75.0    0.0060    0.0440
    85.0    0.1510    0.0430
    95.0    0.2210    0.0430
   105.0    0.4600    0.0440
   115.0    0.5480    0.0470
   125.0    0.6100    0.0510
   135.0    0.7470    0.0550
   145.0    0.9130    0.0640
   155.0    0.8570    0.0750
   165.0    1.1820    0.1050
   175.0    0.7730    0.1620
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.2350    0.1850
    15.0   -0.8430    0.0990
    25.0   -0.7620    0.0730
    35.0   -0.6390    0.0640
    45.0   -0.4490    0.0540
    55.0   -0.3680    0.0490
    65.0   -0.1410    0.0460
    75.0   -0.0250    0.0440
    85.0    0.1610    0.0430
    95.0    0.3280    0.0440
   105.0    0.3410    0.0440
   115.0    0.5420    0.0460
   125.0    0.6700    0.0510
   135.0    0.7450    0.0550
   145.0    0.8810    0.0640
   155.0    0.7860    0.0750
   165.0    1.0460    0.1010
   175.0    1.0950    0.1760
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.8410    0.1640
    15.0   -0.8780    0.1010
    25.0   -0.7000    0.0710
    35.0   -0.6360    0.0630
    45.0   -0.5540    0.0550
    55.0   -0.3030    0.0500
    65.0   -0.1110    0.0450
    75.0    0.0690    0.0450
    85.0    0.1590    0.0440
    95.0    0.3270    0.0440
   105.0    0.3840    0.0450
   115.0    0.5450    0.0480
   125.0    0.6480    0.0500
   135.0    0.6210    0.0540
   145.0    0.8670    0.0630
   155.0    0.9290    0.0780
   165.0    1.0190    0.1030
   175.0    0.8400    0.1670
------------------------------------------
E =  790.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.9640    0.1720
    15.0   -0.9270    0.0990
    25.0   -0.7200    0.0780
    35.0   -0.6230    0.0630
    45.0   -0.4680    0.0550
    55.0   -0.2980    0.0510
    65.0   -0.1890    0.0470
    75.0    0.0400    0.0450
    85.0    0.1340    0.0440
    95.0    0.3540    0.0440
   105.0    0.4560    0.0450
   115.0    0.5090    0.0470
   125.0    0.6820    0.0520
   135.0    0.7980    0.0560
   145.0    0.7460    0.0620
   155.0    0.9580    0.0780
   165.0    1.0380    0.1010
   175.0    0.9670    0.1810
------------------------------------------
E =  800.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.8930    0.1650
    15.0   -0.9440    0.1030
    25.0   -0.6930    0.0760
    35.0   -0.5500    0.0640
    45.0   -0.4320    0.0560
    55.0   -0.2520    0.0510
    65.0   -0.0530    0.0470
    75.0    0.1510    0.0470
    85.0    0.3510    0.0460
    95.0    0.3130    0.0450
   105.0    0.5120    0.0470
   115.0    0.5050    0.0500
   125.0    0.6900    0.0530
   135.0    0.7040    0.0580
   145.0    0.8140    0.0640
   155.0    0.8830    0.0790
   165.0    0.8300    0.1030
   175.0    0.8900    0.1760
------------------------------------------
E =  810.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0540    0.1860
    15.0   -0.7780    0.1000
    25.0   -0.6770    0.0770
    35.0   -0.4980    0.0630
    45.0   -0.4320    0.0580
    55.0   -0.2800    0.0510
    65.0   -0.0420    0.0500
    75.0    0.1980    0.0480
    85.0    0.2740    0.0470
    95.0    0.3970    0.0470
   105.0    0.4940    0.0470
   115.0    0.5440    0.0500
   125.0    0.7170    0.0530
   135.0    0.8060    0.0590
   145.0    0.8380    0.0680
   155.0    0.8710    0.0790
   165.0    0.8880    0.1020
   175.0    1.0210    0.1880
------------------------------------------
E =  820.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0350    0.0920
    15.0   -0.7990    0.0540
    25.0   -0.7670    0.0400
    35.0   -0.5320    0.0340
    45.0   -0.3490    0.0290
    55.0   -0.2170    0.0270
    65.0    0.0530    0.0250
    75.0    0.2180    0.0250
    85.0    0.2870    0.0240
    95.0    0.4300    0.0240
   105.0    0.5280    0.0250
   115.0    0.6300    0.0260
   125.0    0.7100    0.0280
   135.0    0.7770    0.0310
   145.0    0.8810    0.0350
   155.0    0.9080    0.0410
   165.0    0.9710    0.0540
   175.0    0.9880    0.0940
------------------------------------------
E =  830.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.1040    0.0990
    15.0   -0.8240    0.0540
    25.0   -0.6830    0.0410
    35.0   -0.6170    0.0350
    45.0   -0.3530    0.0310
    55.0   -0.1770    0.0280
    65.0    0.0440    0.0260
    75.0    0.2000    0.0260
    85.0    0.3180    0.0250
    95.0    0.4390    0.0250
   105.0    0.5300    0.0250
   115.0    0.6280    0.0270
   125.0    0.7610    0.0280
   135.0    0.8150    0.0320
   145.0    0.8610    0.0360
   155.0    0.8620    0.0420
   165.0    0.9340    0.0550
   175.0    1.0260    0.0960
------------------------------------------
E =  840.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -1.0160    0.0950
    15.0   -0.8880    0.0550
    25.0   -0.6950    0.0420
    35.0   -0.5110    0.0360
    45.0   -0.2770    0.0310
    55.0   -0.1140    0.0290
    65.0    0.0640    0.0270
    75.0    0.2670    0.0270
    85.0    0.3820    0.0260
    95.0    0.4840    0.0260
   105.0    0.5940    0.0270
   115.0    0.6720    0.0280
   125.0    0.7790    0.0300
   135.0    0.8130    0.0320
   145.0    0.9560    0.0370
   155.0    0.9870    0.0440
   165.0    0.9620    0.0590
   175.0    0.8710    0.0970
------------------------------------------
E =  850.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.9300    0.0970
    15.0   -0.8760    0.0580
