E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1390    0.2520
    15.0    0.9760    0.1360
    25.0    0.9580    0.1080
    35.0    0.9240    0.0920
    45.0    1.0330    0.0840
    55.0    0.9940    0.0790
    65.0    1.0170    0.0790
    75.0    0.9050    0.0680
    85.0    0.9760    0.0720
    95.0    1.0730    0.0730
   105.0    0.9930    0.0700
   115.0    0.9750    0.0720
   125.0    0.9950    0.0760
   135.0    0.9070    0.0840
   145.0    0.9210    0.0870
   155.0    1.0430    0.1100
   165.0    1.0140    0.1320
   175.0    1.0710    0.2200
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.0250    0.1530
    15.0    1.0010    0.0940
    25.0    1.0030    0.0730
    35.0    1.0060    0.0640
    45.0    1.0260    0.0580
    55.0    0.9820    0.0510
    65.0    0.9730    0.0490
    75.0    0.9690    0.0460
    85.0    0.9920    0.0450
    95.0    0.9600    0.0450
   105.0    0.9510    0.0450
   115.0    0.9870    0.0480
   125.0    1.0330    0.0510
   135.0    1.0270    0.0550
   145.0    0.9690    0.0580
   155.0    1.0410    0.0720
   165.0    1.0650    0.0910
   175.0    1.0000    0.1530
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.1160    0.1460
    15.0    1.0050    0.0780
    25.0    0.9850    0.0640
    35.0    1.0260    0.0530
    45.0    1.0230    0.0490
    55.0    1.0050    0.0450
    65.0    1.0380    0.0440
    75.0    0.9730    0.0410
    85.0    0.9680    0.0390
    95.0    0.9910    0.0400
   105.0    1.0100    0.0420
   115.0    0.9940    0.0410
   125.0    1.0050    0.0440
   135.0    1.0070    0.0460
   145.0    0.9930    0.0540
   155.0    0.9780    0.0620
   165.0    1.0180    0.0750
   175.0    1.0670    0.1570
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9780    0.1270
    15.0    1.0850    0.0800
    25.0    0.9950    0.0610
    35.0    0.9520    0.0500
    45.0    0.9790    0.0450
    55.0    0.9760    0.0410
    65.0    1.0040    0.0400
    75.0    0.9420    0.0370
    85.0    0.9790    0.0370
    95.0    1.0030    0.0360
   105.0    0.9670    0.0360
   115.0    1.0240    0.0390
   125.0    1.0060    0.0410
   135.0    0.9940    0.0440
   145.0    1.0400    0.0510
   155.0    0.9960    0.0590
   165.0    0.9790    0.0730
   175.0    0.9270    0.1250
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9850    0.1190
    15.0    0.9820    0.0740
    25.0    0.9830    0.0570
    35.0    0.9880    0.0500
    45.0    1.0170    0.0430
    55.0    0.9970    0.0410
    65.0    0.9860    0.0380
    75.0    1.0210    0.0370
    85.0    0.9800    0.0350
    95.0    1.0080    0.0360
   105.0    1.0050    0.0360
   115.0    0.9850    0.0360
   125.0    0.9620    0.0390
   135.0    1.0170    0.0430
   145.0    1.0340    0.0500
   155.0    1.0220    0.0570
   165.0    1.0030    0.0710
   175.0    1.0760    0.1310
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.8910    0.1190
    15.0    0.9620    0.0720
    25.0    0.9830    0.0560
    35.0    0.9600    0.0470
    45.0    0.9470    0.0410
    55.0    0.9470    0.0380
    65.0    0.9750    0.0370
    75.0    0.9910    0.0350
    85.0    0.9790    0.0340
    95.0    0.9730    0.0340
   105.0    0.9870    0.0350
   115.0    0.9930    0.0360
   125.0    1.0000    0.0380
   135.0    1.0030    0.0410
   145.0    1.0140    0.0480
   155.0    1.0150    0.0540
   165.0    0.9320    0.0680
   175.0    0.9970    0.1230
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9880    0.1180
    15.0    1.0070    0.0710
    25.0    0.9790    0.0560
    35.0    0.9840    0.0460
    45.0    0.9390    0.0410
    55.0    0.9640    0.0390
    65.0    0.9670    0.0360
    75.0    0.9720    0.0340
    85.0    0.9930    0.0340
    95.0    0.9930    0.0340
   105.0    0.9840    0.0340
   115.0    1.0220    0.0360
   125.0    1.0010    0.0390
   135.0    1.0090    0.0430
   145.0    1.0290    0.0480
   155.0    1.0040    0.0550
   165.0    1.0430    0.0700
   175.0    0.9540    0.1280
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9360    0.1210
    15.0    1.0040    0.0730
    25.0    0.9440    0.0560
    35.0    0.9890    0.0470
    45.0    0.9910    0.0420
    55.0    0.9730    0.0380
    65.0    0.9810    0.0370
    75.0    0.9840    0.0350
    85.0    0.9800    0.0340
    95.0    0.9570    0.0340
   105.0    1.0030    0.0340
   115.0    0.9900    0.0350
   125.0    0.9830    0.0390
   135.0    0.9410    0.0400
   145.0    1.0130    0.0480
   155.0    0.9360    0.0540
   165.0    1.0030    0.0730
   175.0    0.9710    0.1150
------------------------------------------
E =  790.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9110    0.1120
    15.0    0.9870    0.0730
    25.0    0.9290    0.0540
    35.0    0.9660    0.0480
    45.0    0.9710    0.0430
    55.0    0.9100    0.0400
    65.0    0.9970    0.0380
    75.0    0.9500    0.0350
    85.0    0.9520    0.0350
    95.0    0.9590    0.0340
   105.0    0.9710    0.0350
   115.0    0.9810    0.0360
   125.0    1.0100    0.0400
   135.0    0.9950    0.0430
   145.0    0.9970    0.0470
   155.0    0.9800    0.0550
   165.0    1.0210    0.0720
   175.0    1.0270    0.1340
------------------------------------------
E =  800.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9350    0.1310
    15.0    1.0570    0.0780
    25.0    0.9300    0.0550
    35.0    0.9870    0.0480
    45.0    0.9820    0.0440
    55.0    0.9350    0.0400
    65.0    0.9620    0.0380
    75.0    0.9530    0.0370
    85.0    0.9520    0.0350
    95.0    0.9590    0.0350
   105.0    1.0190    0.0380
   115.0    0.9910    0.0370
   125.0    0.9720    0.0400
   135.0    1.0170    0.0450
   145.0    0.9670    0.0480
   155.0    0.9860    0.0580
   165.0    1.0320    0.0780
   175.0    1.0130    0.1280
------------------------------------------
E =  810.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9760    0.1270
    15.0    0.9370    0.0750
    25.0    1.0270    0.0590
    35.0    0.9110    0.0480
    45.0    0.9060    0.0440
    55.0    0.9270    0.0400
    65.0    0.9190    0.0390
    75.0    0.9480    0.0370
    85.0    0.9400    0.0350
    95.0    0.9590    0.0360
   105.0    0.9650    0.0370
   115.0    0.9630    0.0370
   125.0    0.9710    0.0410
   135.0    0.9700    0.0440
   145.0    0.9970    0.0500
   155.0    1.0240    0.0610
   165.0    0.9950    0.0760
   175.0    1.0050    0.1340
------------------------------------------
E =  820.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9540    0.0650
    15.0    1.0070    0.0380
    25.0    0.9510    0.0290
    35.0    0.9530    0.0250
    45.0    0.9140    0.0220
    55.0    0.9420    0.0210
    65.0    0.9110    0.0200
    75.0    0.9340    0.0190
    85.0    0.9380    0.0190
    95.0    0.9440    0.0190
   105.0    0.9600    0.0190
   115.0    0.9680    0.0200
   125.0    0.9770    0.0210
   135.0    0.9700    0.0230
   145.0    0.9910    0.0260
   155.0    1.0130    0.0310
   165.0    0.9940    0.0390
   175.0    1.0220    0.0700
------------------------------------------
E =  830.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.0170    0.0700
    15.0    0.9800    0.0380
    25.0    0.9700    0.0310
    35.0    0.9270    0.0250
    45.0    0.9110    0.0230
    55.0    0.9140    0.0220
    65.0    0.9110    0.0200
    75.0    0.9270    0.0200
    85.0    0.9320    0.0190
    95.0    0.9400    0.0190
   105.0    0.9550    0.0190
   115.0    0.9620    0.0200
   125.0    0.9620    0.0210
   135.0    0.9710    0.0230
   145.0    0.9920    0.0260
   155.0    0.9600    0.0310
   165.0    1.0060    0.0410
   175.0    1.0890    0.0720
------------------------------------------
E =  840.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.9780    0.0680
    15.0    0.9980    0.0400
    25.0    0.9390    0.0310
