E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.3200    0.3040
    15.0    0.1560    0.1760
    25.0    0.0120    0.1510
    35.0    0.1620    0.1110
    45.0   -0.0680    0.1020
    55.0   -0.0530    0.1020
    65.0   -0.0370    0.0900
    75.0   -0.0510    0.0880
    85.0   -0.1320    0.0880
    95.0   -0.0350    0.0830
   105.0   -0.0300    0.0860
   115.0    0.0480    0.0920
   125.0   -0.1940    0.0970
   135.0    0.0580    0.1020
   145.0   -0.0070    0.1130
   155.0    0.0420    0.1290
   165.0    0.2310    0.1650
   175.0   -0.2810    0.2660
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2250    0.1850
    15.0    0.0710    0.1120
    25.0   -0.0790    0.0900
    35.0    0.0090    0.0770
    45.0   -0.1270    0.0700
    55.0    0.0200    0.0630
    65.0    0.0060    0.0610
    75.0   -0.0410    0.0560
    85.0    0.0320    0.0560
    95.0   -0.1000    0.0560
   105.0   -0.0390    0.0570
   115.0    0.0640    0.0580
   125.0   -0.0940    0.0620
   135.0   -0.1470    0.0670
   145.0   -0.1490    0.0710
   155.0    0.1190    0.0870
   165.0    0.0710    0.1070
   175.0   -0.0180    0.1860
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0140    0.1690
    15.0   -0.0350    0.0990
    25.0   -0.1080    0.0780
    35.0   -0.1410    0.0680
    45.0   -0.0480    0.0600
    55.0   -0.1170    0.0550
    65.0   -0.0850    0.0540
    75.0   -0.0410    0.0500
    85.0    0.0260    0.0500
    95.0   -0.0340    0.0490
   105.0   -0.0280    0.0490
   115.0    0.0120    0.0510
   125.0   -0.0460    0.0540
   135.0    0.0580    0.0580
   145.0    0.0040    0.0640
   155.0    0.0480    0.0770
   165.0   -0.1250    0.0940
   175.0   -0.2100    0.1730
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.2590    0.1740
    15.0   -0.1780    0.0940
    25.0   -0.1700    0.0770
    35.0   -0.1810    0.0620
    45.0   -0.1210    0.0560
    55.0   -0.1230    0.0520
    65.0   -0.1150    0.0480
    75.0   -0.1410    0.0470
    85.0    0.0080    0.0460
    95.0   -0.1140    0.0450
   105.0   -0.0060    0.0470
   115.0   -0.0460    0.0470
   125.0   -0.0360    0.0490
   135.0    0.0620    0.0540
   145.0   -0.0490    0.0620
   155.0   -0.1390    0.0720
   165.0    0.0350    0.0880
   175.0    0.0590    0.1700
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1560    0.1600
    15.0   -0.0850    0.0870
    25.0   -0.0900    0.0680
    35.0   -0.1910    0.0610
    45.0   -0.1490    0.0530
    55.0   -0.1300    0.0490
    65.0   -0.1250    0.0470
