E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.4160    0.3680
    15.0    0.1480    0.2290
    25.0    0.3110    0.1730
    35.0    0.1400    0.1410
    45.0    0.0890    0.1280
    55.0    0.0780    0.1150
    65.0    0.0360    0.1080
    75.0    0.1000    0.1090
    85.0   -0.0710    0.1070
    95.0    0.0810    0.1060
   105.0    0.1280    0.1030
   115.0   -0.0300    0.1090
   125.0    0.0350    0.1150
   135.0    0.1100    0.1220
   145.0    0.0200    0.1400
   155.0    0.0260    0.1610
   165.0   -0.1230    0.2020
   175.0   -0.1030    0.3910
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.4620    0.3120
    15.0    0.0940    0.1890
    25.0   -0.0680    0.1480
    35.0    0.0130    0.1300
    45.0    0.0330    0.1120
    55.0    0.0210    0.1050
    65.0    0.1510    0.1010
    75.0   -0.0160    0.0950
    85.0    0.1320    0.0910
    95.0   -0.0280    0.0910
   105.0    0.0810    0.0940
   115.0    0.0690    0.0950
   125.0   -0.0440    0.0990
   135.0    0.0240    0.1070
   145.0    0.1320    0.1190
   155.0    0.2540    0.1360
   165.0   -0.0750    0.1770
   175.0    0.3350    0.3550
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1750    0.3080
    15.0    0.1400    0.1730
    25.0    0.1270    0.1270
    35.0   -0.0340    0.1120
    45.0    0.0300    0.1000
    55.0    0.2470    0.0890
    65.0    0.1910    0.0870
    75.0    0.1410    0.0820
    85.0    0.0730    0.0790
    95.0    0.0520    0.0780
   105.0    0.2340    0.0800
   115.0    0.2010    0.0830
   125.0    0.1750    0.0890
   135.0    0.1230    0.0920
   145.0    0.0830    0.1030
   155.0    0.0590    0.1200
   165.0   -0.0950    0.1560
   175.0   -0.2150    0.2840
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0880    0.2840
    15.0   -0.1510    0.1520
    25.0   -0.0160    0.1170
    35.0    0.2990    0.1020
    45.0    0.0960    0.0880
    55.0    0.1200    0.0840
    65.0    0.2160    0.0770
    75.0    0.1420    0.0770
    85.0    0.2540    0.0730
    95.0   -0.0370    0.0740
   105.0    0.1630    0.0740
   115.0    0.0630    0.0760
   125.0    0.0920    0.0820
   135.0    0.1080    0.0880
   145.0    0.1410    0.0950
   155.0   -0.0120    0.1170
   165.0   -0.0140    0.1430
   175.0    0.1920    0.2860
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.5000    0.2810
    15.0    0.2110    0.1510
    25.0    0.1330    0.1140
    35.0    0.1500    0.0980
    45.0    0.2860    0.0850
    55.0    0.1180    0.0780
    65.0    0.1010    0.0750
    75.0    0.2510    0.0710
    85.0    0.2900    0.0690
    95.0    0.0450    0.0680
   105.0    0.1380    0.0700
   115.0    0.0880    0.0710
   125.0    0.0300    0.0770
   135.0    0.1160    0.0800
   145.0    0.1360    0.0950
   155.0    0.0740    0.1080
   165.0   -0.3280    0.1380
   175.0   -0.0780    0.2460
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0140    0.2690
    15.0    0.0060    0.1420
    25.0    0.1270    0.1120
    35.0    0.1560    0.0930
    45.0    0.1340    0.0840
    55.0    0.0860    0.0770
    65.0    0.1780    0.0720
    75.0    0.1020    0.0700
    85.0    0.0710    0.0670
    95.0    0.1280    0.0680
