E =  710.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1670    0.1830
    15.0    0.1410    0.1110
    25.0    0.0160    0.0810
    35.0   -0.0030    0.0730
    45.0   -0.0540    0.0650
    55.0   -0.0420    0.0620
    65.0   -0.0480    0.0570
    75.0   -0.1230    0.0540
    85.0   -0.0800    0.0520
    95.0    0.0310    0.0530
   105.0   -0.0330    0.0540
   115.0    0.0090    0.0540
   125.0   -0.0270    0.0580
   135.0   -0.0040    0.0620
   145.0   -0.0470    0.0670
   155.0   -0.0480    0.0770
   165.0    0.1140    0.1040
   175.0    0.0000    0.1620
------------------------------------------
E =  720.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0290    0.1210
    15.0    0.0950    0.0730
    25.0   -0.0210    0.0550
    35.0    0.0190    0.0470
    45.0   -0.0800    0.0420
    55.0   -0.0240    0.0390
    65.0   -0.1330    0.0370
    75.0   -0.1130    0.0350
    85.0   -0.0570    0.0350
    95.0   -0.1190    0.0340
   105.0   -0.1190    0.0350
   115.0   -0.0630    0.0360
   125.0   -0.1450    0.0380
   135.0   -0.0190    0.0400
   145.0   -0.0710    0.0440
   155.0    0.0370    0.0520
   165.0    0.1000    0.0650
   175.0   -0.1810    0.1210
------------------------------------------
E =  730.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0490    0.1050
    15.0   -0.0430    0.0610
    25.0   -0.0330    0.0480
    35.0   -0.1320    0.0410
    45.0   -0.0140    0.0370
    55.0   -0.1010    0.0340
    65.0   -0.1000    0.0320
    75.0   -0.1590    0.0310
    85.0   -0.0870    0.0300
    95.0   -0.1010    0.0290
   105.0   -0.1340    0.0300
   115.0   -0.0530    0.0310
   125.0   -0.0260    0.0330
   135.0   -0.0560    0.0350
   145.0   -0.0510    0.0390
   155.0   -0.0800    0.0450
   165.0   -0.0620    0.0590
   175.0   -0.0620    0.0980
------------------------------------------
E =  740.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0050    0.1020
    15.0   -0.1290    0.0570
    25.0    0.0240    0.0450
    35.0   -0.1170    0.0370
    45.0   -0.0670    0.0340
    55.0   -0.0710    0.0310
    65.0   -0.1750    0.0300
    75.0   -0.1330    0.0280
    85.0   -0.1370    0.0280
    95.0   -0.1600    0.0280
   105.0   -0.1120    0.0280
   115.0   -0.1540    0.0290
   125.0   -0.0530    0.0300
   135.0   -0.1400    0.0330
   145.0   -0.1140    0.0370
   155.0   -0.0200    0.0430
   165.0   -0.0290    0.0540
   175.0   -0.1360    0.0970
------------------------------------------
E =  750.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1420    0.0980
    15.0    0.0370    0.0550
    25.0   -0.1180    0.0430
    35.0   -0.1230    0.0370
    45.0   -0.1030    0.0330
    55.0   -0.1660    0.0300
    65.0   -0.1380    0.0280
    75.0   -0.1260    0.0270
    85.0   -0.1700    0.0260
    95.0   -0.1880    0.0270
   105.0   -0.1460    0.0270
   115.0   -0.1430    0.0280
   125.0   -0.1020    0.0300
   135.0   -0.1100    0.0320
   145.0   -0.0830    0.0350
   155.0   -0.0980    0.0420
   165.0   -0.0500    0.0530
   175.0    0.1910    0.0900
------------------------------------------
E =  760.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1320    0.0970
    15.0   -0.0160    0.0540
    25.0   -0.1250    0.0420
    35.0   -0.1140    0.0360
    45.0   -0.1780    0.0320
    55.0   -0.1330    0.0300
    65.0   -0.2300    0.0280
    75.0   -0.1900    0.0270
    85.0   -0.2160    0.0260
    95.0   -0.1440    0.0260
   105.0   -0.2030    0.0260
   115.0   -0.1830    0.0270
   125.0   -0.0730    0.0290
   135.0   -0.1360    0.0310
   145.0   -0.1060    0.0350
   155.0   -0.0420    0.0410
   165.0   -0.0210    0.0530
   175.0    0.1150    0.0910
------------------------------------------
E =  770.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0000    0.0920
    15.0   -0.0510    0.0550
    25.0   -0.1210    0.0420
    35.0   -0.1050    0.0360
    45.0   -0.2260    0.0320
    55.0   -0.1820    0.0290
    65.0   -0.1810    0.0280
    75.0   -0.1910    0.0260
    85.0   -0.1820    0.0260
    95.0   -0.1530    0.0260
   105.0   -0.1200    0.0260
   115.0   -0.1530    0.0270
   125.0   -0.1360    0.0290
   135.0   -0.1350    0.0310
   145.0   -0.0630    0.0350
   155.0   -0.0490    0.0420
   165.0   -0.0520    0.0530
   175.0    0.0650    0.0930
------------------------------------------
E =  780.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0140    0.0950
    15.0   -0.0180    0.0540
    25.0   -0.0950    0.0420
    35.0   -0.1450    0.0360
