E =  146.000 MeV, Wght = 1.00, Syst = 0.05
 25.000   -6.267000    8.862000
 35.000   -6.267000    8.862000
 45.000   -2.089000    3.814000
 55.000   -1.253000    2.858000
 65.000   -1.253000    2.021000
 75.000   -0.895000    2.393000
 85.000    2.848000    2.075000
 95.000    0.272000    1.308000
105.000    1.492000    1.406000
125.000    1.709000    1.385000
135.000    2.089000    1.907000
145.000   -1.567000    1.615000
155.000    1.446000    1.784000
165.000   -2.089000    2.202000
175.000   -6.267000    8.862000
------------------------------------------
E =  148.000 MeV, Wght = 1.00, Syst = 0.05
 15.000    6.173000    8.731000
 25.000   -2.646000    2.539000
 35.000    2.646000    2.539000
 45.000    1.235000    1.991000
 55.000   -3.324000    1.945000
 65.000    0.882000    2.357000
 75.000    0.561000    1.322000
 85.000   -1.143000    1.208000
105.000    1.168000    1.033000
115.000    0.537000    0.914000
125.000   -0.325000    1.003000
135.000   -1.235000    0.939000
145.000    1.587000    1.077000
155.000    1.490000    1.179000
165.000    2.646000    1.795000
------------------------------------------
E =  150.000 MeV, Wght = 1.00, Syst = 0.05
 15.000    2.027000    3.700000
 25.000   -3.648000    3.171000
 45.000    0.507000    1.245000
 55.000   -2.432000    1.196000
 65.000   -0.793000    0.904000
 75.000   -0.715000    1.050000
 95.000    0.760000    0.766000
105.000   -1.106000    0.761000
115.000    1.013000    0.796000
125.000    0.785000    0.779000
135.000    0.243000    0.861000
145.000    0.553000    0.920000
175.000    2.432000    2.071000
------------------------------------------
E =  152.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    2.995000    3.349000
 15.000   -1.634000    1.872000
 25.000   -1.997000    1.823000
 35.000   -1.607000    0.969000
 45.000    0.374000    1.061000
 55.000   -1.892000    1.019000
 65.000   -0.508000    0.783000
 75.000    0.599000    0.777000
 85.000   -0.207000    0.643000
 95.000    0.531000    0.677000
105.000    0.418000    0.647000
115.000    0.557000    0.649000
125.000    0.726000    0.743000
135.000    0.545000    0.685000
145.000   -0.295000    0.768000
155.000    1.382000    0.984000
165.000   -0.856000    1.023000
175.000    3.423000    1.844000
------------------------------------------
E =  154.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -1.181000    2.692000
 15.000    1.968000    1.796000
 25.000   -0.160000    0.971000
 35.000   -0.361000    0.845000
 45.000   -0.571000    0.753000
 55.000    0.319000    0.687000
 65.000   -0.126000    0.609000
 75.000    0.324000    0.620000
 85.000    0.049000    0.537000
 95.000    0.375000    0.527000
105.000    0.399000    0.513000
115.000    0.496000    0.518000
125.000    0.731000    0.580000
135.000    0.492000    0.541000
145.000    0.908000    0.676000
155.000    1.145000    0.735000
165.000    2.310000    0.935000
175.000    1.610000    1.845000
------------------------------------------
E =  156.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    1.939000    3.541000
 15.000   -1.343000    1.171000
 25.000   -2.618000    1.009000
 35.000   -1.544000    0.860000
 45.000   -2.945000    0.725000
 55.000   -0.913000    0.583000
 65.000   -0.097000    0.531000
 75.000    0.599000    0.502000
 85.000   -0.465000    0.477000
 95.000    0.602000    0.486000
105.000    0.570000    0.473000
115.000    1.205000    0.457000
125.000    0.875000    0.476000
135.000    0.563000    0.525000
145.000    1.442000    0.554000
155.000    0.397000    0.622000
165.000    0.342000    0.816000
175.000    2.909000    1.878000
------------------------------------------
E =  158.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -3.441000    2.991000
 15.000    0.819000    0.894000
 25.000   -0.846000    0.742000
 35.000   -0.920000    0.645000
 45.000   -0.732000    0.596000
 55.000   -0.832000    0.520000
 65.000   -0.117000    0.473000
 75.000   -0.637000    0.453000
 85.000    0.496000    0.399000
 95.000   -0.091000    0.417000
105.000    0.328000    0.381000
115.000    0.750000    0.395000
125.000    0.935000    0.386000
