E =  146.000 MeV, Wght = 1.00, Syst = 0.05
 15.000   -0.279000    2.000000
 25.000   -1.759000    1.041000
 35.000    0.162000    0.616000
 45.000    0.022000    0.507000
 55.000    0.402000    0.376000
 65.000    0.139000    0.295000
 75.000   -0.470000    0.256000
 85.000    0.004000    0.228000
 95.000   -0.135000    0.196000
105.000   -0.127000    0.190000
115.000    0.102000    0.182000
125.000   -0.373000    0.181000
135.000    0.350000    0.191000
145.000    0.054000    0.210000
155.000   -0.197000    0.229000
165.000    0.322000    0.307000
175.000    0.642000    0.532000
------------------------------------------
E =  148.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    3.371000    4.185000
 15.000    1.534000    0.969000
 25.000   -0.370000    0.494000
 35.000    0.395000    0.364000
 45.000    0.089000    0.278000
 55.000   -0.131000    0.213000
 65.000   -0.116000    0.176000
 75.000    0.124000    0.152000
 85.000   -0.071000    0.137000
 95.000    0.043000    0.128000
105.000   -0.035000    0.122000
115.000   -0.098000    0.123000
125.000    0.106000    0.121000
135.000   -0.083000    0.126000
145.000    0.042000    0.134000
155.000   -0.097000    0.157000
165.000   -0.080000    0.201000
175.000    0.166000    0.376000
------------------------------------------
E =  150.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.115000    0.775000
 15.000    0.104000    0.370000
 25.000    0.137000    0.257000
 35.000    0.011000    0.202000
 45.000   -0.130000    0.167000
 55.000   -0.043000    0.142000
 65.000   -0.028000    0.128000
 75.000    0.065000    0.116000
 85.000   -0.032000    0.103000
 95.000   -0.054000    0.099000
105.000   -0.064000    0.096000
115.000   -0.017000    0.093000
125.000    0.011000    0.094000
135.000    0.003000    0.097000
145.000   -0.063000    0.106000
155.000    0.199000    0.122000
165.000    0.011000    0.157000
175.000   -0.010000    0.254000
------------------------------------------
E =  152.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.279000    0.398000
 15.000    0.003000    0.228000
 25.000    0.218000    0.165000
 35.000    0.072000    0.136000
 45.000   -0.172000    0.120000
 55.000    0.140000    0.108000
 65.000   -0.063000    0.094000
 75.000    0.035000    0.088000
 85.000    0.019000    0.085000
 95.000    0.162000    0.080000
105.000   -0.048000    0.079000
115.000    0.126000    0.078000
125.000    0.123000    0.082000
135.000   -0.043000    0.084000
145.000    0.018000    0.093000
155.000    0.010000    0.107000
165.000   -0.076000    0.137000
175.000    0.196000    0.244000
------------------------------------------
E =  154.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.133000    0.315000
 15.000    0.173000    0.165000
 25.000   -0.029000    0.128000
 35.000    0.077000    0.107000
 45.000    0.006000    0.093000
 55.000    0.053000    0.085000
 65.000    0.036000    0.078000
 75.000    0.001000    0.073000
 85.000    0.119000    0.070000
 95.000    0.087000    0.066000
105.000   -0.006000    0.064000
115.000    0.037000    0.065000
125.000    0.022000    0.066000
135.000    0.062000    0.070000
145.000    0.092000    0.078000
155.000    0.134000    0.089000
165.000   -0.071000    0.110000
175.000    0.397000    0.194000
------------------------------------------
E =  156.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.128000    0.248000
 15.000   -0.049000    0.142000
 25.000    0.056000    0.111000
 35.000    0.051000    0.090000
 45.000   -0.036000    0.079000
 55.000   -0.125000    0.072000
 65.000    0.034000    0.066000
 75.000    0.136000    0.061000
 85.000    0.003000    0.058000
 95.000    0.098000    0.056000
105.000    0.011000    0.055000
115.000    0.034000    0.055000
125.000   -0.035000    0.056000
135.000    0.027000    0.059000
145.000    0.055000    0.065000
155.000    0.050000    0.074000
165.000    0.079000    0.095000
175.000   -0.186000    0.169000
------------------------------------------
E =  158.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.218000    0.215000
 15.000    0.086000    0.121000
 25.000    0.062000    0.095000
 35.000    0.055000    0.078000
 45.000    0.024000    0.067000
 55.000    0.076000    0.062000
 65.000   -0.022000    0.057000
 75.000    0.109000    0.052000
 85.000    0.095000    0.050000
 95.000    0.105000    0.048000
105.000    0.073000    0.047000
115.000    0.084000    0.048000
125.000    0.070000    0.049000
135.000    0.069000    0.051000
145.000   -0.011000    0.056000
155.000   -0.055000    0.065000
165.000    0.085000    0.083000
175.000   -0.009000    0.142000
------------------------------------------
E =  160.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.140000    0.180000
 15.000    0.107000    0.107000
 25.000   -0.027000    0.082000
 35.000   -0.002000    0.069000
 45.000   -0.004000    0.060000
 55.000    0.037000    0.054000
 65.000    0.082000    0.049000
 75.000   -0.009000    0.046000
 85.000    0.109000    0.044000
 95.000    0.072000    0.042000
105.000    0.014000    0.041000
115.000   -0.024000    0.042000
125.000    0.117000    0.043000
135.000    0.065000    0.047000
145.000    0.101000    0.050000
155.000    0.094000    0.057000
165.000   -0.020000    0.075000
175.000   -0.109000    0.128000
------------------------------------------
E =  162.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.245000    0.176000
 15.000    0.101000    0.094000
 25.000    0.135000    0.074000
 35.000   -0.025000    0.061000
 45.000    0.033000    0.054000
 55.000    0.030000    0.048000
 65.000    0.015000    0.044000
 75.000    0.049000    0.041000
 85.000    0.034000    0.039000
 95.000    0.042000    0.038000
105.000    0.074000    0.037000
115.000    0.043000    0.038000
125.000    0.094000    0.039000
135.000    0.120000    0.041000
145.000   -0.045000    0.045000
155.000    0.015000    0.052000
165.000    0.066000    0.065000
175.000   -0.099000    0.112000
------------------------------------------
E =  164.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.161000    0.151000
 15.000    0.093000    0.086000
 25.000    0.091000    0.065000
 35.000    0.095000    0.055000
 45.000    0.038000    0.048000
 55.000   -0.008000    0.043000
 65.000    0.017000    0.039000
 75.000    0.031000    0.037000
 85.000    0.019000    0.035000
 95.000    0.048000    0.034000
105.000    0.041000    0.034000
115.000    0.013000    0.034000
125.000    0.006000    0.035000
135.000    0.086000    0.037000
145.000    0.079000    0.040000
155.000    0.077000    0.047000
165.000   -0.095000    0.059000
175.000    0.015000    0.104000
------------------------------------------
E =  166.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.179000    0.135000
 15.000    0.006000    0.079000
 25.000   -0.092000    0.059000
 35.000    0.069000    0.050000
 45.000    0.053000    0.044000
 55.000   -0.013000    0.039000
 65.000    0.050000    0.036000
 75.000    0.061000    0.034000
 85.000    0.018000    0.032000
 95.000    0.022000    0.031000
105.000    0.048000    0.031000
115.000    0.053000    0.031000
125.000    0.023000    0.032000
135.000    0.045000    0.034000
145.000    0.054000    0.037000
155.000    0.055000    0.043000
165.000    0.029000    0.054000
175.000    0.076000    0.090000
------------------------------------------
E =  168.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.004000    0.124000
 15.000    0.026000    0.071000
 25.000    0.025000    0.056000
 35.000    0.064000    0.046000
 45.000    0.087000    0.040000
 55.000    0.075000    0.036000
 75.000    0.033000    0.030000
 85.000    0.054000    0.029000
 95.000    0.039000    0.028000
105.000    0.049000    0.028000
115.000    0.037000    0.028000
125.000    0.028000    0.029000
135.000    0.079000    0.031000
145.000    0.052000    0.034000
155.000    0.011000    0.039000
165.000    0.028000    0.050000
175.000    0.019000    0.087000
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.108000    0.172000
 15.000    0.039000    0.096000
 25.000    0.024000    0.072000
 35.000    0.044000    0.061000
 45.000   -0.047000    0.053000
 55.000    0.013000    0.047000
 65.000    0.013000    0.043000
 75.000    0.140000    0.041000
 85.000   -0.007000    0.039000
 95.000    0.070000    0.038000
105.000    0.021000    0.037000
115.000    0.010000    0.037000
125.000    0.035000    0.038000
135.000    0.075000    0.040000
145.000    0.012000    0.045000
155.000    0.044000    0.053000
165.000   -0.036000    0.066000
175.000    0.034000    0.122000
------------------------------------------
E =  172.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.808000    0.859000
 15.000   -0.242000    0.474000
 25.000   -0.071000    0.328000
 35.000   -0.459000    0.285000
 45.000    0.184000    0.232000
 55.000   -0.175000    0.209000
 65.000   -0.039000    0.192000
 75.000    0.396000    0.182000
 85.000    0.098000    0.168000
 95.000    0.184000    0.164000
105.000   -0.119000    0.165000
115.000   -0.015000    0.168000
125.000   -0.013000    0.170000
135.000   -0.038000    0.189000
145.000    0.180000    0.202000
155.000    0.494000    0.236000
165.000    0.474000    0.312000
175.000   -0.824000    0.594000
------------------------------------------
E =  174.000 MeV, Wght = 1.00, Syst = 0.05
  5.000   -0.657000    0.734000
 15.000   -0.375000    0.412000
 25.000   -0.127000    0.310000
 35.000   -0.319000    0.246000
 45.000   -0.299000    0.215000
 55.000    0.164000    0.191000
 65.000   -0.047000    0.177000
 75.000   -0.068000    0.165000
 85.000    0.314000    0.159000
 95.000    0.049000    0.152000
105.000   -0.184000    0.154000
115.000    0.075000    0.152000
125.000    0.102000    0.158000
135.000    0.181000    0.170000
145.000   -0.398000    0.186000
155.000    0.129000    0.218000
165.000   -0.060000    0.271000
175.000   -0.424000    0.481000
------------------------------------------
E =  176.000 MeV, Wght = 1.00, Syst = 0.05
  5.000    0.655000    0.667000
 15.000   -0.805000    0.374000
 25.000   -0.234000    0.285000
 35.000   -0.483000    0.231000
 45.000   -0.026000    0.201000
 55.000    0.142000    0.178000
 65.000    0.022000    0.165000
 75.000   -0.004000    0.149000
 85.000    0.017000    0.144000
 95.000   -0.146000    0.138000
105.000    0.023000    0.141000
115.000   -0.120000    0.141000
125.000    0.267000    0.148000
