E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0130    0.2580
    15.0    0.1050    0.1430
    25.0   -0.0910    0.1200
    35.0   -0.2140    0.0940
    45.0    0.0670    0.0840
    55.0   -0.1020    0.0770
    65.0    0.0280    0.0690
    75.0   -0.0010    0.0660
    85.0    0.0250    0.0630
    95.0   -0.0390    0.0620
   105.0    0.0960    0.0610
   115.0    0.0730    0.0630
   125.0   -0.0680    0.0650
   135.0    0.0390    0.0680
   145.0   -0.0590    0.0770
   155.0    0.1380    0.0900
   165.0   -0.0510    0.1180
   175.0    0.1640    0.2110
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1660    0.1920
    15.0   -0.0250    0.1020
    25.0   -0.0730    0.0800
    35.0    0.0700    0.0660
    45.0   -0.0570    0.0570
    55.0   -0.0280    0.0510
    65.0   -0.0760    0.0470
    75.0   -0.0420    0.0440
    85.0   -0.0400    0.0420
    95.0   -0.0160    0.0410
   105.0   -0.0710    0.0420
   115.0    0.0040    0.0420
   125.0   -0.0540    0.0450
   135.0    0.0610    0.0470
   145.0   -0.0560    0.0530
   155.0   -0.0970    0.0610
   165.0   -0.0540    0.0780
   175.0   -0.0890    0.1340
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.6860    0.5300
    15.0   -0.1410    0.2880
    25.0   -0.1240    0.1900
    35.0    0.0940    0.1650
    45.0    0.1220    0.1460
    55.0   -0.1050    0.1190
    65.0   -0.0080    0.1100
    75.0   -0.0320    0.1060
    85.0    0.0640    0.1050
    95.0    0.1620    0.1000
   105.0    0.1110    0.1030
   115.0    0.0150    0.1010
   125.0    0.0120    0.1100
   135.0   -0.1970    0.1160
   145.0   -0.0210    0.1260
   155.0    0.0010    0.1550
   165.0   -0.5290    0.1990
   175.0    0.1520    0.4130
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.3040    0.4060
    15.0   -0.0410    0.2290
    25.0    0.0840    0.1570
    35.0    0.1150    0.1290
    45.0   -0.1620    0.1130
    55.0    0.1720    0.1000
    65.0   -0.0350    0.0890
    75.0   -0.0990    0.0840
    85.0    0.0980    0.0800
    95.0   -0.0430    0.0780
   105.0   -0.2320    0.0800
   115.0   -0.0280    0.0820
   125.0   -0.0590    0.0860
   135.0    0.0020    0.0960
   145.0   -0.0670    0.1060
   155.0   -0.1620    0.1220
   165.0    0.1320    0.1610
   175.0    0.1220    0.3160
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.2800    0.3540
    15.0   -0.2710    0.1810
    25.0    0.0650    0.1340
    35.0    0.0190    0.1020
    45.0    0.0020    0.0900
    55.0   -0.1440    0.0820
    65.0   -0.0150    0.0730
    75.0   -0.0220    0.0680
    85.0   -0.0070    0.0650
    95.0   -0.0940    0.0670
   105.0   -0.0280    0.0680
   115.0   -0.0220    0.0690
   125.0    0.0430    0.0720
   135.0   -0.0610    0.0780
   145.0   -0.1030    0.0870
   155.0   -0.0400    0.1060
