E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1780    0.4190
    15.0    0.3910    0.2390
    25.0    0.2930    0.1760
    35.0    0.4220    0.1490
    45.0    0.6890    0.1310
    55.0    0.5430    0.1150
    65.0    0.5220    0.1070
    75.0    0.5870    0.1020
    85.0    0.6050    0.0950
    95.0    0.5420    0.0950
   105.0    0.4860    0.0920
   115.0    0.2580    0.0930
   125.0    0.3150    0.0990
   135.0    0.4920    0.1060
   145.0    0.3420    0.1120
   155.0    0.1290    0.1300
   165.0    0.0890    0.1710
   175.0   -0.0500    0.3140
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.3550    0.2990
    15.0    0.3670    0.1720
    25.0    0.1550    0.1270
    35.0    0.4110    0.1060
    45.0    0.4530    0.0910
    55.0    0.4990    0.0850
    65.0    0.3230    0.0720
    75.0    0.4640    0.0690
    85.0    0.4990    0.0670
    95.0    0.4720    0.0640
   105.0    0.4050    0.0640
   115.0    0.4600    0.0670
   125.0    0.5280    0.0720
   135.0    0.4110    0.0760
   145.0    0.3710    0.0880
   155.0    0.4420    0.0990
   165.0    0.2990    0.1310
   175.0    0.3220    0.2080
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0320    0.2520
    15.0    0.1180    0.1340
    25.0    0.2840    0.1040
    35.0    0.2980    0.0830
    45.0    0.3520    0.0720
    55.0    0.5560    0.0640
    65.0    0.4050    0.0590
    75.0    0.4630    0.0540
    85.0    0.5210    0.0510
    95.0    0.5180    0.0510
   105.0    0.4660    0.0510
   115.0    0.5120    0.0530
   125.0    0.4800    0.0560
   135.0    0.4290    0.0600
   145.0    0.2800    0.0680
   155.0    0.2730    0.0790
   165.0    0.1930    0.0980
   175.0    0.1680    0.1740
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.2490    0.2030
    15.0    0.0630    0.1060
    25.0    0.1080    0.0810
    35.0    0.2950    0.0680
    45.0    0.2710    0.0590
    55.0    0.3610    0.0520
    65.0    0.3790    0.0470
    75.0    0.4130    0.0440
    85.0    0.4850    0.0420
    95.0    0.3350    0.0400
   105.0    0.4460    0.0420
   115.0    0.4200    0.0430
   125.0    0.3430    0.0460
   135.0    0.3810    0.0490
   145.0    0.3350    0.0540
   155.0    0.1730    0.0640
   165.0    0.2610    0.0810
   175.0    0.1100    0.1400
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0410    0.1640
    15.0    0.1080    0.0910
    25.0    0.1900    0.0710
    35.0    0.2980    0.0570
    45.0    0.2500    0.0490
    55.0    0.3010    0.0440
    65.0    0.2750    0.0390
    75.0    0.3770    0.0370
    85.0    0.4060    0.0360
    95.0    0.4060    0.0350
   105.0    0.3880    0.0350
   115.0    0.4200    0.0370
   125.0    0.4230    0.0380
   135.0    0.3800    0.0410
   145.0    0.3500    0.0470
   155.0    0.2830    0.0550
   165.0    0.2760    0.0710
   175.0    0.1340    0.1210
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1120    0.1360
    15.0    0.0320    0.0840
    25.0    0.1040    0.0600
    35.0    0.0910    0.0490
    45.0    0.1540    0.0420
    55.0    0.2090    0.0360
    65.0    0.2550    0.0330
    75.0    0.2860    0.0310
    85.0    0.3300    0.0300
    95.0    0.3330    0.0300
   105.0    0.4460    0.0300
   115.0    0.4350    0.0310
   125.0    0.4280    0.0340
   135.0    0.3760    0.0360
   145.0    0.3970    0.0420
   155.0    0.2400    0.0470
   165.0    0.2010    0.0610
   175.0    0.1700    0.1080
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1460    0.1230
    15.0    0.0690    0.0710
    25.0    0.0250    0.0520
    35.0    0.0960    0.0420
    45.0    0.1100    0.0360
    55.0    0.1530    0.0310
    65.0    0.1680    0.0280
    75.0    0.2480    0.0270
    85.0    0.2800    0.0260
    95.0    0.3550    0.0260
   105.0    0.3230    0.0260
   115.0    0.4230    0.0270
   125.0    0.3790    0.0290
   135.0    0.4120    0.0310
   145.0    0.3260    0.0360
   155.0    0.3140    0.0430
   165.0    0.2380    0.0560
   175.0    0.0400    0.0940
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1360    0.1100
    15.0   -0.0680    0.0600
    25.0    0.0200    0.0460
    35.0    0.1090    0.0360
    45.0    0.1090    0.0300
    55.0    0.0970    0.0270
    65.0    0.1620    0.0250
    75.0    0.2280    0.0230
    85.0    0.3090    0.0220
    95.0    0.3070    0.0220
   105.0    0.3190    0.0230
   115.0    0.4190    0.0240
   125.0    0.4320    0.0260
   135.0    0.3760    0.0280
   145.0    0.3890    0.0320
   155.0    0.3130    0.0380
   165.0    0.1880    0.0480
   175.0    0.0190    0.0870
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1680    0.0990
    15.0    0.0850    0.0540
    25.0    0.0770    0.0400
    35.0    0.0640    0.0320
    45.0    0.0060    0.0270
    55.0    0.1050    0.0230
    65.0    0.1350    0.0220
    75.0    0.1590    0.0200
    85.0    0.2470    0.0200
    95.0    0.2920    0.0190
   105.0    0.3280    0.0200
   115.0    0.3770    0.0210
   125.0    0.4000    0.0230
   135.0    0.4170    0.0250
   145.0    0.3910    0.0290
   155.0    0.3440    0.0340
   165.0    0.1630    0.0440
   175.0    0.0310    0.0780
------------------------------------------
E =  250.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1210    0.0860
    15.0    0.0240    0.0480
    25.0    0.0060    0.0350
    35.0    0.0210    0.0280
    45.0    0.0310    0.0240
    55.0    0.0560    0.0210
    65.0    0.0930    0.0190
    75.0    0.1540    0.0180
    85.0    0.1880    0.0170
    95.0    0.2380    0.0170
   105.0    0.2730    0.0180
   115.0    0.3230    0.0190
   125.0    0.3930    0.0200
   135.0    0.3920    0.0230
   145.0    0.3630    0.0260
   155.0    0.3580    0.0310
   165.0    0.2260    0.0410
   175.0    0.1300    0.0720
------------------------------------------
E =  260.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0130    0.0800
    15.0   -0.0680    0.0430
    25.0   -0.0190    0.0310
    35.0   -0.0130    0.0250
    45.0   -0.0460    0.0210
    55.0    0.0270    0.0180
    65.0    0.0550    0.0170
    75.0    0.1210    0.0160
    85.0    0.1720    0.0150
    95.0    0.1970    0.0150
   105.0    0.3110    0.0160
   115.0    0.3680    0.0170
   125.0    0.3950    0.0180
   135.0    0.4310    0.0210
   145.0    0.4120    0.0240
   155.0    0.4080    0.0280
   165.0    0.2380    0.0380
   175.0    0.1980    0.0680
------------------------------------------
E =  270.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.1260    0.0710
    15.0   -0.0950    0.0380
    25.0   -0.0820    0.0290
    35.0   -0.0610    0.0230
    45.0   -0.0520    0.0190
    55.0    0.0230    0.0170
    65.0    0.0550    0.0150
    75.0    0.0970    0.0140
    85.0    0.1530    0.0140
    95.0    0.2070    0.0140
   105.0    0.2700    0.0140
   115.0    0.3090    0.0150
   125.0    0.3740    0.0170
   135.0    0.4250    0.0190
   145.0    0.3520    0.0220
   155.0    0.3800    0.0270
   165.0    0.2290    0.0350
   175.0    0.0820    0.0610
------------------------------------------
E =  280.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0600    0.0630
    15.0   -0.1130    0.0360
    25.0   -0.0700    0.0260
    35.0   -0.0500    0.0210
    45.0   -0.0740    0.0170
    55.0   -0.0200    0.0150
    65.0    0.0090    0.0140
    75.0    0.0660    0.0130
    85.0    0.1100    0.0120
    95.0    0.1890    0.0120
   105.0    0.2690    0.0130
   115.0    0.3000    0.0140
   125.0    0.3700    0.0150
   135.0    0.3740    0.0170
   145.0    0.4420    0.0200
   155.0    0.3880    0.0250
   165.0    0.3110    0.0340
   175.0    0.1580    0.0590
------------------------------------------
E =  290.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0020    0.0600
    15.0   -0.0810    0.0330
    25.0   -0.1120    0.0240
    35.0   -0.1030    0.0190
    45.0   -0.1230    0.0160
    55.0   -0.0510    0.0140
    65.0   -0.0380    0.0130
    75.0    0.0350    0.0120
    85.0    0.1140    0.0120
    95.0    0.1660    0.0120
   105.0    0.2290    0.0120
   115.0    0.3120    0.0130
   125.0    0.3670    0.0140
   135.0    0.4130    0.0160
   145.0    0.4160    0.0190
   155.0    0.3900    0.0240
   165.0    0.2750    0.0320
   175.0    0.1920    0.0570
------------------------------------------
E =  300.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.0030    0.0570
    15.0   -0.1010    0.0320
    25.0   -0.1490    0.0230
    35.0   -0.1060    0.0180
    45.0   -0.1280    0.0150
    55.0   -0.0800    0.0130
    65.0   -0.0420    0.0120
    75.0    0.0130    0.0110
    85.0    0.1010    0.0110
    95.0    0.1650    0.0110
   105.0    0.2290    0.0110
   115.0    0.2890    0.0120
   125.0    0.3830    0.0140
   135.0    0.4050    0.0160
   145.0    0.4650    0.0190
   155.0    0.4240    0.0240
   165.0    0.3180    0.0320
   175.0    0.1130    0.0570
------------------------------------------
E =  310.000 MeV, Wght = 1.00, Syst = 0.05
     5.0   -0.0390    0.0560
    15.0   -0.0480    0.0310
    25.0   -0.1340    0.0230
    35.0   -0.1050    0.0180
    45.0   -0.1370    0.0150
    55.0   -0.0770    0.0130
    65.0   -0.0660    0.0120
    75.0    0.0060    0.0110
    85.0    0.0650    0.0110
    95.0    0.1380    0.0110
   105.0    0.2140    0.0110
   115.0    0.2780    0.0120
   125.0    0.3480    0.0140
   135.0    0.4000    0.0160
   145.0    0.4050    0.0190
   155.0    0.4500    0.0240
   165.0    0.3810    0.0330
