E =  160.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1450    0.0270
    15.0    0.1130    0.0140
    25.0    0.1220    0.0110
    35.0    0.1420    0.0100
    45.0    0.1420    0.0090
    55.0    0.1630    0.0090
    65.0    0.1790    0.0090
    75.0    0.1700    0.0090
    85.0    0.1920    0.0090
    95.0    0.2010    0.0090
   105.0    0.2130    0.0100
   115.0    0.2060    0.0100
   125.0    0.2200    0.0110
   135.0    0.2160    0.0120
   145.0    0.2120    0.0130
   155.0    0.2290    0.0150
   165.0    0.1570    0.0160
   175.0    0.2150    0.0330
------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.1870    0.0320
    15.0    0.2460    0.0210
    25.0    0.2510    0.0170
    35.0    0.2830    0.0150
    45.0    0.3490    0.0150
    55.0    0.3570    0.0140
    65.0    0.3980    0.0140
    75.0    0.4260    0.0140
    85.0    0.4310    0.0140
    95.0    0.4330    0.0140
   105.0    0.4790    0.0150
   115.0    0.4600    0.0150
   125.0    0.4540    0.0160
   135.0    0.4800    0.0180
   145.0    0.4610    0.0190
   155.0    0.4780    0.0230
   165.0    0.4030    0.0270
   175.0    0.4320    0.0480
------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.4400    0.0500
    15.0    0.4350    0.0290
    25.0    0.4850    0.0240
    35.0    0.4990    0.0210
    45.0    0.5760    0.0200
    55.0    0.5740    0.0190
    65.0    0.6850    0.0190
    75.0    0.6900    0.0190
    85.0    0.7290    0.0190
    95.0    0.8150    0.0200
   105.0    0.8150    0.0200
   115.0    0.8320    0.0210
   125.0    0.8030    0.0220
   135.0    0.8390    0.0240
   145.0    0.7520    0.0260
   155.0    0.7380    0.0290
   165.0    0.7940    0.0390
   175.0    0.7540    0.0660
------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.5830    0.0590
    15.0    0.6680    0.0370
    25.0    0.7330    0.0300
    35.0    0.8310    0.0280
    45.0    0.8690    0.0250
    55.0    0.9850    0.0250
    65.0    1.0560    0.0250
    75.0    1.1590    0.0250
    85.0    1.2080    0.0250
    95.0    1.2350    0.0250
   105.0    1.2390    0.0260
   115.0    1.2540    0.0270
   125.0    1.2720    0.0290
   135.0    1.1760    0.0300
   145.0    1.2180    0.0330
   155.0    1.1890    0.0380
   165.0    1.1830    0.0490
   175.0    1.1710    0.0840
------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    0.8610    0.0740
    15.0    0.9880    0.0460
    25.0    1.0570    0.0370
    35.0    1.2210    0.0340
    45.0    1.2420    0.0310
    55.0    1.4790    0.0320
    65.0    1.6260    0.0320
    75.0    1.6980    0.0310
    85.0    1.7630    0.0310
    95.0    1.8290    0.0320
   105.0    1.8300    0.0320
   115.0    1.8470    0.0340
   125.0    1.8200    0.0350
   135.0    1.8120    0.0380
   145.0    1.7080    0.0410
   155.0    1.8500    0.0490
   165.0    1.6600    0.0600
   175.0    1.6710    0.1030
------------------------------------------
E =  210.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.3590    0.0960
    15.0    1.4750    0.0580
    25.0    1.5660    0.0470
    35.0    1.6690    0.0410
    45.0    1.8080    0.0390
    55.0    2.0700    0.0380
    65.0    2.2490    0.0380
    75.0    2.4480    0.0390
    85.0    2.5300    0.0390
    95.0    2.6250    0.0390
   105.0    2.6440    0.0400
   115.0    2.6370    0.0410
   125.0    2.5930    0.0430
   135.0    2.5330    0.0460
   145.0    2.4950    0.0510
   155.0    2.3910    0.0580
   165.0    2.4260    0.0740
   175.0    2.1260    0.1200
------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    1.6160    0.1070
    15.0    1.9060    0.0670
    25.0    2.0840    0.0550
    35.0    2.3870    0.0510
    45.0    2.6910    0.0480
    55.0    2.9770    0.0470
    65.0    3.2020    0.0470
    75.0    3.4930    0.0470
    85.0    3.5870    0.0470
    95.0    3.6450    0.0470
   105.0    3.7790    0.0490
   115.0    3.6200    0.0500
   125.0    3.6510    0.0520
   135.0    3.4010    0.0540
   145.0    3.3680    0.0600
   155.0    3.1160    0.0670
   165.0    3.1610    0.0870
   175.0    3.0280    0.1460
------------------------------------------
E =  230.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    2.4000    0.1340
    15.0    2.6920    0.0820
    25.0    2.9220    0.0670
    35.0    3.2330    0.0600
    45.0    3.7240    0.0580
    55.0    4.1250    0.0570
    65.0    4.3590    0.0560
    75.0    4.8420    0.0570
    85.0    4.9640    0.0570
    95.0    5.1090    0.0580
   105.0    5.1820    0.0590
   115.0    4.9590    0.0600
   125.0    4.8260    0.0620
   135.0    4.5950    0.0650
   145.0    4.2990    0.0700
   155.0    4.1470    0.0800
   165.0    4.0980    0.1010
   175.0    4.0710    0.1740
------------------------------------------
E =  240.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    3.2090    0.1580
    15.0    3.3850    0.0940
    25.0    3.8670    0.0790
    35.0    4.4450    0.0720
    45.0    5.1000    0.0700
    55.0    5.6350    0.0680
    65.0    6.2590    0.0680
    75.0    6.6760    0.0680
    85.0    6.8170    0.0680
    95.0    6.9310    0.0680
   105.0    6.9020    0.0690
   115.0    6.7900    0.0710
   125.0    6.3840    0.0720
   135.0    6.1030    0.0760
   145.0    5.6460    0.0810
   155.0    5.2380    0.0910
   165.0    5.1420    0.1160
   175.0    5.0110    0.1970
------------------------------------------
E =  250.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    3.9800    0.1790
    15.0    4.4040    0.1090
    25.0    5.1660    0.0930
    35.0    5.9800    0.0860
    45.0    6.7020    0.0820
    55.0    7.5840    0.0810
    65.0    8.3610    0.0810
    75.0    9.0400    0.0810
    85.0    9.4430    0.0820
    95.0    9.4510    0.0820
   105.0    9.2470    0.0820
   115.0    9.0150    0.0840
   125.0    8.4970    0.0850
   135.0    7.8110    0.0880
   145.0    7.0120    0.0930
   155.0    6.8180    0.1070
   165.0    6.3150    0.1310
   175.0    6.2890    0.2250
------------------------------------------
E =  260.000 MeV, Wght = 1.00, Syst = 0.05
     5.0    5.1730    0.2080
    15.0    5.7080    0.1270
    25.0    6.6900    0.1070
    35.0    7.8510    0.1000
    45.0    9.0680    0.0970
    55.0   10.1760    0.0950
    65.0   11.0710    0.0940
    75.0   11.7960    0.0940
    85.0   12.1950    0.0950
    95.0   12.5490    0.0960
   105.0   12.2450    0.0960
   115.0   11.6880    0.0970
   125.0   10.9910    0.0990
   135.0    9.8650    0.1010
   145.0    9.2270    0.1080
   155.0    8.3000    0.1200
